Band;Importance
2239.5;6.53240377300949e-05
2237;6.317709259310367e-05
2244.4;6.254625909641418e-05
2249.4;6.197055009237273e-05
2242;6.151388603916179e-05
2246.9;6.102266591791635e-05
2256.7;6.096614673701234e-05
2264.1;6.018222421513038e-05
2251.8;5.995456378536357e-05
2259.2;5.92568816743379e-05
2261.6;5.920843645655423e-05
2254.3;5.872344397553752e-05
2232.1;5.639892522257006e-05
2234.6;5.598563970162945e-05
2266.5;5.173600002937082e-05
2269;4.7044256088399495e-05
2271.4;4.2990831123447774e-05
2229.6;4.127660878762867e-05
2273.8;3.6548694409043074e-05
2227.1;3.451534272545555e-05
2276.3;3.3561801422444364e-05
422.4;3.076499946145277e-05
2278.7;3.024682350852756e-05
427;2.974248705646476e-05
433.1;2.9716795130304743e-05
425.4;2.8337000262225063e-05
423.9;2.8135758637318e-05
434.6;2.7827345735558587e-05
431.6;2.724624061353307e-05
428.5;2.7219217192580684e-05
436.2;2.712999564629181e-05
2281.1;2.6742216431112038e-05
430;2.620472399014167e-05
437.7;2.6155295533101293e-05
2283.5;2.55296723826424e-05
2104.7;2.5512239063711948e-05
440.8;2.4320136139175106e-05
439.2;2.3922198460137917e-05
2305.2;2.372239629825455e-05
443.8;2.3272035588431792e-05
2295.6;2.3175968882560974e-05
2298;2.2837283966685732e-05
446.9;2.2790908123901975e-05
2312.4;2.277074504213774e-05
445.4;2.2646167429246814e-05
2286;2.239490791563303e-05
2288.4;2.2342458972716963e-05
442.3;2.2243862477992125e-05
2317.2;2.208755371802764e-05
2321.9;2.1889189691480975e-05
2107.3;2.1862770414842543e-05
2224.6;2.1688569629605762e-05
2314.8;2.1623937007729033e-05
2310;2.1504731583608143e-05
2300.4;2.1484886395953683e-05
2307.6;2.140986047821508e-05
2125.5;2.1162215888621892e-05
2302.8;2.086129318859878e-05
2290.8;2.069131390160122e-05
2324.3;2.054631142993838e-05
448.4;2.0481237656583787e-05
2293.2;2.041636559211178e-05
451.4;2.027486215865684e-05
2115.2;1.999737356732584e-05
2109.9;1.991066868167181e-05
2319.6;1.981828055930536e-05
449.9;1.9477568213634073e-05
453;1.910523613260702e-05
2120.3;1.897198485095099e-05
2102.1;1.8841418157512046e-05
454.5;1.8830915485902196e-05
456;1.851657186322649e-05
2331.4;1.841607665480745e-05
2187;1.8364089194897286e-05
2128.1;1.814373360690983e-05
2326.7;1.8012266518062827e-05
2099.5;1.7748100550447973e-05
2112.5;1.7150892869991677e-05
2083.7;1.702972664522003e-05
2096.9;1.6693173606844806e-05
462.1;1.6687616483235264e-05
459.1;1.668566995588708e-05
457.5;1.6681988903183796e-05
2089;1.6180644191350685e-05
2122.9;1.6162830612221126e-05
460.6;1.5893546549808773e-05
2091.6;1.5721956624389855e-05
468.2;1.567546464491597e-05
465.1;1.5432532046450077e-05
463.6;1.540002590736232e-05
2057.2;1.5212405918810682e-05
2062.6;1.5141670937520355e-05
2329.1;1.507446048882045e-05
2051.9;1.4935763842600504e-05
472.7;1.4764672578883212e-05
2117.8;1.4684334251382208e-05
471.2;1.4674394375803086e-05
2081.1;1.4399420411062991e-05
2333.8;1.4313522702414795e-05
2070.5;1.4302056837587989e-05
2094.2;1.4293547288869318e-05
466.6;1.4279369108832302e-05
2065.2;1.4263020447596723e-05
469.7;1.3971106331440427e-05
2133.3;1.3842619042473287e-05
2130.7;1.3176454355593304e-05
1935;1.3175409981949237e-05
2025.2;1.3147736260202045e-05
2336.2;1.3089684975316906e-05
1957.1;1.3005939073497383e-05
2086.4;1.2843482683371564e-05
474.2;1.2679408847476106e-05
2043.9;1.245553340402537e-05
1943.3;1.2446943172051848e-05
1852.7;1.2340177476319889e-05
2059.9;1.2299346069270783e-05
1968.1;1.1891783151026034e-05
2046.6;1.1877428836562777e-05
2067.9;1.1850546117152407e-05
1926.6;1.1839046814599516e-05
2033.2;1.1832648348290687e-05
1921.1;1.1797498913026861e-05
1912.7;1.177118073068991e-05
2014.4;1.1695620892350846e-05
1973.6;1.1577054139449542e-05
477.2;1.1560949302856045e-05
2022.5;1.1490877136768048e-05
2038.6;1.1478255854945189e-05
475.7;1.1469214497916116e-05
2078.4;1.1382547796033724e-05
2041.2;1.1380798019718638e-05
2006.2;1.137850729204123e-05
2338.5;1.1365461568319466e-05
478.7;1.1294109912612473e-05
1992.7;1.121819559470886e-05
480.2;1.104363019622518e-05
487.8;1.1009272337246998e-05
1946;1.0977782008994673e-05
1954.3;1.0951753473899178e-05
2011.7;1.0800319991363622e-05
481.8;1.0735239639423381e-05
2030.5;1.064785787962781e-05
1959.8;1.064691303775642e-05
1923.8;1.0538581803911038e-05
1904.3;1.046491573984353e-05
1918.3;1.036204478339632e-05
2222.1;1.0360691164283025e-05
1948.8;1.0350837412360681e-05
1932.2;1.0342492190781657e-05
1990;1.0316632708079665e-05
1929.4;1.0303614195928911e-05
1856.2;1.0224083944266757e-05
1951.6;1.0169442283573483e-05
2340.9;1.0169212724172445e-05
1849.2;1.010890433621779e-05
2054.6;1.0085905895981113e-05
2075.8;1.0079463077367245e-05
1915.5;1.0068903557184547e-05
2073.2;1.0056900875500468e-05
2000.8;1.0044368733458247e-05
1937.7;1.0019089554457374e-05
2003.5;9.995945746542488e-06
1909.9;9.990023811824331e-06
1984.5;9.856864566195801e-06
2027.8;9.823144808955394e-06
1907.1;9.715088668491922e-06
1970.8;9.612105135857294e-06
1940.5;9.525855043623001e-06
2049.3;9.49999958186028e-06
484.8;9.372299104387828e-06
1976.3;9.372295456619307e-06
496.8;9.332831908971576e-06
489.3;9.323028595183825e-06
1898.7;9.31738006806794e-06
493.8;9.272081642675663e-06
2019.8;9.241080587658156e-06
1901.5;9.203578192626742e-06
2219.6;9.192970122323863e-06
483.3;9.175834927940134e-06
2189.5;9.121563576514864e-06
498.3;9.01860393780297e-06
495.3;9.016206041640695e-06
1965.3;8.939226285867086e-06
1845.8;8.66981112134523e-06
492.3;8.612035443381846e-06
1900.9;8.577872641843966e-06
490.8;8.542820137988295e-06
2135.9;8.465864925309267e-06
2345.6;8.400472676650691e-06
486.3;8.26980800805014e-06
1893.1;8.254468236915845e-06
2009;8.075517044623146e-06
2343.2;8.024217822887177e-06
1981.8;7.891543609653053e-06
2347.9;7.834286824307078e-06
1962.6;7.642672296645855e-06
2017.1;7.631556693943038e-06
499.8;7.424280636122504e-06
1894;7.290793921433024e-06
1987.2;6.998797948440331e-06
2035.9;6.989709772433963e-06
1887.5;6.9638225602363e-06
1995.4;6.854836165169468e-06
510.2;6.684019084661146e-06
1883.7;6.5842859929589165e-06
1606.6;6.5336993344997e-06
1881.8;6.491118854713838e-06
501.3;6.48699544887588e-06
502.8;6.46653273223412e-06
1842.3;6.3067553827954466e-06
1884.6;6.206767612587904e-06
2217.1;6.199343727096558e-06
504.3;6.1425186743172645e-06
2350.3;6.0369142199944e-06
1979;6.016678527013772e-06
505.8;5.9840931110817185e-06
1895.9;5.955510115186338e-06
1998.1;5.778469823554469e-06
519.2;5.613253269911303e-06
1897.5;5.529665588736678e-06
1610.3;5.503158432110029e-06
2192;5.434759636072833e-06
1591.9;5.429298140471021e-06
2352.6;5.401675454517247e-06
520.7;5.2614312073063044e-06
1602.9;5.2503959185251075e-06
1890.3;5.245120551602497e-06
1359.5;5.230862370123473e-06
1431.7;5.224341540305763e-06
1617.6;5.152989402114422e-06
2392;5.131903239483684e-06
1828.4;5.027083733443679e-06
1367.2;5.013043942298125e-06
507.3;4.9758890538826855e-06
1890.6;4.9543823562817735e-06
511.7;4.852904548877368e-06
513.2;4.837071453496551e-06
2184.5;4.819976381002448e-06
1613.9;4.786149198032795e-06
2138.5;4.776022223546352e-06
1595.6;4.5584542467563275e-06
508.8;4.558400424484779e-06
2355;4.530023938708953e-06
523.6;4.5015167750537065e-06
