,Porosity (%)
1894,-0.7112378985847291
1895.9,-0.71996270435728
1897.5,-0.7261653076577432
1898.7,-0.7302822030012004
1900.9,-0.7364333033059661
1901.5,-0.7379368493249759
1904.3,-0.7448881429650004
1907.1,-0.7499175181245646
1909.9,-0.7528990481586322
1912.7,-0.7556629792412168
1915.5,-0.7579515025788184
1918.3,-0.7596375835519386
1921.1,-0.7610930167293961
1923.8,-0.7617284751918447
1926.6,-0.7613310418146532
1929.4,-0.7604527605647997
1932.2,-0.7593158635395488
1935,-0.7578875622105986
1937.7,-0.7562566501887532
1940.5,-0.755220541282816
1943.3,-0.754175481625038
1946,-0.7529262205476739
1948.8,-0.7515735965391429
1951.6,-0.7498900061063117
1954.3,-0.7479334204422661
1957.1,-0.7453428412382173
1959.8,-0.7423904817640977
1962.6,-0.7399449392640522
1965.3,-0.7376295819953549
1968.1,-0.7352252153042207
1970.8,-0.7328630320254688
1973.6,-0.7300540721971656
1976.3,-0.7266040569563552
1979,-0.7222424374238366
1981.8,-0.7173112549440508
1984.5,-0.7111179353099485
1987.2,-0.7023878555503563
1990,-0.6915057547594761
1992.7,-0.6801946790199614
1995.4,-0.6711008340699592
1998.1,-0.6678101394305783
2000.8,-0.6705328345849635
2003.5,-0.6785151955238589
2006.2,-0.690831382040274
Porosity (%),1.0
