,Porosity (%)
2011.7,-0.7113082305148952
2014.4,-0.7173657519410013
2017.1,-0.722048026037904
2019.8,-0.7260002908744272
2022.5,-0.7301685242125767
2025.2,-0.7343254860944531
2027.8,-0.7381251156626997
2030.5,-0.7404319850529919
2033.2,-0.7417204124979782
2035.9,-0.7429096357236434
2038.6,-0.7439989115275174
2041.2,-0.7443557230930254
2043.9,-0.7460859003026827
2046.6,-0.7481999705853053
2049.3,-0.7493442047220572
2051.9,-0.7491625205481028
2054.6,-0.7495630466947585
2057.2,-0.7509196640901858
2059.9,-0.7524184248411449
2062.6,-0.7528505607158904
2065.2,-0.7499418855680663
2067.9,-0.7490620627698322
2070.5,-0.7488281388321504
2073.2,-0.7455684613512269
2075.8,-0.7436151774293536
2078.4,-0.7447562859061567
2081.1,-0.7437406350759658
2083.7,-0.740710872545652
2086.4,-0.7388291366581506
2089,-0.7391058893885878
2091.6,-0.7403831362069717
2094.2,-0.7378147052344074
2096.9,-0.7327110953802359
2099.5,-0.7295381311063376
2102.1,-0.726534947798562
2104.7,-0.7227387952548553
2107.3,-0.7159273261200612
2109.9,-0.7025551819182125
2112.5,-0.6856021101058429
2115.2,-0.6724223531885402
2117.8,-0.6627401021101125
2120.3,-0.652648296745714
2122.9,-0.6409901819166638
2125.5,-0.6291595444266672
Porosity (%),1.0
