model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_l1_ratio;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:0.001_l1_ratio:1_max_iter:100;0.0007992744445800781;0.0001431091826653526;0.00035465717315673827;7.352781372930481e-05;0.001;1;100;-0.0173889389281449;-0.005518217092412754;-0.010420602244182555;-0.030413163952679897;-0.010720215956063386;-0.023479342348625584;-0.010340418855887662;-0.011737868622935113;-0.0006324053713585858;-0.01140011350020785;-0.024885983406680096;-0.01946722997349936;-0.0035558350605851916;-0.007415457059421521;-0.009322341448169957;-0.02593695188899332;-0.0024828487681115737;-0.008998521437598704;-0.004725274038462092;-0.0010556270389235937;-0.008044985826554297;-0.01720182860658104;-0.008476990198464015;-0.025919189922030433;-0.0024558815070379308;-0.002692665865391873;-0.00353113245121413;-0.027777912332291807;-0.005333435524851934;-0.03046278684364576;-0.01638031596098951;-0.0006898948728933478;-0.011470107054517608;-0.04431494134868957;-0.005286450804504868;-0.01918824705590388;-0.011347880066296006;-0.021050036866078353;-0.0008875159481878859;-0.020036796043726865;-0.006061898729689313;-0.028095283033006107;-0.018576708876539345;-0.01136547075788965;-0.017627133581007776;-0.006989275020925194;-0.0007596216809448005;-0.007150521331368826;-0.01811065352126979;-0.019886992509130712;-0.007527632612439566;-0.027607397359004165;-0.02827144415700127;-0.008746877734968529;-0.009102780066242462;-0.00924336657132292;-0.002419454530717815;-0.0032612512338905295;-0.030453480856331528;-0.007268845133723727;-0.005430975781520395;-0.026505413608037445;-0.0037086120931987114;-0.010901351788888984;-0.0055590298687491135;-0.012989994141337871;-0.025452633272418052;-0.00852833444881557;-0.0015007916291122296;-0.010489875678737373;-0.015782796057986753;-0.013490292811130218;-0.0040216125963589075;-0.006398577871658067;-0.01769582143035188;-0.0033319533643860998;-0.030898215066068196;-0.009630052153313867;-0.004421769793799585;-0.004100909761248408;-0.023643883547439442;-0.0015325176721478996;-0.004279516338997552;-0.026382966320358758;-0.013222062152254284;-0.009215085904573673;-0.004781107605469883;-0.010911621378413226;-0.012516377709016438;-0.0015036960790374648;-0.04154089939445192;-0.010069757221374525;-0.0064152138084328575;-0.008356352520673637;-0.00737240816901991;-0.005746376366263333;-0.002321574027504822;-0.013352669584144309;-0.019067838237432185;-0.02073278774202866;-0.012547761663863613;0.009549175721327116;1
alpha:0.001_l1_ratio:0.9_max_iter:100;0.0009491705894470215;0.00013518115154149025;0.0004091787338256836;7.983138136286613e-05;0.001;0.9;100;-0.01840711872745796;-0.005612085965282306;-0.010166240274668488;-0.03070161719358631;-0.010774258520733387;-0.023168429235070648;-0.009974797831430503;-0.012745493106083082;-0.0005917113108129865;-0.011431469926300591;-0.024437792291871402;-0.01940596116244017;-0.0036238019078984464;-0.007277170187038007;-0.009274908405747738;-0.027029162096825085;-0.0022792635045236673;-0.008913444317872514;-0.0046809465273147345;-0.0010037497053503243;-0.00772329026241568;-0.017035562896197884;-0.008495953395304567;-0.026511921360281066;-0.002413978736825157;-0.0026622690816422412;-0.003585523846783604;-0.028471640424861375;-0.005322226159978465;-0.030164073952200488;-0.015738353567218918;-0.0007180162786940081;-0.011209786601252556;-0.044869772241626305;-0.005207352824881797;-0.018972878256192507;-0.011153478263743412;-0.02105707173653548;-0.0009161710165412787;-0.02025345100160131;-0.0059986553847142954;-0.02770407404825638;-0.018767442215831306;-0.010634813357669524;-0.01830138599597653;-0.007117467550081111;-0.0007050794233898289;-0.007058590991155591;-0.0179344298770453;-0.021037953579336494;-0.006728844831168189;-0.028853095520483613;-0.028241458488215448;-0.008322086364452799;-0.0090726012143948;-0.009251513214852444;-0.0024530787858369645;-0.0032732233974275635;-0.03144148831371233;-0.007094762717381568;-0.005284082835970131;-0.02654143501108462;-0.0037264437109483985;-0.011603399094482221;-0.005881133242241943;-0.012896958142656678;-0.025672923622964593;-0.00856368890894327;-0.0013801366754977809;-0.01058181492657887;-0.016383753952349898;-0.013880457649852886;-0.004000590790774687;-0.00622084015241402;-0.01779515319395867;-0.003296487521890232;-0.0329611078216012;-0.009573299432910609;-0.0044390790740683915;-0.004169017811645731;-0.02335567711707871;-0.0017024669665153442;-0.00417559311700975;-0.02645032908475471;-0.013297719240907654;-0.009313917434268593;-0.00462747212764747;-0.010611122163198143;-0.013542655637437598;-0.0014568494764303213;-0.043616059565326014;-0.009842060110163399;-0.006249861933418178;-0.00834877834016576;-0.007032613986544267;-0.005462506112936513;-0.0022881159281914146;-0.013609066785817024;-0.01899710308235382;-0.020768397809405658;-0.012635744089668737;0.009774875003150735;2
alpha:0.001_l1_ratio:0.8_max_iter:100;0.0009895777702331543;0.00014663073720139904;0.00042966365814208987;8.019278299743963e-05;0.001;0.8;100;-0.0198218968840675;-0.0057158341267633;-0.010026622958885883;-0.031002410876724118;-0.010532855498603097;-0.022934011587233728;-0.00957699669637539;-0.01377684016643541;-0.0005527484660406548;-0.011473146222194171;-0.024410212834339785;-0.019364097187713966;-0.0036904051368206875;-0.007132981316258857;-0.009291533751205361;-0.028137195305209795;-0.002009040115430892;-0.008829660226859375;-0.004645793028799261;-0.0009865595307288655;-0.007305711451505102;-0.016314747861273703;-0.00845275927462708;-0.0267574221966413;-0.002312758349606555;-0.00262064450324481;-0.003670416552039653;-0.02886576327135082;-0.005332204582639082;-0.029837452453796084;-0.015167758588875022;-0.0007785764141304982;-0.010925520009859043;-0.04577624924372355;-0.005136522691542992;-0.018993367732842572;-0.010940405490556112;-0.021220034246613995;-0.0009479624433194134;-0.020482455336222127;-0.005987058209649135;-0.02738094847240005;-0.018789991372769665;-0.009973479725346896;-0.018963797929145803;-0.007253210330009848;-0.0006624426681811369;-0.006978580700024457;-0.01828947606562983;-0.022256043682184253;-0.005927065369470401;-0.030233793979142734;-0.028193227936983006;-0.007922877123349005;-0.009061274439934788;-0.009260957879153086;-0.0024818469655714143;-0.00328561198839307;-0.03251011015931179;-0.0069799133350821165;-0.005092972100877953;-0.02680678829795996;-0.003745210703652472;-0.012302902788246332;-0.006214733840408988;-0.01275095616492399;-0.025951745002876597;-0.00830986029700396;-0.0012145576313502225;-0.010856470484657243;-0.016854764866979;-0.014148913254775837;-0.003953940542303311;-0.006050553678865277;-0.017900489407294225;-0.0032743136763085903;-0.03303254646688791;-0.009531805593059323;-0.004466178565744093;-0.004265640121640083;-0.023080551889111754;-0.0018598808187171307;-0.00402343385041506;-0.026514933881684397;-0.013574648157209074;-0.009305104604878428;-0.004390294513426683;-0.010266244724006153;-0.014597597275724785;-0.0013684937982906024;-0.04342274191294022;-0.009648460764504095;-0.0060671998979430425;-0.008369558223444332;-0.006655201675348734;-0.005419225405274833;-0.002258500496081354;-0.013899202764349637;-0.01906527790712302;-0.021153752778290274;-0.012698069317674112;0.00993015791510029;3
alpha:0.001_l1_ratio:0.7_max_iter:100;0.0011512279510498048;0.0005852547075689674;0.0004756927490234375;0.0002463607454280707;0.001;0.7;100;-0.02183938148296804;-0.0058261863561821685;-0.010142390829812968;-0.03127695045615143;-0.010273393704129214;-0.022795595319980225;-0.00920274629016555;-0.014812035735273786;-0.0005171492960972978;-0.011500158158581778;-0.024886246021289502;-0.019306907607226854;-0.003753239785200573;-0.0069945388282360325;-0.009227894045181144;-0.02924716636533581;-0.0017650115586072303;-0.008770618121157847;-0.004631793477517603;-0.0009989139463251106;-0.006856963393410599;-0.015669319859155796;-0.008404849388693271;-0.02616947061643246;-0.0022232329658002305;-0.0025580204088542;-0.003756282326073751;-0.02956135401978043;-0.005379574318306958;-0.02947839733161067;-0.01507917992668809;-0.0008710477950658879;-0.010652980861780825;-0.04640701015677667;-0.005092956512095786;-0.019149146087149474;-0.010758709160069645;-0.02167711925473938;-0.0009971148196772277;-0.020645688438967996;-0.005994614186577151;-0.02705992825755992;-0.018819331056594214;-0.009266360187467201;-0.019807583806720718;-0.007254047769777896;-0.0006055847237923026;-0.006935666728886;-0.01868548938157363;-0.023629557949128716;-0.005182865480419087;-0.03159878097372507;-0.0281381754240989;-0.007532823009435782;-0.009045598777838658;-0.009261523326218346;-0.0025221491561317503;-0.003304231301545216;-0.033652726619901756;-0.006907962530068451;-0.0048583929872520045;-0.027064865826717587;-0.003814334982584159;-0.013020878732825404;-0.006458594722299736;-0.01242721730794896;-0.026261558013445308;-0.008038515744715936;-0.0010737127258679657;-0.011051033568758096;-0.017441489134489018;-0.014434335174803333;-0.003901017054420358;-0.005895257736070302;-0.0179118108987468;-0.0032473586089181183;-0.03310693909994896;-0.009443673704785868;-0.004430239602861417;-0.0043774252970894085;-0.02279423677330593;-0.0020508516658486833;-0.00385925634374713;-0.0266077830775189;-0.013846955512436934;-0.009244613085086983;-0.004116007840167797;-0.009848696927577116;-0.015232329922164946;-0.0012536942929485416;-0.04304178648952148;-0.009493369850230941;-0.0058821231951950255;-0.008315495154739507;-0.006282911327273589;-0.0054783486701378906;-0.0022292223539775624;-0.014162848913027472;-0.019198505830444048;-0.021580738432096746;-0.01277140162256006;0.010096732287406028;4
alpha:0.01_l1_ratio:0.4_max_iter:10000;0.0007872772216796875;9.888475844988091e-05;0.0003407812118530273;5.0719339944380825e-05;0.01;0.4;10000;-0.016753464638659305;-0.010714873824604523;-0.015413807712917435;-0.0224735746322851;-0.003965319088414844;-0.03282191000726538;-0.01039391485945212;-0.0028687005001943465;-0.007558401577457821;-0.01015761248130127;-0.02267299811392383;-0.009046041565583902;-0.008488696457452932;-0.011509748195385519;-0.019707797865820324;-0.014541330985532572;-0.005983347095074628;-0.009421693895814093;-0.0046701243477424706;-0.006041984789031272;-0.007507566762838418;-0.017277208354366486;-0.006174867497325559;-0.024248652310270947;-0.004222057178544044;-0.008705203910076377;-0.005480789572015795;-0.027891522044786666;-0.007844469291281625;-0.02564691267965634;-0.023807860832996304;-0.0009114995283292781;-0.01807874661272185;-0.04737320295923312;-0.009217040360250084;-0.008360927007260786;-0.012072915113144254;-0.019954903548913317;-0.002515742931917424;-0.020451447225418022;-0.00460798788505076;-0.012236343935799372;-0.027124280253032606;-0.013055071529429335;-0.01487780969395068;-0.004114102272143968;-0.0022926076574342293;-0.009618521794166212;-0.03711640575261164;-0.012196874078452226;-0.009049215513934741;-0.0129965926729588;-0.018317061106808658;-0.017827506790105484;-0.024661325703302043;-0.008520052816342919;-0.00702069096799274;-0.006794561643150717;-0.022484982027773315;-0.0048417995558174476;-0.009569685983990061;-0.025942997458763748;-0.00397339294413766;-0.0032867428865930737;-0.003965874610314943;-0.01592792540810897;-0.035118189271556764;-0.012555499235722316;-0.0016721536080356997;-0.008073262990762024;-0.006404076057238738;-0.01689913058949304;-0.004221062001631541;-0.010551244166143288;-0.02340731111535299;-0.012373221937678742;-0.010686029752098604;-0.01964261050866277;-0.006072677179520379;-0.0008825057715006512;-0.02175074221598109;-0.002105029991838649;-0.011034197625065125;-0.02330742591986447;-0.015724298330044215;-0.02282767077794387;-0.005310929322378588;-0.010829787981785554;-0.0009965942983151648;-0.002043420644080531;-0.01314534392320292;-0.02102354555909533;-0.005762420306567879;-0.005895648639977915;-0.007755536592668005;-0.009301739399486789;-0.008121320061242257;-0.01243567448501786;-0.025717686782876715;-0.015486492967442126;-0.012845037713076992;0.00884931245859972;5
alpha:0.01_l1_ratio:0.4_max_iter:100000;0.0007315754890441894;0.0001352729633740865;0.00032671451568603514;5.719534223375172e-05;0.01;0.4;100000;-0.016753464638659305;-0.010714873824604523;-0.015413807712917435;-0.0224735746322851;-0.003965319088414844;-0.03282191000726538;-0.01039391485945212;-0.0028687005001943465;-0.007558401577457821;-0.01015761248130127;-0.02267299811392383;-0.009046041565583902;-0.008488696457452932;-0.011509748195385519;-0.019707797865820324;-0.014541330985532572;-0.005983347095074628;-0.009421693895814093;-0.0046701243477424706;-0.006041984789031272;-0.007507566762838418;-0.017277208354366486;-0.006174867497325559;-0.024248652310270947;-0.004222057178544044;-0.008705203910076377;-0.005480789572015795;-0.027891522044786666;-0.007844469291281625;-0.02564691267965634;-0.023807860832996304;-0.0009114995283292781;-0.01807874661272185;-0.04737320295923312;-0.009217040360250084;-0.008360927007260786;-0.012072915113144254;-0.019954903548913317;-0.002515742931917424;-0.020451447225418022;-0.00460798788505076;-0.012236343935799372;-0.027124280253032606;-0.013055071529429335;-0.01487780969395068;-0.004114102272143968;-0.0022926076574342293;-0.009618521794166212;-0.03711640575261164;-0.012196874078452226;-0.009049215513934741;-0.0129965926729588;-0.018317061106808658;-0.017827506790105484;-0.024661325703302043;-0.008520052816342919;-0.00702069096799274;-0.006794561643150717;-0.022484982027773315;-0.0048417995558174476;-0.009569685983990061;-0.025942997458763748;-0.00397339294413766;-0.0032867428865930737;-0.003965874610314943;-0.01592792540810897;-0.035118189271556764;-0.012555499235722316;-0.0016721536080356997;-0.008073262990762024;-0.006404076057238738;-0.01689913058949304;-0.004221062001631541;-0.010551244166143288;-0.02340731111535299;-0.012373221937678742;-0.010686029752098604;-0.01964261050866277;-0.006072677179520379;-0.0008825057715006512;-0.02175074221598109;-0.002105029991838649;-0.011034197625065125;-0.02330742591986447;-0.015724298330044215;-0.02282767077794387;-0.005310929322378588;-0.010829787981785554;-0.0009965942983151648;-0.002043420644080531;-0.01314534392320292;-0.02102354555909533;-0.005762420306567879;-0.005895648639977915;-0.007755536592668005;-0.009301739399486789;-0.008121320061242257;-0.01243567448501786;-0.025717686782876715;-0.015486492967442126;-0.012845037713076992;0.00884931245859972;5
alpha:0.01_l1_ratio:0.4_max_iter:1000;0.0007917928695678711;0.00015373677740900438;0.00034476280212402343;6.837463201994447e-05;0.01;0.4;1000;-0.016753464638659305;-0.010714873824604523;-0.015413807712917435;-0.0224735746322851;-0.003965319088414844;-0.03282191000726538;-0.01039391485945212;-0.0028687005001943465;-0.007558401577457821;-0.01015761248130127;-0.02267299811392383;-0.009046041565583902;-0.008488696457452932;-0.011509748195385519;-0.019707797865820324;-0.014541330985532572;-0.005983347095074628;-0.009421693895814093;-0.0046701243477424706;-0.006041984789031272;-0.007507566762838418;-0.017277208354366486;-0.006174867497325559;-0.024248652310270947;-0.004222057178544044;-0.008705203910076377;-0.005480789572015795;-0.027891522044786666;-0.007844469291281625;-0.02564691267965634;-0.023807860832996304;-0.0009114995283292781;-0.01807874661272185;-0.04737320295923312;-0.009217040360250084;-0.008360927007260786;-0.012072915113144254;-0.019954903548913317;-0.002515742931917424;-0.020451447225418022;-0.00460798788505076;-0.012236343935799372;-0.027124280253032606;-0.013055071529429335;-0.01487780969395068;-0.004114102272143968;-0.0022926076574342293;-0.009618521794166212;-0.03711640575261164;-0.012196874078452226;-0.009049215513934741;-0.0129965926729588;-0.018317061106808658;-0.017827506790105484;-0.024661325703302043;-0.008520052816342919;-0.00702069096799274;-0.006794561643150717;-0.022484982027773315;-0.0048417995558174476;-0.009569685983990061;-0.025942997458763748;-0.00397339294413766;-0.0032867428865930737;-0.003965874610314943;-0.01592792540810897;-0.035118189271556764;-0.012555499235722316;-0.0016721536080356997;-0.008073262990762024;-0.006404076057238738;-0.01689913058949304;-0.004221062001631541;-0.010551244166143288;-0.02340731111535299;-0.012373221937678742;-0.010686029752098604;-0.01964261050866277;-0.006072677179520379;-0.0008825057715006512;-0.02175074221598109;-0.002105029991838649;-0.011034197625065125;-0.02330742591986447;-0.015724298330044215;-0.02282767077794387;-0.005310929322378588;-0.010829787981785554;-0.0009965942983151648;-0.002043420644080531;-0.01314534392320292;-0.02102354555909533;-0.005762420306567879;-0.005895648639977915;-0.007755536592668005;-0.009301739399486789;-0.008121320061242257;-0.01243567448501786;-0.025717686782876715;-0.015486492967442126;-0.012845037713076992;0.00884931245859972;5
alpha:0.01_l1_ratio:0.4_max_iter:100;0.0008193254470825195;0.0001709631904023447;0.00035984516143798827;6.582124703024678e-05;0.01;0.4;100;-0.01684173983605712;-0.010659017887955077;-0.015462826182935036;-0.022394985141491505;-0.00406949269998351;-0.03281475113726039;-0.010387735522435191;-0.0028687005001943465;-0.007537907311609812;-0.01015761248130127;-0.02308715370790604;-0.009080351818010935;-0.008513270470211552;-0.011509748195385519;-0.01966726928853819;-0.014271624719687652;-0.005975810645940748;-0.009421693895814093;-0.0046701243477424706;-0.006021407352057496;-0.0075052630378720534;-0.017206338988456183;-0.006168879475628142;-0.024248652310270947;-0.004219756252060501;-0.008717002127235985;-0.005468369363931458;-0.02782722474210168;-0.007844469291281625;-0.026069508070495195;-0.023810663255933597;-0.0009040763431462615;-0.018101660041110367;-0.0473446493891986;-0.009200413560747073;-0.008377518993395372;-0.012072915113144254;-0.020036582932220017;-0.0025097523886552227;-0.020522754604119745;-0.004624310311153751;-0.012417032380040436;-0.027081262130238582;-0.013055071529429335;-0.015007546344976613;-0.003965310472546763;-0.0022715435876255845;-0.009621528605000899;-0.03701272671353675;-0.012196874078452226;-0.009049215513934741;-0.012930022824031833;-0.018318199447980275;-0.017827506790105484;-0.02465554271575009;-0.008519197380685241;-0.00701844320982167;-0.006785949994690126;-0.02238128193765439;-0.004864762407470352;-0.009572117686742904;-0.025942997458763748;-0.003957856497828582;-0.0032572803241929555;-0.004008326165943093;-0.01592792540810897;-0.035118189271556764;-0.012560475090231457;-0.0016890388887173815;-0.008073262990762024;-0.006343891198266449;-0.01689729886921182;-0.004169569204053258;-0.010551244166143288;-0.02340731111535299;-0.01238046192198716;-0.010585989408854647;-0.019597098049730626;-0.006072677179520379;-0.0008687380622133585;-0.02213408300364661;-0.002105029991838649;-0.011034197625065125;-0.02330742591986447;-0.01572113607489076;-0.022782453422245035;-0.005281504671632482;-0.010833469119222292;-0.0009980699873408487;-0.0020341132692015124;-0.01314534392320292;-0.020981168049397234;-0.005706469108759;-0.0059123698044878555;-0.007754285745452034;-0.009302201295684783;-0.008121320061242257;-0.012423664700541133;-0.025717686782876715;-0.015452736374137755;-0.012849034796875585;0.008858663139894673;8
alpha:0.001_l1_ratio:0.6_max_iter:100;0.000850839614868164;0.0001338617111093122;0.00035906076431274414;6.11037421719414e-05;0.001;0.6;100;-0.024004362168890486;-0.00593593165013154;-0.010086804427570956;-0.03153835291947477;-0.010100629280015459;-0.022489584940441353;-0.008860731365909333;-0.01580646453001818;-0.0004952516722593666;-0.0114883468554176;-0.02551801040606399;-0.019483543477349395;-0.00385157442888143;-0.006929803386807783;-0.009233877052959395;-0.03035507549729545;-0.0015588528211416314;-0.008691384964647872;-0.004647836186874617;-0.0010457679042655077;-0.006582866571103724;-0.015036716989307869;-0.008532316399402112;-0.025649049065079105;-0.0021589477980374834;-0.002630478686768693;-0.003877249574849534;-0.029962958723657136;-0.005433371287440794;-0.029143278212048124;-0.015092322784646133;-0.0009893114248479213;-0.01038167085239241;-0.04701092440821394;-0.005061887806269298;-0.01918037078809338;-0.01058422366132538;-0.021657181840013005;-0.0011251456346365585;-0.020826634014398295;-0.0063727503113961146;-0.026825380417360312;-0.018880483181921027;-0.008592619386416865;-0.020711699104066505;-0.00696055085697338;-0.0005393474673879884;-0.0069233253839990185;-0.018928425408484717;-0.02499055562016378;-0.0044757086128555355;-0.0326919718895622;-0.028049077513205404;-0.007165811629848386;-0.008971929046676824;-0.009244077763528882;-0.002715799605935345;-0.0033237918554565675;-0.035055661282626875;-0.006874779790455701;-0.004725297467639213;-0.027451501814300585;-0.0038705333996212105;-0.013763254717354984;-0.006724676237409887;-0.012138956750157456;-0.026759764915872574;-0.007756970514373389;-0.0009559103481843141;-0.011277928677144314;-0.018694341841540806;-0.014728570633595088;-0.0038330965295303005;-0.005753960864217996;-0.017917751638590395;-0.003246595008480086;-0.0332220496819294;-0.00943480235051118;-0.004497445824657998;-0.0045073937687683035;-0.02226634071902248;-0.002345893360645819;-0.003708960656230688;-0.026778959283731474;-0.014087963019921561;-0.009209140741576118;-0.0038679360807664116;-0.009422334076334091;-0.01588478371294084;-0.001148475538174523;-0.04234367685303615;-0.009366796711979637;-0.0056396342841043175;-0.008516351500655621;-0.005975428802637024;-0.0055550651994425194;-0.002196376630315238;-0.014473662522231317;-0.01927633757652269;-0.022020578433211757;-0.01286678337274628;0.010256364672385391;9
alpha:0.01_l1_ratio:0.5_max_iter:100;0.0007217359542846679;0.00012738575667867286;0.00032399892807006837;7.18133887479959e-05;0.01;0.5;100;-0.017963140358313277;-0.0102897330244055;-0.014820625171738926;-0.023739075409882317;-0.003097625700778791;-0.03274500208529052;-0.01035948756643943;-0.0023083517619311446;-0.00817649129078478;-0.009807289063183768;-0.021453025103572134;-0.00881677385031448;-0.009031371071235446;-0.011789457801541866;-0.02073289432463367;-0.013610485122035753;-0.005647594067822629;-0.008797925942344366;-0.0049169839616755575;-0.006395139952815547;-0.0074822091717171735;-0.016570870914407138;-0.0062145296473829085;-0.024992288406778047;-0.004055613559367386;-0.009206669022537464;-0.0053563892289170386;-0.028820674426155147;-0.007809343918640156;-0.024788109454207674;-0.024858281325967117;-0.0011164928193659151;-0.017616730734208812;-0.04920544599846094;-0.00969368103663872;-0.008802356491422489;-0.011750111660679094;-0.017919675955252023;-0.002713297086335125;-0.02073190651469695;-0.004344842904338031;-0.011268643419596658;-0.028324712071181854;-0.01281565153900703;-0.014982884714128114;-0.0032928338227082798;-0.0025417264561666954;-0.009358380477168865;-0.039366845014059584;-0.012587256533048643;-0.008582819172383389;-0.01233130863122312;-0.018478877647735953;-0.01801103373809085;-0.025748256737969103;-0.00816652032685001;-0.007377422680006826;-0.0074583557064596155;-0.024417648285123605;-0.004586541936699174;-0.010232237150463263;-0.026158827890082132;-0.0037205923709654498;-0.0032532885486551357;-0.0036605870268053326;-0.015678053492329803;-0.03681582196423497;-0.012202053017249498;-0.0013752082060967173;-0.008113898865157588;-0.005502343252942378;-0.01678414176902947;-0.004107230782588876;-0.010502690828358259;-0.024323202077937256;-0.012952511359523104;-0.00982170408482483;-0.020563073156479674;-0.0059582977562617065;-0.000859329822653414;-0.02100710888532194;-0.0022424064973081376;-0.011483764363463177;-0.023287957142450157;-0.015889433131878083;-0.023759382839630316;-0.005197030751771498;-0.010180670839073978;-0.0007432754472174634;-0.0022278016769256286;-0.01071971671990097;-0.02211094668117024;-0.005644897413280711;-0.005636731349381473;-0.007177331382822461;-0.009206243641173407;-0.008798708876338575;-0.012612306342633701;-0.027082676712875123;-0.016125913372540924;-0.012919651093076197;0.009207851027961306;10
