model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_metric;param_n_neighbors;param_metric_params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
algorithm:auto_metric:minkowski_n_neighbors:3;0.0003072929382324219;3.329170837828376e-05;0.0005510640144348144;3.4838576698619876e-05;auto;minkowski;3;;-0.06936758191157306;-0.0028476954863572916;-0.0009105172711649293;-0.036130730580769495;-0.002710896856316843;-0.006693518810558675;-0.019600311759577136;-0.00028550540861289674;-0.010270806164212302;-0.0013185006520572624;-0.0030608200204228094;-0.0005019634111155301;-0.007893078715685467;-0.02792019890163495;-0.0003570461552934996;-0.09556308233483662;-0.0010357617759345322;-0.007009455838364361;-0.010960164784068485;-0.0004096024120396436;-0.0027178980757102383;-0.0052033288389085825;-0.005455941824252768;-0.009526671570695136;-0.000904606697990991;-0.019134085932221056;-0.001001125735998716;-0.0007352288689207861;-0.0015140489584407725;-0.09215864462020229;-0.012175823755564575;-0.014734276237940182;-0.0005641650152350218;-0.0923508756780117;-0.0005330565163701458;-0.010159627943004753;-0.004968061839583446;-0.0234649601218148;-0.00018493189613153516;-0.0010252281696093166;-0.007510564234175718;-0.004904690626276575;-0.0006502253158401675;-0.0005440950152469999;-0.02014223594825369;-0.007048216919227035;-0.09298320719479919;-0.007013461750017232;-0.0003986214084459898;-0.00020690682561449767;-0.0002984640742768609;-0.014472958478629512;-0.0011820822620551854;-0.019437578044939664;-0.09215918414093328;-0.011555450878052978;-0.0006887058355015166;-0.003716089453137094;-0.00021660762869212118;-0.03552765216385614;-0.0024152683922396335;-0.002628274012898983;-0.0006874191068441901;-0.0008349993530293388;-0.09240549661389973;-0.00033200896926406073;-0.005257943023343727;-0.019292264746064467;-0.011655172977990012;-0.016101052829844757;-0.014470561139699181;-0.005702270197002309;-0.00020121843255616544;-0.004171060407601309;-0.00984988066504266;-0.0035558895803433806;-0.0006165372855861838;-0.0010304510101693128;-0.010595608363234912;-0.08250883988855194;-0.020458849476101822;-0.03158716954776948;-0.007561094370242849;-0.0009915763679342242;-0.0003143352586420333;-0.0002987319737126919;-0.0003098438676558785;-0.09557005203752507;-0.020929727166131673;-0.009429455711292936;-0.007711841129698513;-0.011573838940027004;-0.0053790722459016735;-0.00036521206357622524;-0.019150057175052925;-0.09217954238404034;-0.01050541335975604;-0.00035910327161715845;-0.0033456466884339425;-0.003677882006296068;-0.01550027487781789;0.026098007536949953;1
algorithm:auto_metric:minkowski_n_neighbors:2;0.00032596111297607423;5.601010511969351e-05;0.0005806088447570801;7.448889635840583e-05;auto;minkowski;2;;-0.0718149418220294;-0.0005418083011420559;-0.004760043923576088;-0.029386865464220577;-0.002773918013864646;-0.00020346539348142076;-0.05316720889049479;-0.0002754681643376993;-0.008311362483752584;-0.00040290950403086296;-0.007021967789721079;-0.0003277064886928054;-0.0015593863098230755;-0.029743966978449995;-0.00021271699046696078;-0.09572656589992058;-0.006041458975358704;-0.0001755604701624433;-0.008457469878538154;-0.000544288901787847;-0.00040534682689616846;-0.00011192890162863828;-0.016933359862398394;-0.0010509537358562296;-0.0011581379255859458;-0.05303041660250266;-0.006038966081411486;-0.0003177265052236689;-0.000736401716125796;-0.09565087674648014;-0.0008396351335488788;-0.039960320386432636;-0.0007586974605798664;-0.0956773863968358;-0.0006012576684331364;-0.008155981518123885;-0.01533201319863615;-0.008831081732038499;-0.00011771154333122695;-0.002480666366385324;-0.006172355787899334;-0.008828905884679803;-0.0003910967132572237;-0.0005523086228791232;-0.053348931419867275;-0.0011844545007660804;-0.10149846915248893;-0.0005405119440345961;-0.0001441874959723358;-0.000137784193283104;-0.00044011578373392925;-0.008269683636367016;-0.004987616447654608;-0.05314485645281821;-0.09555778483377815;-0.0025145597018446323;-0.00021619602826688462;-0.0006975848966975336;-0.0003140323513971797;-0.02874215013783278;-0.002189714973135258;-0.000270881088069582;-0.004482449788516802;-0.0007665063699749129;-0.09602896865418308;-0.00012401810745229922;-0.020571992198885027;-0.053325111490268584;-0.0024311501541290676;-0.0010585772575762485;-0.03992785938807298;-0.0007299914796126031;-0.00020210167444163253;-0.009032469122121611;-0.00798021430611841;-0.00033245923980791925;-0.0006506039852538981;-0.006046478460967671;-0.001301527730331773;-0.09842783954648349;-0.007619102680117834;-0.044259754504155965;-0.006311993355481699;-0.0006804296783012;-0.0002602986323404315;-0.00034757517703058147;-0.0002943234089844561;-0.09581573856074276;-0.0032265327187257116;-0.002956462017144874;-0.005154297235070527;-0.008646900592626175;-0.00030219077018055446;-0.00043874223340267484;-0.05313566099635906;-0.09553159467527263;-0.00880480629084788;-0.00030617964502226196;-0.0031317490869633706;-0.0003769552295270568;-0.017208037354415257;0.029411446335056657;2
algorithm:auto_metric:minkowski_n_neighbors:4;0.0003055906295776367;2.877011170276866e-05;0.0005405044555664062;3.05193460965638e-05;auto;minkowski;4;;-0.06115241303342538;-0.007972011935710113;-0.0032566226800698236;-0.04140157481915631;-6.142713171252418e-05;-0.015321747136309198;-0.024728181820695156;-0.00020944504622577857;-0.0023927626455937487;-0.010889577252090008;-0.007336175203424989;-0.004404983361169938;-0.008457393983312812;-0.023421274179895205;-0.004845182421971999;-0.09152653836522999;-0.006874482088068005;-0.015803199782521624;-0.0032401043392665404;-0.0002843034136664043;-0.007932092742948808;-0.011808532145414106;-0.007203254225111966;-0.010531236676916854;-0.0007907943326911977;-0.024360628588489874;-0.004406575967581109;-0.009104439200165381;-0.0016216896156101598;-0.08111421464225894;-0.018197825579273904;-0.019180115234944867;-0.0006147126617199178;-0.08140273251452304;-0.00034536342117289404;-0.0023069098460909427;-0.013738332463459325;-0.036105492875845836;-0.004675040785482787;-0.0111599709794264;-0.0015574065523459527;-0.007162548457852793;-0.004497475699079408;-0.0030153714003334584;-0.020146138034918205;-0.02056649237010867;-0.08523169944097138;-0.020048291478535644;-0.0005380785737839243;-0.0003045653871595689;-0.0002624947159136392;-0.01298734381984584;-0.003594015972066316;-0.02022352433388994;-0.08107406981130948;-0.014462181881412144;-0.00925014416518715;-0.010670001202369278;-0.0001569547761849346;-0.0408524591049742;-0.004425975902621509;-0.007874435898952353;-0.004980853331421565;-0.0005791952789773669;-0.08128922295225603;-0.0004427854399471386;-0.010122019670856358;-0.019870738220666487;-0.014524297823216894;-0.024172162831570244;-0.018320875631109915;-0.016006302397998263;-0.00016339571245495857;-0.009932357879547967;-0.004555801858068825;-0.010565334308957591;-0.000566502997952479;-0.004442404543357886;-0.011844548759294991;-0.10099474206574534;-0.02342628764865332;-0.029172923916895754;-0.0015116468941447734;-0.0010711954270768815;-0.0026316344890084703;-0.0003229838511416734;-0.00039889654503732147;-0.0915255498766059;-0.02487450560438319;-0.015497715177984135;-0.01094365790519631;-0.01796782561386664;-0.011905539357381284;-0.002646555542231983;-0.019785450628306975;-0.0811294312706644;-0.0024549587115865286;-0.00024034223280434267;-0.0059679042505652105;-0.010782701215565892;-0.017367122719809606;0.024027371238252528;3
algorithm:auto_metric:minkowski_n_neighbors:1;0.0004060220718383789;0.00010599184244232001;0.0006823563575744629;0.0001958653930533667;auto;minkowski;1;;-0.10632293489955037;-0.0006224962057130477;-0.013129707372586941;-0.050110050130105575;-0.004974934416630353;-0.00036327744108741097;-0.008417970462661845;-0.0005998997108316179;-0.009328928617841356;-0.0007599120019142159;-0.0009594702023401023;-0.0007609660771437355;-0.0017256050935335438;-0.14576764571851042;-0.0007300224640916666;-0.14196530146039868;-0.017325842452785036;-0.000501879959585241;-0.008881617785861993;-0.00121151255965285;-0.00048089405467412075;-0.00041769295267058294;-0.00995527272739053;-0.0009635675898520148;-0.0012206912007514607;-0.007680571749741482;-0.017255380330718207;-0.0011391044113201654;-0.0015480309337023025;-0.14166991278827554;-0.0009639070457556615;-0.005920775199814902;-0.0009264161610510845;-0.14193185108575146;-0.0011262826654178744;-0.008705111166947393;-0.018368784707746586;-0.0003481915839319929;-0.0006383365433079426;-0.002145263768549645;-0.0063277808184817805;-0.003795284218453212;-0.0007886061082892349;-0.0005961520962174627;-0.007685021455902945;-0.0015068985520372928;-0.15882919822407723;-0.0011811548714741372;-0.00020649128746206882;-3.7289636325938876e-05;-0.0008821309327830756;-0.009657969448938115;-0.013620251903356587;-0.007526744027674265;-0.1416718644419927;-0.0016981493614192085;-0.0008710407670547614;-0.0006216546337648353;-0.0003170873205430524;-0.04922105216584601;-0.0036653208426541367;-0.0002724974729748919;-0.01302780648874418;-0.0011515057062156883;-0.1419611510810534;-0.0002151607782019452;-0.010065883566028003;-0.00761721870655195;-0.0017243499709057918;-0.0014832420865011416;-0.005845286959785744;-0.0016400710489526938;-0.00031107948029692676;-0.0011322488357267439;-0.008395546676941578;-0.00032174685024709016;-0.0009767489566918938;-0.017220513714152095;-0.0015444931426307205;-0.1459625238222375;-0.0012679083981576278;-0.01823071646215808;-0.0064707411950960985;-0.0011009165265718664;-0.00038350812863089984;-0.0009304304766623613;-0.0003461710609294359;-0.14193043136017222;-0.0026152374189440074;-0.004460052364726282;-0.013643417507750838;-0.001961467456367339;-0.0005645820942372177;-0.000635432778419925;-0.007155938128598292;-0.14167089035696429;-0.00941940329671904;-0.00032062243187590527;-0.005729717934562755;-0.00036806881393697185;-0.02008647886351266;0.0433734513688979;4
algorithm:auto_metric:minkowski_n_neighbors:5;0.00030988216400146485;4.10342911203315e-05;0.0005662178993225097;6.395576402391906e-05;auto;minkowski;5;;-0.07354950151107559;-0.011436660895605447;-0.0009216896566369656;-0.0517862446600823;-0.001257559153390818;-0.02065261304969365;-0.030094690044566927;-0.0003273793609271879;-0.004678676983929833;-0.02045780672008869;-0.00704561985311643;-0.00818264903188812;-0.013563366369396253;-0.022833686370554815;-0.0028610259386749365;-0.1127693571012256;-0.009120834803742822;-0.025073933231859732;-0.006904383936610271;-0.0002944754493207902;-0.011427523458169551;-0.01876861550550591;-0.012654374598457733;-0.017423941685082146;-0.0006837356907307936;-0.022097972966759777;-0.0012975340487087214;-0.01835204813153338;-0.007024210018897663;-0.09766348080755832;-0.0236533870281801;-0.0227262923412041;-0.0006382710129770386;-0.09795129953933739;-0.0002486117745485439;-0.0045576492639200095;-0.010242026855246614;-0.03858829285288786;-0.002774204333229009;-0.016608827965718425;-0.0002639954471474792;-0.007776895062907595;-0.008263674274029291;-0.008417915367233556;-0.024759404665202645;-0.028019379247725375;-0.07860587868118053;-0.023408005563442025;-0.004469811887429976;-0.00028888810831672674;-0.00024217783440640966;-0.016565492643196296;-0.001257697146536729;-0.02330852289994702;-0.0976559341059085;-0.0210197737108939;-0.018375108848273994;-0.015269754043554433;-0.00011766010306656218;-0.0512538442878637;-0.00838383073862499;-0.011377721960928082;-0.006721028661187662;-0.0005764693187736998;-0.09778469778143623;-0.004385026540412427;-0.016163884961600025;-0.019635491856743893;-0.021083967334528317;-0.03149624014581318;-0.01664943211728496;-0.02011703477263518;-0.00025584802310701633;-0.013505207005552113;-0.007948455851511967;-0.01521785376422053;-0.0005485416391134255;-0.0013084858943630017;-0.024149911811285635;-0.09417053638558585;-0.03017865625708865;-0.02346166882948781;-0.00022938951556504048;-0.004989669828273614;-0.007931397760245913;-0.00025339997458744814;-0.00039265036815859885;-0.11276201041527457;-0.03838648447317052;-0.021971651026287158;-0.019176738663654647;-0.02260531010439974;-0.018824632892549042;-0.007966501640879193;-0.01945546882035382;-0.09767702639376746;-0.0007196727878869264;-0.00029871347756047883;-0.011317484223881673;-0.015397843453941844;-0.02144010305401025;0.02737365277203685;5
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}_n_neighbors:1";0.00039717674255371096;0.00010219356934861672;0.006389405727386475;0.011892349748921586;brute;mahalanobis;1;"{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}_n_neighbors:2";0.0004249930381774902;9.682279403445333e-05;0.026106786727905274;0.02478443771588122;brute;mahalanobis;2;"{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}_n_neighbors:3";0.00042415857315063475;0.00010008081206274675;0.026830461025238037;0.02617005657039567;brute;mahalanobis;3;"{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}_n_neighbors:4";0.00042340278625488284;9.574251490833454e-05;0.02611560583114624;0.025161654326130677;brute;mahalanobis;4;"{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}_n_neighbors:5";0.00039341211318969725;7.263427467037364e-05;0.022150468826293946;0.021553885075533196;brute;mahalanobis;5;"{'V': array([[ 1.2342571 ,  0.45833722,  0.55883871, ..., -0.84567785,
        -0.29452101, -0.65318857],
       [ 0.45833722,  0.21087206,  0.25043148, ..., -0.23016316,
        -0.0769884 , -0.26697477],
       [ 0.55883871,  0.25043148,  0.30252609, ..., -0.30378825,
        -0.09584843, -0.31796192],
       ...,
       [-0.84567785, -0.23016316, -0.30378825, ...,  0.99403909,
         0.44273487,  0.28206864],
       [-0.29452101, -0.0769884 , -0.09584843, ...,  0.44273487,
         0.37601958,  0.10840172],
       [-0.65318857, -0.26697477, -0.31796192, ...,  0.28206864,
         0.10840172,  0.48946282]]), 'VI': array([[  835.27496804,   272.3828945 ,  -633.86448378, ...,
           36.03628986,  -217.03085186, -1083.93959876],
       [  272.38289449,   417.66091917,  -689.38167485, ...,
           18.61474589,   -44.09530142,  -264.53270731],
       [ -633.86448373,  -689.38167489,  2048.44353124, ...,
         -130.4552549 ,    35.25974132,    98.23581219],
       ...,
       [   36.03628985,    18.6147459 ,  -130.4552549 , ...,
           56.88086796,   -27.33065016,    -9.26401706],
       [ -217.03085187,   -44.09530142,    35.25974133, ...,
          -27.33065016,   142.18018786,   481.55824796],
       [-1083.9395988 ,  -264.5327073 ,    98.2358122 , ...,
           -9.26401708,   481.55824796,  2165.82047867]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
