model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:0.001_max_iter:100;0.0007914113998413086;0.00015316787843357803;0.00033691644668579104;6.83743222157466e-05;0.001;100;-0.008208032838931978;-0.0013778846461817346;-0.003262173069170641;-0.005991281990992406;-0.007847073614106042;-0.0035204367644229087;-0.015632190935204914;-0.0016485325454476854;-0.00507680921483461;-0.00040271236919813257;-0.00111384391836602;-0.003022011491371026;-0.004376470281606687;-0.0053410816491004645;-0.0050461790347273;-0.010866699930460548;-0.0018508848506094127;-0.006457036385489883;-0.0012993253805576607;-0.0024385815016311225;-0.004197858165091421;-0.004767027396771696;-0.0028389702568106965;-0.005267947002756038;-0.006103785492372866;-0.007205397836898366;-0.0022932990823852114;-0.0015886436639175477;-0.0011119597736050806;-0.009895032140708035;-0.003918584896045057;-0.014492229209915872;-0.001552569697951542;-0.01152516628061664;-0.004888624100858617;-0.0054689655436592245;-0.0011199008615824946;-0.0011614356458431866;-0.001652032567134654;-0.0038571188564152665;-0.0043065729382043005;-0.002976409920097991;-0.004925998954390346;-0.007790635511436596;-0.007018285211833665;-0.0028533609311609805;-0.008569376870359422;-0.005148054422825889;-0.004029098784575839;-0.0017109754276863397;-0.0010694044805176857;-0.0054048777516478175;-0.0016082641823095233;-0.008548756030838085;-0.010057986778636058;-0.0020007996147354905;-0.00305773863898224;-0.005115312358860438;-0.004516698715230874;-0.004185764889675185;-0.003840815442466972;-0.0009337154470618128;-0.0004988548042937945;-0.005466698355729331;-0.012736833686548996;-0.0066730461926743255;-0.0027923941699686365;-0.006067100136669917;-0.0020799614655477327;-0.00533560523339198;-0.009776517579050365;-0.003192392489658186;-0.002566832226610677;-0.003521309193502039;-0.0009040599388316933;-0.0005883322225719107;-0.0026713667922625365;-0.0023840037532613413;-0.0050562810193018224;-0.014950097026034883;-0.0022643441003720203;-0.005397241927708818;-0.0023838588605214948;-0.006431597943256897;-0.002231996198925599;-0.002578657299459948;-0.0023448098059833306;-0.011596185023856969;-0.0038948952687754674;-0.0067995161470196215;-0.003169562869687173;-0.0017147200731195149;-0.00603363948277125;-0.0018102533995653892;-0.009007225564179459;-0.009511908020855163;-0.0027958962573175986;-0.0023666989782631983;-0.002840907361869921;-0.0033143787052863187;-0.004651046737619895;0.003321308178129024;1
alpha:0.0005_max_iter:1000;0.000946505069732666;0.000202988755667702;0.00030165910720825195;6.074975924142355e-05;0.0005;1000;-0.00669464073399436;-0.001545471333180044;-0.002633376012723067;-0.005850593957307971;-0.014191018726576202;-0.0030337796972723864;-0.01362568473122303;-0.0014378145914933644;-0.00556816817639957;-0.00048104289632762827;-0.0009823213777244968;-0.002969655668483409;-0.00427007969376866;-0.004758145322292789;-0.004900197683195186;-0.008902950248951096;-0.0029177239416744434;-0.0057842463209865;-0.001919676241302215;-0.0023040066342831993;-0.004450965973979185;-0.004814892129535173;-0.005007080240702328;-0.005938442523628196;-0.00598143928775819;-0.006185375237608568;-0.002746050259120169;-0.000878943264212014;-0.0018364970118041632;-0.008169023910053632;-0.003355952876094576;-0.014362890602889726;-0.0017597285373221795;-0.008797340476204132;-0.0055695811087622;-0.006377724273722241;-0.0021209874286372177;-0.0008741039990085858;-0.001565709396520216;-0.005767504428526505;-0.004564239343448061;-0.004375313782063685;-0.003459281016697315;-0.011280018596273091;-0.006169245681760596;-0.002858069944123193;-0.009520060665945808;-0.003926789831080058;-0.0034072555199772367;-0.0014388084792052041;-0.002473664099326649;-0.006233666596598672;-0.002760324075615159;-0.008207303559197103;-0.007969644857391314;-0.0022216340476806603;-0.002285468679165571;-0.00455688469943012;-0.004829873120359751;-0.004091375746549168;-0.0033373169982759687;-0.001035168317675799;-0.0020213436502964093;-0.006113852599973546;-0.009615066878291617;-0.0070953808692331725;-0.0034524704176750846;-0.005714420385699461;-0.002223035469109428;-0.004444051497406197;-0.008966589078772645;-0.002077229960181663;-0.00290935782517458;-0.003073516428444368;-0.0017331860640195512;-0.0006230067318132613;-0.0029362962416787583;-0.0031908582774973888;-0.006009105140012675;-0.01479249617609077;-0.0011887430062550045;-0.005367839808972157;-0.003176918068256142;-0.006541887365147042;-0.00232660550908053;-0.0032309054126775337;-0.0018171542451884814;-0.009367257593985807;-0.003772380726119788;-0.006571644000811412;-0.006122324709847279;-0.0019074622804252758;-0.0059416230539493155;-0.0018067540049239571;-0.008585323428774258;-0.008306216629714567;-0.0034532502036296597;-0.003059506135842055;-0.0038450625374746466;-0.0025679205073528126;-0.004682802775328873;0.0030887381067549228;2
alpha:0.0005_max_iter:100000;0.0009023618698120118;0.00016154267745834412;0.0002903056144714356;5.105541852662001e-05;0.0005;100000;-0.00669464073399436;-0.001545471333180044;-0.002633376012723067;-0.005850593957307971;-0.014191018726576202;-0.0030337796972723864;-0.01362568473122303;-0.0014378145914933644;-0.00556816817639957;-0.00048104289632762827;-0.0009823213777244968;-0.002969655668483409;-0.00427007969376866;-0.004758145322292789;-0.004900197683195186;-0.008902950248951096;-0.0029177239416744434;-0.0057842463209865;-0.001919676241302215;-0.0023040066342831993;-0.004450965973979185;-0.004814892129535173;-0.005007080240702328;-0.005938442523628196;-0.00598143928775819;-0.006185375237608568;-0.002746050259120169;-0.000878943264212014;-0.0018364970118041632;-0.008169023910053632;-0.003355952876094576;-0.014362890602889726;-0.0017597285373221795;-0.008797340476204132;-0.0055695811087622;-0.006377724273722241;-0.0021209874286372177;-0.0008741039990085858;-0.001565709396520216;-0.005767504428526505;-0.004564239343448061;-0.004375313782063685;-0.003459281016697315;-0.011280018596273091;-0.006169245681760596;-0.002858069944123193;-0.009520060665945808;-0.003926789831080058;-0.0034072555199772367;-0.0014388084792052041;-0.002473664099326649;-0.006233666596598672;-0.002760324075615159;-0.008207303559197103;-0.007969644857391314;-0.0022216340476806603;-0.002285468679165571;-0.00455688469943012;-0.004829873120359751;-0.004091375746549168;-0.0033373169982759687;-0.001035168317675799;-0.0020213436502964093;-0.006113852599973546;-0.009615066878291617;-0.0070953808692331725;-0.0034524704176750846;-0.005714420385699461;-0.002223035469109428;-0.004444051497406197;-0.008966589078772645;-0.002077229960181663;-0.00290935782517458;-0.003073516428444368;-0.0017331860640195512;-0.0006230067318132613;-0.0029362962416787583;-0.0031908582774973888;-0.006009105140012675;-0.01479249617609077;-0.0011887430062550045;-0.005367839808972157;-0.003176918068256142;-0.006541887365147042;-0.00232660550908053;-0.0032309054126775337;-0.0018171542451884814;-0.009367257593985807;-0.003772380726119788;-0.006571644000811412;-0.006122324709847279;-0.0019074622804252758;-0.0059416230539493155;-0.0018067540049239571;-0.008585323428774258;-0.008306216629714567;-0.0034532502036296597;-0.003059506135842055;-0.0038450625374746466;-0.0025679205073528126;-0.004682802775328873;0.0030887381067549228;2
alpha:0.0005_max_iter:10000;0.0009407258033752442;0.0002191267525680004;0.00030849456787109377;5.9630738078201425e-05;0.0005;10000;-0.00669464073399436;-0.001545471333180044;-0.002633376012723067;-0.005850593957307971;-0.014191018726576202;-0.0030337796972723864;-0.01362568473122303;-0.0014378145914933644;-0.00556816817639957;-0.00048104289632762827;-0.0009823213777244968;-0.002969655668483409;-0.00427007969376866;-0.004758145322292789;-0.004900197683195186;-0.008902950248951096;-0.0029177239416744434;-0.0057842463209865;-0.001919676241302215;-0.0023040066342831993;-0.004450965973979185;-0.004814892129535173;-0.005007080240702328;-0.005938442523628196;-0.00598143928775819;-0.006185375237608568;-0.002746050259120169;-0.000878943264212014;-0.0018364970118041632;-0.008169023910053632;-0.003355952876094576;-0.014362890602889726;-0.0017597285373221795;-0.008797340476204132;-0.0055695811087622;-0.006377724273722241;-0.0021209874286372177;-0.0008741039990085858;-0.001565709396520216;-0.005767504428526505;-0.004564239343448061;-0.004375313782063685;-0.003459281016697315;-0.011280018596273091;-0.006169245681760596;-0.002858069944123193;-0.009520060665945808;-0.003926789831080058;-0.0034072555199772367;-0.0014388084792052041;-0.002473664099326649;-0.006233666596598672;-0.002760324075615159;-0.008207303559197103;-0.007969644857391314;-0.0022216340476806603;-0.002285468679165571;-0.00455688469943012;-0.004829873120359751;-0.004091375746549168;-0.0033373169982759687;-0.001035168317675799;-0.0020213436502964093;-0.006113852599973546;-0.009615066878291617;-0.0070953808692331725;-0.0034524704176750846;-0.005714420385699461;-0.002223035469109428;-0.004444051497406197;-0.008966589078772645;-0.002077229960181663;-0.00290935782517458;-0.003073516428444368;-0.0017331860640195512;-0.0006230067318132613;-0.0029362962416787583;-0.0031908582774973888;-0.006009105140012675;-0.01479249617609077;-0.0011887430062550045;-0.005367839808972157;-0.003176918068256142;-0.006541887365147042;-0.00232660550908053;-0.0032309054126775337;-0.0018171542451884814;-0.009367257593985807;-0.003772380726119788;-0.006571644000811412;-0.006122324709847279;-0.0019074622804252758;-0.0059416230539493155;-0.0018067540049239571;-0.008585323428774258;-0.008306216629714567;-0.0034532502036296597;-0.003059506135842055;-0.0038450625374746466;-0.0025679205073528126;-0.004682802775328873;0.0030887381067549228;2
alpha:0.001_max_iter:100000;0.0009790945053100586;0.00022074745510623547;0.0003339242935180664;6.808133580576307e-05;0.001;100000;-0.009097781627657446;-0.0014072759620774849;-0.0029831736097547137;-0.005920301842223201;-0.008785232520755252;-0.0033912016704316806;-0.01794058509595083;-0.0014990233528952256;-0.004555420052823038;-0.0005092298766823238;-0.0012843986859105855;-0.003011715880486399;-0.004403933484886421;-0.00555960633877733;-0.0051751677663754445;-0.011401384506486228;-0.0017620563952159658;-0.005822745154620498;-0.001308861030703717;-0.002471816505600047;-0.0037690668980123417;-0.004621259110858481;-0.0029304859065176327;-0.005326977422021974;-0.00632648104747223;-0.0076582589449946115;-0.002099664774500905;-0.0012915772737962417;-0.0013844449494031805;-0.010143470108128931;-0.0038433883085974133;-0.015011407244821721;-0.0016246073462063962;-0.012693651954110182;-0.005591881688862454;-0.004798349743730991;-0.001069995659396047;-0.0010775202486260577;-0.0016913374519678594;-0.0039702853609660605;-0.0042646913101999995;-0.0029926579725323144;-0.004911964836975364;-0.008867633263914711;-0.0075183430445395815;-0.0027831433278403725;-0.009637049604092346;-0.0044472362670864045;-0.0030189268611529297;-0.0017173820230284582;-0.0011638952071529878;-0.0051139108716728434;-0.0018263582219759569;-0.008428913179366247;-0.010446156126369897;-0.002009368167255898;-0.002814191559664126;-0.005294209828296383;-0.00455472063797622;-0.004143904759745296;-0.003909882287053757;-0.00109877808623931;-0.00034302233395075703;-0.0052164105805859754;-0.013383940457304804;-0.006107119403608041;-0.0028491643898488437;-0.0061686034144143274;-0.002182305374631486;-0.004752857206412545;-0.010861290391883417;-0.002744552690401361;-0.0025400928439224604;-0.0028128604821019807;-0.0009690293465679369;-0.0006480695494651305;-0.002810269890684946;-0.002605839952322241;-0.005099410846716484;-0.016182197114177232;-0.002103606288973649;-0.005593343260930648;-0.0023803562740982087;-0.00592708085527774;-0.0022139508364310075;-0.0031124872027333828;-0.0027260738593436564;-0.012835746157610505;-0.003835161648219744;-0.006764629706225791;-0.003033064519988361;-0.0017167956823184232;-0.005751664481433483;-0.0016756883456661674;-0.00981356513829316;-0.01027401540802014;-0.0028752490215125715;-0.0023635598526391224;-0.0027160595603919393;-0.0031734048449566406;-0.004753408794615013;0.003629241122095583;5
alpha:0.001_max_iter:10000;0.0008475947380065918;0.0001624669754040288;0.0002959251403808594;4.6710392168420044e-05;0.001;10000;-0.009097781627657446;-0.0014072759620774849;-0.0029831736097547137;-0.005920301842223201;-0.008785232520755252;-0.0033912016704316806;-0.01794058509595083;-0.0014990233528952256;-0.004555420052823038;-0.0005092298766823238;-0.0012843986859105855;-0.003011715880486399;-0.004403933484886421;-0.00555960633877733;-0.0051751677663754445;-0.011401384506486228;-0.0017620563952159658;-0.005822745154620498;-0.001308861030703717;-0.002471816505600047;-0.0037690668980123417;-0.004621259110858481;-0.0029304859065176327;-0.005326977422021974;-0.00632648104747223;-0.0076582589449946115;-0.002099664774500905;-0.0012915772737962417;-0.0013844449494031805;-0.010143470108128931;-0.0038433883085974133;-0.015011407244821721;-0.0016246073462063962;-0.012693651954110182;-0.005591881688862454;-0.004798349743730991;-0.001069995659396047;-0.0010775202486260577;-0.0016913374519678594;-0.0039702853609660605;-0.0042646913101999995;-0.0029926579725323144;-0.004911964836975364;-0.008867633263914711;-0.0075183430445395815;-0.0027831433278403725;-0.009637049604092346;-0.0044472362670864045;-0.0030189268611529297;-0.0017173820230284582;-0.0011638952071529878;-0.0051139108716728434;-0.0018263582219759569;-0.008428913179366247;-0.010446156126369897;-0.002009368167255898;-0.002814191559664126;-0.005294209828296383;-0.00455472063797622;-0.004143904759745296;-0.003909882287053757;-0.00109877808623931;-0.00034302233395075703;-0.0052164105805859754;-0.013383940457304804;-0.006107119403608041;-0.0028491643898488437;-0.0061686034144143274;-0.002182305374631486;-0.004752857206412545;-0.010861290391883417;-0.002744552690401361;-0.0025400928439224604;-0.0028128604821019807;-0.0009690293465679369;-0.0006480695494651305;-0.002810269890684946;-0.002605839952322241;-0.005099410846716484;-0.016182197114177232;-0.002103606288973649;-0.005593343260930648;-0.0023803562740982087;-0.00592708085527774;-0.0022139508364310075;-0.0031124872027333828;-0.0027260738593436564;-0.012835746157610505;-0.003835161648219744;-0.006764629706225791;-0.003033064519988361;-0.0017167956823184232;-0.005751664481433483;-0.0016756883456661674;-0.00981356513829316;-0.01027401540802014;-0.0028752490215125715;-0.0023635598526391224;-0.0027160595603919393;-0.0031734048449566406;-0.004753408794615013;0.003629241122095583;5
alpha:0.001_max_iter:1000;0.000814974308013916;0.00014440696021853316;0.0002817535400390625;4.573046250209173e-05;0.001;1000;-0.009097781627657446;-0.0014072759620774849;-0.0029831736097547137;-0.005920301842223201;-0.008785232520755252;-0.0033912016704316806;-0.01794058509595083;-0.0014990233528952256;-0.004555420052823038;-0.0005092298766823238;-0.0012843986859105855;-0.003011715880486399;-0.004403933484886421;-0.00555960633877733;-0.0051751677663754445;-0.011401384506486228;-0.0017620563952159658;-0.005822745154620498;-0.001308861030703717;-0.002471816505600047;-0.0037690668980123417;-0.004621259110858481;-0.0029304859065176327;-0.005326977422021974;-0.00632648104747223;-0.0076582589449946115;-0.002099664774500905;-0.0012915772737962417;-0.0013844449494031805;-0.010143470108128931;-0.0038433883085974133;-0.015011407244821721;-0.0016246073462063962;-0.012693651954110182;-0.005591881688862454;-0.004798349743730991;-0.001069995659396047;-0.0010775202486260577;-0.0016913374519678594;-0.0039702853609660605;-0.0042646913101999995;-0.0029926579725323144;-0.004911964836975364;-0.008867633263914711;-0.0075183430445395815;-0.0027831433278403725;-0.009637049604092346;-0.0044472362670864045;-0.0030189268611529297;-0.0017173820230284582;-0.0011638952071529878;-0.0051139108716728434;-0.0018263582219759569;-0.008428913179366247;-0.010446156126369897;-0.002009368167255898;-0.002814191559664126;-0.005294209828296383;-0.00455472063797622;-0.004143904759745296;-0.003909882287053757;-0.00109877808623931;-0.00034302233395075703;-0.0052164105805859754;-0.013383940457304804;-0.006107119403608041;-0.0028491643898488437;-0.0061686034144143274;-0.002182305374631486;-0.004752857206412545;-0.010861290391883417;-0.002744552690401361;-0.0025400928439224604;-0.0028128604821019807;-0.0009690293465679369;-0.0006480695494651305;-0.002810269890684946;-0.002605839952322241;-0.005099410846716484;-0.016182197114177232;-0.002103606288973649;-0.005593343260930648;-0.0023803562740982087;-0.00592708085527774;-0.0022139508364310075;-0.0031124872027333828;-0.0027260738593436564;-0.012835746157610505;-0.003835161648219744;-0.006764629706225791;-0.003033064519988361;-0.0017167956823184232;-0.005751664481433483;-0.0016756883456661674;-0.00981356513829316;-0.01027401540802014;-0.0028752490215125715;-0.0023635598526391224;-0.0027160595603919393;-0.0031734048449566406;-0.004753408794615013;0.003629241122095583;5
alpha:0.0005_max_iter:100;0.0008092188835144043;0.00019192961547324236;0.00033266305923461913;8.116523642960312e-05;0.0005;100;-0.007469870786667222;-0.0014610113202398658;-0.0033839562000999275;-0.00601086246074171;-0.014919740808949292;-0.0031728792605097886;-0.013779192931920073;-0.0017410650802487857;-0.006119389006012603;-0.00034482192956862627;-0.0009565304021432086;-0.0030852457779940406;-0.004258985126984458;-0.004715046397845288;-0.005173200803753725;-0.01019120541235531;-0.0026804265450421534;-0.0078926793063126;-0.0017855847750887874;-0.002539024576510745;-0.006100103632211482;-0.006287519820363478;-0.004154370872307372;-0.0061221484334635645;-0.005876279188494333;-0.006174668855209026;-0.0030230235753432237;-0.0012720270656003704;-0.0013470961557242882;-0.008868490138474443;-0.0035137224620808913;-0.012680287129354558;-0.001688348311192757;-0.009544995263972685;-0.004930595088059916;-0.006513358705546931;-0.002024627163900059;-0.0009712620489752511;-0.0017460821052084276;-0.006246266548637453;-0.00472473933656338;-0.004831451878792151;-0.004134012255214251;-0.009672924299355276;-0.0058961908695503;-0.0029726544702156307;-0.010016487366136684;-0.004799144080394234;-0.0045001203879168755;-0.0013539227609701554;-0.0016257893602048233;-0.006203273847796916;-0.002328851436136322;-0.008357867216473082;-0.007744257257914993;-0.002558566417404693;-0.002528273632717418;-0.004629444954780904;-0.005957754775303762;-0.0041698584658637055;-0.0034139817575265514;-0.0008657830699064553;-0.0014208092262780504;-0.006615859184796464;-0.010435692575847632;-0.007559257237293698;-0.003122638601007761;-0.005868360688718068;-0.0025195278064100274;-0.005227237928862868;-0.008292774382735721;-0.002684030995001733;-0.0030008994390779567;-0.0038874959487724295;-0.0014745013492575615;-0.00052681666561318;-0.002994513130595872;-0.0031511505858842965;-0.006282152425070065;-0.01901584415741427;-0.0015951781284331938;-0.0053934170167230545;-0.0036021716325696706;-0.0072484488495564775;-0.0024519198603755836;-0.0023134474440071042;-0.001628134618207426;-0.010229807792538936;-0.004194068964309203;-0.006709764434550035;-0.004928868115122496;-0.0021862015274791654;-0.007557866559903965;-0.0022808307368117884;-0.007989191283342032;-0.00908635123422871;-0.0032173396418913205;-0.0035986102689876376;-0.0034683829938796894;-0.002678854296768302;-0.0049048975909857075;0.003304546661498989;8
alpha:0.00025_max_iter:100000;0.0013859224319458007;0.00038885395040093675;0.0003632521629333496;8.053934943173062e-05;0.00025;100000;-0.007239049206509151;-0.0018253709674098467;-0.003229344947569021;-0.006050805157581386;-0.018436268931345083;-0.002879062664936734;-0.012205917444808577;-0.001411787008339593;-0.007012819499246626;-0.0007222807443079291;-0.000907151086519454;-0.0034801942061402306;-0.004492041420132926;-0.004755453616571077;-0.0051007436121580365;-0.013968566997769634;-0.004720539371205039;-0.0057737022680410255;-0.0025234278547750203;-0.0025226671329156556;-0.005230825036013145;-0.004676508366917066;-0.007491202098248332;-0.00688270763703146;-0.006205238497911867;-0.005912405920962187;-0.004314778509890652;-0.000641596566998766;-0.002243583169197588;-0.012668996508819565;-0.003162707687219844;-0.014515094546573107;-0.002277809726849663;-0.009785401613981356;-0.005949549660144597;-0.008423349306933121;-0.004414131406990753;-0.001433404211537562;-0.001686563552573576;-0.007636882643150214;-0.0047627932676744394;-0.005815608350783114;-0.00284927742292541;-0.013678324617736257;-0.006288256071760589;-0.002891461763967405;-0.012368353384841428;-0.0037395242052260234;-0.003957775874408866;-0.0013736024786755294;-0.003453840505105627;-0.006948898993375278;-0.0046315738616542566;-0.009718946062827869;-0.01077164174401854;-0.0027056353869752002;-0.002080202107167565;-0.004358774803735242;-0.005539692167520157;-0.004644553090832758;-0.003746629516318681;-0.0009867048985882237;-0.004186759764953773;-0.007213240652874276;-0.011660289623198076;-0.0075584174567813025;-0.004443658972547753;-0.006307250743389036;-0.002414841378315369;-0.004397133375064689;-0.008112489378245593;-0.0019331624946293847;-0.0031709381288891085;-0.0034880395949857222;-0.002742122972394741;-0.0007232624749877776;-0.003092405053123365;-0.004845342517461642;-0.006993978194966867;-0.019688743667158278;-0.0010276523008435877;-0.0056350672485815795;-0.0037511033044684006;-0.007367820758729274;-0.0025939035837154287;-0.0036911588839679947;-0.0023356554750299107;-0.010855738416969907;-0.003906207825507877;-0.0067063026776373975;-0.008914062674404312;-0.002206916455793637;-0.005974260166037592;-0.0019038754721788177;-0.008526214600359164;-0.010822571200845453;-0.0039555180378091;-0.004195070695731211;-0.0047353645413611605;-0.002301914823990629;-0.0054650045697027414;0.0037444988996216916;9
alpha:0.00025_max_iter:10000;0.0012498855590820312;0.0003782536913519543;0.0003332924842834473;7.50317947282291e-05;0.00025;10000;-0.007239049206509151;-0.0018253709674098467;-0.003229344947569021;-0.006050805157581386;-0.018436268931345083;-0.002879062664936734;-0.012205917444808577;-0.001411787008339593;-0.007012819499246626;-0.0007222807443079291;-0.000907151086519454;-0.0034801942061402306;-0.004492041420132926;-0.004755453616571077;-0.0051007436121580365;-0.013968566997769634;-0.004720539371205039;-0.0057737022680410255;-0.0025234278547750203;-0.0025226671329156556;-0.005230825036013145;-0.004676508366917066;-0.007491202098248332;-0.00688270763703146;-0.006205238497911867;-0.005912405920962187;-0.004314778509890652;-0.000641596566998766;-0.002243583169197588;-0.012668996508819565;-0.003162707687219844;-0.014515094546573107;-0.002277809726849663;-0.009785401613981356;-0.005949549660144597;-0.008423349306933121;-0.004414131406990753;-0.001433404211537562;-0.001686563552573576;-0.007636882643150214;-0.0047627932676744394;-0.005815608350783114;-0.00284927742292541;-0.013678324617736257;-0.006288256071760589;-0.002891461763967405;-0.012368353384841428;-0.0037395242052260234;-0.003957775874408866;-0.0013736024786755294;-0.003453840505105627;-0.006948898993375278;-0.0046315738616542566;-0.009718946062827869;-0.01077164174401854;-0.0027056353869752002;-0.002080202107167565;-0.004358774803735242;-0.005539692167520157;-0.004644553090832758;-0.003746629516318681;-0.0009867048985882237;-0.004186759764953773;-0.007213240652874276;-0.011660289623198076;-0.0075584174567813025;-0.004443658972547753;-0.006307250743389036;-0.002414841378315369;-0.004397133375064689;-0.008112489378245593;-0.0019331624946293847;-0.0031709381288891085;-0.0034880395949857222;-0.002742122972394741;-0.0007232624749877776;-0.003092405053123365;-0.004845342517461642;-0.006993978194966867;-0.019688743667158278;-0.0010276523008435877;-0.0056350672485815795;-0.0037511033044684006;-0.007367820758729274;-0.0025939035837154287;-0.0036911588839679947;-0.0023356554750299107;-0.010855738416969907;-0.003906207825507877;-0.0067063026776373975;-0.008914062674404312;-0.002206916455793637;-0.005974260166037592;-0.0019038754721788177;-0.008526214600359164;-0.010822571200845453;-0.0039555180378091;-0.004195070695731211;-0.0047353645413611605;-0.002301914823990629;-0.0054650045697027414;0.0037444988996216916;9
