model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;param_n_estimators;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
criterion:mse_n_estimators:200;0.44894280672073367;0.0408617855476182;0.028620564937591554;0.003150670664180987;mse;200;-0.1094865480737581;-0.0005495738216646686;-0.00045756956685385147;-0.008830345425037743;-0.00021936801669918157;-0.003796651736484965;-0.008136203263498487;-0.0003505296845132903;-0.0017909541068472949;-0.001350471871300677;-0.0003565175901746303;-0.005570309325297174;-0.002762854922787827;-0.0028823607155824588;-0.0006843101963933053;-0.14945208830519166;-0.000974859523700999;-0.004112411415685907;-0.0019326721476091316;-0.0006725352913370683;-0.00026515320371273165;-0.0018621650750488957;-0.001243262109681776;-0.004109147193976047;-0.0006815649050367871;-0.0026506737134022584;-0.0007616718490241202;-0.006462283607469824;-0.0016103270374771452;-0.14280587173113077;-0.002751982862981148;-0.003202794543202485;-0.0005074173013960136;-0.15760191382892375;-0.0006188154703231848;-0.0008848649270109331;-0.0021678088658680264;-0.0018097243022141612;-0.0005353097964468672;-0.0016535305759956002;-0.0006535190748333554;-0.0006155789607680034;-0.006308617633323607;-0.0009151270819478842;-0.002431370168450049;-0.00403089153587377;-0.15498436643458985;-0.0044402517681812565;-0.0004314362287596012;-0.00012679953391990222;-0.0004809268690312039;-0.0030554786550033687;-0.0003803792556924402;-0.001854299258809227;-0.16229442079946624;-0.002804070244605788;-0.0058163077537629155;-0.00025797550976349;-0.0002571218174374059;-0.00765841246608501;-0.005359196487413237;-0.0002969802677954923;-0.00021222671258862522;-0.0005911739822908299;-0.1433436275110839;-0.0008786307341716984;-0.0037156600341680477;-0.0015648175081323865;-0.00393299758179329;-0.00631733190627952;-0.002834065499700656;-0.011294635779752158;-0.0003101767916262123;-0.0008210002004932342;-0.0011906407357549216;-0.0005340159127047108;-0.0004874147192141768;-0.0008875886119288533;-0.004181852789703511;-0.13799629292893523;-0.012729631338695105;-0.0017834419251295543;-0.0006430971473270588;-0.0015725615979838249;-0.00026717066869797005;-0.0007274761213687158;-0.0003289229114516223;-0.14787386120050963;-0.006053812375451333;-0.0025454474965620395;-0.0031024350895576362;-0.0034610937640044154;-0.0032022703114618044;-0.00017286021171480023;-0.001894228250537645;-0.1460357589161361;-0.001784920766689753;-0.0004399816598158763;-0.010675953291220534;-0.0003674917480855572;-0.01670765512438977;0.043121048184488905;1
criterion:mse_n_estimators:100;0.22097771644592284;0.011266968169384687;0.014805874824523925;0.0014700827756279026;mse;100;-0.11918591030689012;-0.00040466659830546754;-0.0003455910216332462;-0.005591485264868545;-0.00018602467325541848;-0.0027877342415195227;-0.0070046372720621196;-0.0003400987452315532;-0.0029391757348978306;-0.0002169612436325335;-0.00042907222888533426;-0.004280117726056807;-0.0026819821024119746;-0.0026275696903619726;-0.0005811266594527736;-0.1413935103052673;-0.00033337364408030497;-0.0030505778944868982;-0.00224515059013277;-0.0006376716575747383;-0.0007089713824009796;-0.003983991489686547;-0.001780851479427339;-0.0027669931102413873;-0.0006922981536972903;-0.001905202016226944;-0.0004342165636423267;-0.007677396959320797;-0.0018382747673982016;-0.15695998554927296;-0.005182113203879521;-0.005432566022137336;-0.0004936335618869367;-0.1343850632325742;-0.0009098803015295523;-0.0007607222304859551;-0.003054875063836844;-0.0004009479190143729;-0.0006528539892100802;-0.0020452786744355697;-0.0006685183890811876;-0.0005034355429806943;-0.0040793199744557865;-0.0010187800329557646;-0.004352227731374705;-0.0017789128088701058;-0.15564838857868082;-0.0031962162708685667;-0.0021103647400612414;-0.00020714121216035405;-0.00043621832063553753;-0.0013020096332343966;-0.0004125347638720312;-0.001766548332405632;-0.15208194460725297;-0.0025326603533957393;-0.009315952371709804;-0.0006059154222207301;-0.0002384493514385519;-0.008492398630447396;-0.00865535741765909;-8.618868490917097e-05;-0.0006596258097101559;-0.0005236161776473492;-0.14853652883079183;-0.00026282911458085345;-0.0021598598259808884;-0.0034174929793116143;-0.004028728693655663;-0.005918857111808319;-0.0018063061947592874;-0.012416996144342107;-0.0004147920726150951;-0.002189869740695299;-0.0007186062178128399;-0.0004464119883602424;-0.0004614648357436473;-0.00022098729580271055;-0.0031996934928775144;-0.14305995173204217;-0.017740103318105216;-0.0008510415205530676;-0.0010565767673826319;-0.0015233760433388218;-0.00013452811151416137;-0.000574790715346187;-0.00033846257083088455;-0.15073390979704063;-0.0073848232725559305;-0.0026280087562810563;-0.0043889551524454555;-0.00310971994043032;-0.002055553230757156;-0.00036723416002906436;-0.0017580019533113827;-0.14676980807188386;-0.0021312910630719023;-0.0004243600769776716;-0.010353911838637236;-0.0005314268432091786;-0.016741165379042224;0.04294142465919641;2
criterion:mse_n_estimators:500;1.1155365562438966;0.06413249882387942;0.07234536170959473;0.009625724649168312;mse;500;-0.1113565697107837;-0.0004358703250358551;-0.0006381114421897868;-0.005890108253354621;-0.00015753430094716747;-0.0035787097001762514;-0.006085893941210909;-0.0003434423185095413;-0.0017683491627448744;-0.0010436744908576137;-0.0005739036608155427;-0.0057989822695914146;-0.002444485678535502;-0.0023173385257956067;-0.0007743474387375398;-0.14756755089670434;-0.000632924461718802;-0.004937765163135869;-0.0016490026153415545;-0.0008250025982106261;-0.000267145531991599;-0.003677989881597479;-0.0013844946869371222;-0.003482639993266585;-0.0006329411950546696;-0.0025936059823942936;-0.0002595442818253938;-0.006114867943343258;-0.001721754447686826;-0.1509761156179972;-0.00498981264424993;-0.00444185258956425;-0.0005010768273218185;-0.15033138377370428;-0.0008239581402815048;-0.0012835292243778091;-0.0009296589117383235;-0.0025129386604665015;-0.0007556354070558184;-0.001506018503495603;-0.0007125572445681686;-0.0010099669091905583;-0.006135905747491297;-0.000877008899331138;-0.003110455451760832;-0.003943489321447325;-0.15655907352239065;-0.004469532460170401;-0.0007562485009641877;-0.00018120801450374662;-0.00044209960333614883;-0.0026964688612735313;-0.0006664566471121838;-0.0026593824629799895;-0.15116789169178943;-0.003936770403858339;-0.006145734883701109;-0.0004973110869408879;-0.0002573587001356822;-0.008118843079694177;-0.006326807897113503;-0.0001183527605330731;-0.0002736887194926643;-0.0006910908330154146;-0.14678642633335082;-0.0011390052057009834;-0.002302117674085435;-0.0015127761893320485;-0.0026058018103708416;-0.006025129497033624;-0.0024358154289844634;-0.011654961985764725;-0.000302013466616452;-0.0012231483634194268;-0.0004551991395558494;-0.00033877302551823635;-0.0004799640459722539;-0.0002359749725940576;-0.003950645330339198;-0.15090198118260054;-0.014969012798805812;-0.001239421746532085;-0.001101796968276688;-0.0010756021949797066;-0.0001325814186600873;-0.000774225392021208;-0.0003661991461820205;-0.14572732718665268;-0.006680930257015834;-0.0026606745868023433;-0.0031857451330177225;-0.003181964218496849;-0.003548289197944738;-0.00022894941125475203;-0.0024754412204941486;-0.14863134875783807;-0.0017148847689072676;-0.00033498846111764904;-0.00911132257981669;-0.0006711473663196216;-0.01679921821363917;0.04330481085072097;3
criterion:mse_n_estimators:10;0.023888916969299318;0.00575086205471011;0.002171666622161865;0.00033460289867694843;mse;10;-0.10469113675675383;-0.0007585916966516588;-0.0002828965468134522;-0.0023104655585852165;-0.00016155587954543659;-0.0024234771912294826;-0.005708221070469269;-0.00047396026822612257;-0.006853885653704178;-0.007581942834927471;-0.00030862209288788384;-0.004337689483652322;-0.0019236977073315478;-0.006332711138464245;-0.0009989324288023121;-0.12100775521935568;-0.002254769147967448;-0.005060901209539008;-0.0030131202047510783;-0.003130465435837105;-0.0004453136675893782;-0.004751950350225275;-0.0016245157625358012;-0.0014054866401206252;-0.0003515109896957581;-0.002482668227687368;-0.0002936460299877188;-0.004607369460568135;-0.002239253795687049;-0.12810241040293352;-0.0026317265447332082;-0.010584056544772489;-0.000513528002701492;-0.15800441548482597;-0.00180283800158063;-0.003100700658610617;-0.0010353393591905353;-0.000946276479224934;-0.003287399620909636;-0.0007773992399392189;-0.0006412924981175445;-0.001909279602211481;-0.006927758387782336;-0.0006203603011999858;-0.0010666501420041883;-0.0011684720968223971;-0.14720230732804276;-0.004529787028839004;-0.0006738863860607003;-0.0002436236874382781;-0.0003452365000374815;-0.002285222376871104;-0.0017921717028560249;-0.005051463266201913;-0.19171024537243933;-0.0028304960076096005;-0.006044050751665068;-0.00021464505176436977;-0.00020831008509249605;-0.0049762149351420554;-0.0054993555358321235;-0.000157989295351131;-0.0009180651478802054;-0.00044735509054422774;-0.13020075659834418;-0.00042069267900253575;-0.020412703380985064;-0.0019021021993756535;-0.0019545065670418197;-0.008429642796269813;-0.007164404676694721;-0.012542488391096474;-0.0006276460592713677;-0.007849358129805795;-0.0012220203404426809;-0.000650928008542199;-0.0006115068946315796;-0.004083370414954942;-0.007623756636635247;-0.14802403384671015;-0.01486750005654182;-0.0011981453864287651;-0.0017782502303651491;-0.004497554429300844;-8.672703746614009e-05;-0.0006380908461029927;-0.00020112877117799244;-0.1443204608591729;-0.008133321379447604;-0.0034213857293793394;-0.0019735274342806727;-0.0026562226796030632;-0.004354173478411778;-5.0531953823236175e-05;-0.0006781948512329158;-0.13246531612620674;-0.003917872505750476;-0.0002949453817032082;-0.010999677707018998;-0.004203763291460884;-0.016905235491214993;0.04196314847608014;4
criterion:mse_n_estimators:50;0.11563898086547851;0.010481838022493823;0.008436143398284912;0.0018925284780976783;mse;50;-0.10961398776073229;-0.0002550744824094778;-0.0005658747858104611;-0.00791771066550241;-0.00031794176670645177;-0.002312651317707941;-0.006997390600391871;-0.0003599078876577518;-0.002751784583838412;-0.0004676810534113447;-0.00024600072682071236;-0.005134635121172497;-0.0031045619701175193;-0.0025735944253907537;-0.0004335706651175016;-0.14671584837217513;-0.0003097125797641304;-0.0046256961744497145;-0.002298332784658168;-0.0005574345075143727;-0.0001542451698907911;-0.002084500474792495;-0.002237485628343458;-0.002507950218878415;-0.0007335168077017047;-0.0011731281326830768;-0.00020525884828672745;-0.007527745752278266;-0.0025044050921828533;-0.148819477458542;-0.005082459517335058;-0.0033189599511500543;-0.0005398363521556175;-0.15167187915750993;-0.0007090458435105428;-0.0016458528084316935;-0.0020756486181045725;-0.0002360663698426793;-0.00048736364048646306;-0.003995478328275859;-0.000355947429381877;-0.0006728903588760036;-0.005186087027372397;-0.000811143504748655;-0.003731757489605733;-0.004963341404789461;-0.1567162765963537;-0.0034876645354321397;-0.00038797110657358516;-8.456906058829604e-05;-0.00047455336520580826;-0.0014788392418687629;-0.0004565150636449351;-0.0020482474753766673;-0.15687827220741166;-0.002891976962705257;-0.0048203477985573695;-0.0002300959900930162;-0.00021770883307027262;-0.010578474094023628;-0.0072038385253937;-0.00024410768676079713;-0.0007157510422154456;-0.0004389445029761468;-0.16477339704746596;-0.0008166512862392302;-0.0017286849776038521;-0.001967579836115453;-0.0029955464571494173;-0.0066047033255852115;-0.0019881238931099676;-0.007301905797894053;-0.00030985006065118337;-0.002367758669658687;-0.0016525980858717827;-0.00020162448918556065;-0.000495728858041241;-0.0002312013817832662;-0.003647346559113625;-0.13035006731164697;-0.01844692768406121;-0.0002549078842853003;-0.0012115102821964997;-0.0019952930507112876;-0.00019036889235928356;-0.0006103290714256738;-0.0007832513289468181;-0.1684054948426402;-0.008063962119933625;-0.0024611612396481354;-0.003058715923765336;-0.002600120762693857;-0.0029054261568364423;-0.0005645542583975653;-0.0012716098521283643;-0.15916864100236247;-0.0011930411660340896;-0.00039406479718065305;-0.004836130708708141;-0.0003294154891202679;-0.01706522712255307;0.04447530950992009;5
criterion:absolute_error_n_estimators:50;0.126893789768219;0.004556235480327703;0.007615501880645752;0.0006059817264832189;absolute_error;50;-0.12060046580416454;-0.0014503728578420224;-0.0003074209195909713;-0.010272890110330229;-0.0005334849080382622;-0.0038308789227120606;-0.01387886371498469;-0.00033924791797491715;-0.0024168188732405934;-0.0013561641570033192;-0.0026020787883205857;-0.006869625411379047;-0.0021536215186908846;-0.0017225673693639096;-0.0007015511937489353;-0.14388312980909285;-0.00037891220520536113;-0.00996837147188276;-0.004262390446469029;-0.0007232188236570661;-0.0001457917781056466;-0.007756380329758048;-0.003150975949068074;-0.00244714966466729;-0.0007156683088462011;-0.0029986375538897073;-0.0004086870074416272;-0.012861605378151801;-0.0022050304322880875;-0.1330842062182296;-0.00778591273001049;-0.006811298042869454;-0.0005488919678961846;-0.13102054343851083;-0.0014261880417799136;-0.003011021765665202;-0.002931668062972669;-0.008483423392424957;-0.0007517868465026072;-0.00197047417614799;-0.0017843244628265478;-0.0035547671176097985;-0.006769641655419274;-0.0008774457015976895;-0.002595183128203748;-0.005367528697750153;-0.13882766082698994;-0.013311115194836437;-0.0004762582685271275;-0.00016866268193108366;-0.0004495155600882408;-0.0063839004732783936;-0.0004573093890927985;-0.0012366754269174777;-0.1303118990615588;-0.004995235891723393;-0.007387023063514116;-0.0003191515481548867;-0.0003350589094454927;-0.0017186010002811353;-0.01060760928083807;-0.0004186606500057957;-0.0001821687794834871;-0.0003249869500006521;-0.15054795934785867;-0.0004043654248411441;-0.005638677499918882;-0.0008108964118285802;-0.004429667358647836;-0.014877303589157419;-0.0005519068715715695;-0.018519929275783418;-0.00033316786195890203;-0.0025850265102385517;-0.004192582068639282;-0.005063334518638053;-0.0004951654246438076;-0.00011863496897084806;-0.01100736075377544;-0.12151613872315287;-0.022808263267698706;-0.00015269518505239087;-0.0015525787855627333;-0.0005654253506691967;-9.053723523454872e-05;-0.0013180064224242328;-0.00040628506179031244;-0.15399309287813148;-0.007149236970269464;-0.008616800656751883;-0.0028687551067362277;-0.003109937173999794;-0.007466868728935556;-0.00022657975859141261;-0.000682674713137447;-0.16071463551074225;-0.0022525984911018764;-0.00019082762589916832;-0.015440905066985389;-0.0008535601562380232;-0.017291801807845706;0.04082715484689312;6
criterion:absolute_error_n_estimators:200;0.5199907946586609;0.05317777230481463;0.028504531383514404;0.0017939695545626307;absolute_error;200;-0.10999985359906497;-0.000635930852895911;-0.000269500166264459;-0.005200671825311928;-0.0004311198473358349;-0.006176059535552301;-0.011712762048484931;-0.00033309680832470666;-0.003690301937539551;-0.0014024149206849747;-0.0008083021182007782;-0.006582098319386273;-0.002728865521187196;-0.0002385457315179562;-0.0008959438100745145;-0.14595110683087753;-0.0003487093740631672;-0.007613874414724608;-0.0029806859358003884;-0.00048013200291422835;-0.0007078094504325931;-0.007938307697739446;-0.0023773732376169998;-0.002631444855193636;-0.0006547820374638447;-0.0017241576689488159;-0.00021927123382154453;-0.008180504788684657;-0.0021405629544758585;-0.15173160772429403;-0.007221573427357667;-0.005302256121858255;-0.00044015857930548624;-0.14693629975679015;-0.0009386653368661527;-0.0026547050229786344;-0.0023975881953353013;-0.0034656735989920754;-0.0006735115583896651;-0.0029591084444180356;-0.0026141797610813406;-0.001389888515700192;-0.00672009679133286;-0.0011276597737521425;-0.0013731285198650934;-0.003942843756783115;-0.14763236721279674;-0.008736073360972957;-0.0018119948412695364;-0.00022116876908288616;-0.0005458849105962925;-0.005286225123143974;-0.000541690568197663;-0.001583100277876224;-0.1510584983025919;-0.005171788188559961;-0.008850650310339455;-0.0009915191036444701;-0.0002729825243427339;-0.00817108260765118;-0.0063698760646988175;-0.0001620689450610609;-0.0003418698942500977;-0.000589406927829336;-0.14320359465786767;-0.0007052163731951718;-0.003514624645460139;-0.00030867909847413967;-0.004159526033222679;-0.009336006762819716;-0.0006067428776570255;-0.018757782920722756;-0.00031356227939200007;-0.0004692375489094653;-0.00209832760495096;-0.0005254501733958577;-0.00047630106526102157;-0.0001818399350571392;-0.005717155410835041;-0.14359277602194517;-0.022658268676538498;-0.00030436581311182984;-0.0016926419426982603;-0.0012404018409461575;-0.0005227570678609571;-0.000715304179435781;-0.0004448472196511365;-0.15125230172224377;-0.007884161773724342;-0.007565160556446925;-0.0036566692563440514;-0.0034739643292830283;-0.007806586339913543;-0.00041534758490583274;-0.00010490842731425983;-0.14770190135342018;-0.00340368540127722;-0.00027536130286220543;-0.010732513242365042;-0.001272095585054225;-0.01732371449367152;0.042520511811577726;7
criterion:absolute_error_n_estimators:500;1.352316391468048;0.15076517302660686;0.07788298606872558;0.022752374646015133;absolute_error;500;-0.10987390187860163;-0.0011768371940375348;-0.00019340026669585066;-0.007481029347690747;-0.0007696890057327146;-0.005895616874722592;-0.009675307234256253;-0.0003916296746209531;-0.0043372252519735845;-0.001520763041163875;-0.0007088068383126078;-0.008017511470625712;-0.003482959379751513;-6.95504850909546e-05;-0.0007860112592529139;-0.14258122518924143;-0.0004841034298532687;-0.00931545861273085;-0.0030737717076353283;-0.0006553301171864774;-0.0009836744440907975;-0.0053256421347770335;-0.0030519203091375776;-0.0035141953900179757;-0.000619046884622803;-0.0012457057865352483;-0.0003778043045261051;-0.009423357796861553;-0.0019956924540316568;-0.15016502740375753;-0.008544925503735073;-0.007249643111958745;-0.0005235868956068323;-0.15134431945869947;-0.0007274638823574551;-0.0024491291644769026;-0.001599824213793753;-0.004622180354945134;-0.0007379190438746988;-0.003518949701122569;-0.0019884735786855076;-0.001636621274327665;-0.007072751333523602;-0.0011181055324625652;-0.0016597572416740408;-0.0035906491304252574;-0.15239264236001207;-0.01052499029906323;-0.001029609439902604;-0.00022289794442368306;-0.0006364132021042117;-0.005323676268769585;-0.00044989172247177393;-0.0019348107336379181;-0.14462639899249982;-0.004015474309577534;-0.010191281539097007;-0.0007629949626567945;-0.0002743177536970684;-0.006638429862090113;-0.007763310100720183;-0.0006942767273690015;-0.00023951799414022388;-0.0005848405502935336;-0.14603507010647734;-0.0012004009222361196;-0.004370427048914267;-0.00038929405843185076;-0.003509936985870042;-0.011827872825970328;-0.0006413373595943688;-0.018725173754552047;-0.00035065207019492086;-0.001573542015888207;-0.0022758041416296474;-0.0013376852721169435;-0.00048369939657318963;-0.0004192146313912462;-0.005616166005836434;-0.14829760527150668;-0.022550803098088015;-0.0006312354702452235;-0.0017831925390766525;-0.0015252057395524652;-0.00027006478623661464;-0.0006817758893097964;-0.00035055377233422547;-0.14792930030924686;-0.008156102458162581;-0.0050924439381119044;-0.004854702990862423;-0.0036041975843743314;-0.006543741474426496;-0.0004832718510441765;-0.0002829794234725928;-0.14248173677795584;-0.0029349105112599916;-0.0003115058622517826;-0.012060104431717485;-0.001182241449122765;-0.01744646221575766;0.04238050024548058;8
criterion:absolute_error_n_estimators:100;0.253871283531189;0.009900144313855925;0.014681053161621094;0.0010665826573864206;absolute_error;100;-0.10882353652380033;-0.0014246225736523187;-0.0002765510747551333;-0.00978272234900388;-0.0009065641909333145;-0.008229398349136198;-0.011196376747611958;-0.00033362059663566597;-0.0019242759085011509;-0.00273695509592067;-0.001073007981220884;-0.007462931315052803;-0.004352604357445226;-0.00028529336489190206;-0.0009371890008281362;-0.14215866003143626;-0.0009191241923904338;-0.007990236051922188;-0.004042623996300415;-0.0009821501466705563;-0.0008466637270294608;-0.004434988807664547;-0.0023364843365909424;-0.0025499175175748958;-0.0006152914827532838;-0.0007272968687344456;-0.0002152051618034236;-0.01444260301083765;-0.002207033518873877;-0.15619119869904852;-0.00864024624160193;-0.004969672862470757;-0.0005709950514757489;-0.14552394000493948;-0.0014173382243999697;-0.0020437178392814412;-0.0021241776278773496;-0.00394096025671374;-0.0005742030901250281;-0.0030917115470180372;-0.001135403523745705;-0.0013362280364704686;-0.007212532263555219;-0.0013065348725550055;-0.0016203683161645584;-0.003040014743997536;-0.15872958246270255;-0.009181589090496167;-0.000646396170478844;-0.00019878924770902213;-0.0005346920042143089;-0.005685874622678685;-0.000532635221358823;-0.00069508786483175;-0.16162749325783557;-0.0049841267714527595;-0.01057601740420421;-0.0007785329223815775;-0.00029134841985667203;-0.007041669246176493;-0.008187296868331142;-0.0006914073039129898;-0.00020515251500113769;-0.0005902987655261262;-0.14679330916831226;-0.0014594702824642762;-0.004861272323849214;-0.0002594805325989199;-0.002844976859642794;-0.008033113486308452;-0.0019068861789868516;-0.021041162560829024;-0.0003936629849559392;-0.0021251423795633447;-0.0024961516382769142;-0.0005360811030730202;-0.0004861952117478135;-0.0003296907203956941;-0.006601705823784791;-0.14548075509639347;-0.020445633309056;-0.0001032077739028028;-0.0015761219450326287;-0.0023760760166019576;-0.000521603101343962;-0.0005625326814001712;-0.0004317536264407821;-0.14635038660382982;-0.007672786978093098;-0.00539321249424552;-0.004008915727711203;-0.004173662426246542;-0.006325820161177427;-0.00018470162118027237;-9.863167089848596e-05;-0.1439947047087403;-0.002725308613430625;-0.0003000331841961996;-0.012379503017439826;-0.001179356386129313;-0.01766584170038841;0.04303919939492432;9
criterion:absolute_error_n_estimators:10;0.026641557216644286;0.0038168250830128655;0.002204844951629639;0.00025884733084745245;absolute_error;10;-0.11858092547868393;-7.521675167879105e-05;-0.00039679953023258156;-0.0016478417124466467;-0.00035006697228492125;-0.009716584555948121;-0.019292881085972418;-0.00038315106148431875;-0.004717808460959529;-0.0013095591324041745;-0.0015344803618392681;-0.0026230612544837838;-0.007082047571577853;-0.000974366907457508;-0.0008347527313145238;-0.16075002269678407;-0.0003176161964585801;-0.021078575166935187;-0.003753616006950674;-0.0005105377693439934;-0.003180724968090958;-0.004761887024426994;-0.001816050222932249;-0.006120239413764303;-0.0005558115425106102;-0.0028357237089179105;-0.0028167454776621384;-0.018683470569707632;-0.0015353645402934192;-0.14102694785650727;-0.02033016879007275;-0.0026737513644770707;-0.0004817772168373593;-0.1500460893650478;-0.0002581566019446335;-0.002929989317706579;-0.0052734055922148615;-0.004483919457726626;-0.00013346844190128667;-0.0029448439134095814;-0.0007025739759810634;-0.0008364436792800659;-0.008214733923557524;-0.0016363866574143964;-0.009562837191206196;-0.0016801936648680963;-0.14007940587602652;-0.02220391080464662;-0.00020659045119378054;-0.0002638785998198885;-0.0007847562824104971;-0.002485330568883778;-0.0005405546416516532;-0.019556766237753483;-0.11667907197849052;-0.006504228802033219;-0.0126096546066984;-0.00029972707533647443;-0.0003290510837771455;-0.04685735667640556;-0.011106038957023895;-0.00034869602799958064;-0.002616674760455737;-0.0006850096331636438;-0.16719526611622856;-0.009585571853416545;-0.0027983193770945835;-0.0018426031591076;-0.0027101457496684148;-0.00855784029659865;-0.0005464540898158154;-0.012326091424630719;-0.00037001127414051124;-0.0025257647720899616;-0.002076168819705834;-0.0005605645575799849;-0.000619069881053684;-0.0031619199116009514;-0.0022859899933898435;-0.1142224506719141;-0.03906121521743779;-0.002192057198772372;-0.0002489916630200847;-0.0052085132240268055;-9.813221720114306e-05;-0.00021891050980970053;-0.00037843487942378805;-0.14955672753696675;-0.007744661262846494;-0.013534649938117885;-0.0026417463424205224;-0.013705681166803412;-0.012746974495050425;-0.0005413797104288973;-8.304497998027882e-05;-0.1104875533769219;-0.00522280938361635;-0.00025646150373373244;-0.018598298981227956;-0.0010054854297362307;-0.01850524279913049;0.0406552148091172;10
