model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:0.1_max_iter:100;0.0031360244750976564;0.0069738234826181135;0.0003227996826171875;0.00011482447027459598;0.1;100;-0.009664875069593267;-0.001823628421688653;-0.003991288414834681;-0.007048908483890456;-0.023601297657786718;-0.0050080741533554815;-0.018591878583647897;-0.0020518184358634035;-0.006439961005144586;-0.0006005773646120992;-0.0018544955797088957;-0.004504415319180065;-0.004977838339649215;-0.006759964080762963;-0.005871782956846025;-0.017560083624038384;-0.0019222049128827738;-0.0075904445321618615;-0.0017440701168160734;-0.0028579719429657944;-0.00655683662254135;-0.006737836442492166;-0.004487910337297304;-0.008419320771467837;-0.007503441312756019;-0.008476845200763803;-0.002611996700159759;-0.0014116670964422885;-0.0016495692214810774;-0.016550581162881557;-0.004044356767803618;-0.018887661793020656;-0.0026835440377990802;-0.012073590042750037;-0.007210560985009286;-0.006813753913024141;-0.003065434648119454;-0.0016511592137477369;-0.002107020439076114;-0.007982633044748425;-0.004840861309320191;-0.005850428685234507;-0.0047662215447900275;-0.011489382048451298;-0.009077573451438626;-0.0032715146300047165;-0.012862741462372087;-0.005379154978354857;-0.004247489962405889;-0.0013061082098314112;-0.0019414140868659914;-0.005769642741588838;-0.003186007049084503;-0.011805382718235802;-0.013407117982204184;-0.0043121262577214175;-0.0025491432349046546;-0.005375456226587906;-0.007174233032619592;-0.005720293402389172;-0.004188256658606181;-0.0015849951253822717;-0.00106644086828359;-0.00796867690892157;-0.015524999743156916;-0.008674177114316116;-0.0037281701226463087;-0.00938512842835375;-0.003773832362934147;-0.005749300133587663;-0.010272857286099302;-0.003234004892337785;-0.0034906252058526065;-0.003878886724486656;-0.0011339175830076217;-0.0005766319403998789;-0.004083622914864491;-0.003362347072416529;-0.008530983611778379;-0.020950840920236576;-0.0022804296031139364;-0.006497995449020296;-0.003902456961638425;-0.009147660523809355;-0.0027311086474742087;-0.003286328459181753;-0.0031386156688189525;-0.016052967303605056;-0.005515683741999111;-0.006908262575384394;-0.0047919441442645875;-0.004024269763334251;-0.007118069421772408;-0.0027853380179946804;-0.011135761312462175;-0.01527009819035502;-0.003852475595657242;-0.005144935046899943;-0.003826169202282814;-0.00291394026831855;-0.0063120679727827235;0.004740989356070756;1
alpha:0.1_max_iter:1000;0.0005827021598815918;0.00013107099693488694;0.0002752494812011719;4.8355043611493594e-05;0.1;1000;-0.009664875069593267;-0.001823628421688653;-0.003991288414834681;-0.007048908483890456;-0.023601297657786718;-0.0050080741533554815;-0.018591878583647897;-0.0020518184358634035;-0.006439961005144586;-0.0006005773646120992;-0.0018544955797088957;-0.004504415319180065;-0.004977838339649215;-0.006759964080762963;-0.005871782956846025;-0.017560083624038384;-0.0019222049128827738;-0.0075904445321618615;-0.0017440701168160734;-0.0028579719429657944;-0.00655683662254135;-0.006737836442492166;-0.004487910337297304;-0.008419320771467837;-0.007503441312756019;-0.008476845200763803;-0.002611996700159759;-0.0014116670964422885;-0.0016495692214810774;-0.016550581162881557;-0.004044356767803618;-0.018887661793020656;-0.0026835440377990802;-0.012073590042750037;-0.007210560985009286;-0.006813753913024141;-0.003065434648119454;-0.0016511592137477369;-0.002107020439076114;-0.007982633044748425;-0.004840861309320191;-0.005850428685234507;-0.0047662215447900275;-0.011489382048451298;-0.009077573451438626;-0.0032715146300047165;-0.012862741462372087;-0.005379154978354857;-0.004247489962405889;-0.0013061082098314112;-0.0019414140868659914;-0.005769642741588838;-0.003186007049084503;-0.011805382718235802;-0.013407117982204184;-0.0043121262577214175;-0.0025491432349046546;-0.005375456226587906;-0.007174233032619592;-0.005720293402389172;-0.004188256658606181;-0.0015849951253822717;-0.00106644086828359;-0.00796867690892157;-0.015524999743156916;-0.008674177114316116;-0.0037281701226463087;-0.00938512842835375;-0.003773832362934147;-0.005749300133587663;-0.010272857286099302;-0.003234004892337785;-0.0034906252058526065;-0.003878886724486656;-0.0011339175830076217;-0.0005766319403998789;-0.004083622914864491;-0.003362347072416529;-0.008530983611778379;-0.020950840920236576;-0.0022804296031139364;-0.006497995449020296;-0.003902456961638425;-0.009147660523809355;-0.0027311086474742087;-0.003286328459181753;-0.0031386156688189525;-0.016052967303605056;-0.005515683741999111;-0.006908262575384394;-0.0047919441442645875;-0.004024269763334251;-0.007118069421772408;-0.0027853380179946804;-0.011135761312462175;-0.01527009819035502;-0.003852475595657242;-0.005144935046899943;-0.003826169202282814;-0.00291394026831855;-0.0063120679727827235;0.004740989356070756;1
alpha:0.1_max_iter:10000;0.0005369043350219727;4.548861317664923e-05;0.00026427030563354494;2.0696360193366036e-05;0.1;10000;-0.009664875069593267;-0.001823628421688653;-0.003991288414834681;-0.007048908483890456;-0.023601297657786718;-0.0050080741533554815;-0.018591878583647897;-0.0020518184358634035;-0.006439961005144586;-0.0006005773646120992;-0.0018544955797088957;-0.004504415319180065;-0.004977838339649215;-0.006759964080762963;-0.005871782956846025;-0.017560083624038384;-0.0019222049128827738;-0.0075904445321618615;-0.0017440701168160734;-0.0028579719429657944;-0.00655683662254135;-0.006737836442492166;-0.004487910337297304;-0.008419320771467837;-0.007503441312756019;-0.008476845200763803;-0.002611996700159759;-0.0014116670964422885;-0.0016495692214810774;-0.016550581162881557;-0.004044356767803618;-0.018887661793020656;-0.0026835440377990802;-0.012073590042750037;-0.007210560985009286;-0.006813753913024141;-0.003065434648119454;-0.0016511592137477369;-0.002107020439076114;-0.007982633044748425;-0.004840861309320191;-0.005850428685234507;-0.0047662215447900275;-0.011489382048451298;-0.009077573451438626;-0.0032715146300047165;-0.012862741462372087;-0.005379154978354857;-0.004247489962405889;-0.0013061082098314112;-0.0019414140868659914;-0.005769642741588838;-0.003186007049084503;-0.011805382718235802;-0.013407117982204184;-0.0043121262577214175;-0.0025491432349046546;-0.005375456226587906;-0.007174233032619592;-0.005720293402389172;-0.004188256658606181;-0.0015849951253822717;-0.00106644086828359;-0.00796867690892157;-0.015524999743156916;-0.008674177114316116;-0.0037281701226463087;-0.00938512842835375;-0.003773832362934147;-0.005749300133587663;-0.010272857286099302;-0.003234004892337785;-0.0034906252058526065;-0.003878886724486656;-0.0011339175830076217;-0.0005766319403998789;-0.004083622914864491;-0.003362347072416529;-0.008530983611778379;-0.020950840920236576;-0.0022804296031139364;-0.006497995449020296;-0.003902456961638425;-0.009147660523809355;-0.0027311086474742087;-0.003286328459181753;-0.0031386156688189525;-0.016052967303605056;-0.005515683741999111;-0.006908262575384394;-0.0047919441442645875;-0.004024269763334251;-0.007118069421772408;-0.0027853380179946804;-0.011135761312462175;-0.01527009819035502;-0.003852475595657242;-0.005144935046899943;-0.003826169202282814;-0.00291394026831855;-0.0063120679727827235;0.004740989356070756;1
alpha:0.1_max_iter:100000;0.0005340075492858887;5.2692904083345395e-05;0.0002642369270324707;2.6120369485679456e-05;0.1;100000;-0.009664875069593267;-0.001823628421688653;-0.003991288414834681;-0.007048908483890456;-0.023601297657786718;-0.0050080741533554815;-0.018591878583647897;-0.0020518184358634035;-0.006439961005144586;-0.0006005773646120992;-0.0018544955797088957;-0.004504415319180065;-0.004977838339649215;-0.006759964080762963;-0.005871782956846025;-0.017560083624038384;-0.0019222049128827738;-0.0075904445321618615;-0.0017440701168160734;-0.0028579719429657944;-0.00655683662254135;-0.006737836442492166;-0.004487910337297304;-0.008419320771467837;-0.007503441312756019;-0.008476845200763803;-0.002611996700159759;-0.0014116670964422885;-0.0016495692214810774;-0.016550581162881557;-0.004044356767803618;-0.018887661793020656;-0.0026835440377990802;-0.012073590042750037;-0.007210560985009286;-0.006813753913024141;-0.003065434648119454;-0.0016511592137477369;-0.002107020439076114;-0.007982633044748425;-0.004840861309320191;-0.005850428685234507;-0.0047662215447900275;-0.011489382048451298;-0.009077573451438626;-0.0032715146300047165;-0.012862741462372087;-0.005379154978354857;-0.004247489962405889;-0.0013061082098314112;-0.0019414140868659914;-0.005769642741588838;-0.003186007049084503;-0.011805382718235802;-0.013407117982204184;-0.0043121262577214175;-0.0025491432349046546;-0.005375456226587906;-0.007174233032619592;-0.005720293402389172;-0.004188256658606181;-0.0015849951253822717;-0.00106644086828359;-0.00796867690892157;-0.015524999743156916;-0.008674177114316116;-0.0037281701226463087;-0.00938512842835375;-0.003773832362934147;-0.005749300133587663;-0.010272857286099302;-0.003234004892337785;-0.0034906252058526065;-0.003878886724486656;-0.0011339175830076217;-0.0005766319403998789;-0.004083622914864491;-0.003362347072416529;-0.008530983611778379;-0.020950840920236576;-0.0022804296031139364;-0.006497995449020296;-0.003902456961638425;-0.009147660523809355;-0.0027311086474742087;-0.003286328459181753;-0.0031386156688189525;-0.016052967303605056;-0.005515683741999111;-0.006908262575384394;-0.0047919441442645875;-0.004024269763334251;-0.007118069421772408;-0.0027853380179946804;-0.011135761312462175;-0.01527009819035502;-0.003852475595657242;-0.005144935046899943;-0.003826169202282814;-0.00291394026831855;-0.0063120679727827235;0.004740989356070756;1
alpha:0.01_max_iter:100;0.000533452033996582;5.925687826817778e-05;0.0002606511116027832;2.6150537842596725e-05;0.01;100;-0.009432653319789808;-0.0017022198796069236;-0.005080352472885777;-0.005894627868410427;-0.024632287447236334;-0.0047149272494948725;-0.011128233783354246;-0.0014444890308110614;-0.009924871480599073;-0.0017087442095242965;-0.0013738129476786388;-0.005716108688233247;-0.004245300366981082;-0.006009054570622667;-0.0053440818833663225;-0.023019132206813245;-0.007728619023152523;-0.007094933510106631;-0.0035510466633954228;-0.005902571409689709;-0.005507950294475987;-0.005429944714459892;-0.00978044248128157;-0.009874948659007197;-0.006491115477750352;-0.006433035003083145;-0.007907251027613915;-0.0014113926259020097;-0.003749904863152387;-0.022142833110257568;-0.003514165633303887;-0.014438700783732864;-0.002496438788933736;-0.01671791761866678;-0.012042987728576862;-0.01139642884515644;-0.013294014080726614;-0.00291121966815811;-0.001670303628671162;-0.009481872511221725;-0.004931104242946483;-0.0075990920509599585;-0.00283493589058474;-0.017076018532835257;-0.006805226642191177;-0.0032042569279594323;-0.014488310161363404;-0.003414781016589863;-0.005538472825694329;-0.0017537232912357495;-0.005399940146912511;-0.007911403759290215;-0.009621988598126067;-0.009702094385932402;-0.024373060696435137;-0.005018620096403991;-0.0020071579680103198;-0.004406413208923906;-0.007733791674936534;-0.005537763633671496;-0.004360502646148746;-0.0017328602834825826;-0.007011133193790456;-0.012170914936269478;-0.01643522600155079;-0.010675372119423427;-0.00466548016875848;-0.009074710073896325;-0.0025663724419448283;-0.0050912005296170565;-0.008722479679573328;-0.0034212420715201133;-0.003708801962107795;-0.003913094038150828;-0.004232764475766162;-0.001591935453503181;-0.002438689089218386;-0.007230171425791343;-0.009788636843483344;-0.020943527112377666;-0.0010763300626298322;-0.008767864822419829;-0.0039541665645422015;-0.012110994254184023;-0.004880666180002884;-0.006375468235234286;-0.0033342652507854127;-0.018952628895037387;-0.004168660957589822;-0.00664243066963253;-0.012723030648097353;-0.004707632531906997;-0.006657344415001659;-0.002692261966262525;-0.011494850673737468;-0.01648594502090774;-0.00592128351483194;-0.007064021921204858;-0.005325151813831111;-0.0013737324440631562;-0.007461829366951648;0.005363608369468711;5
alpha:0.01_max_iter:1000;0.0005262851715087891;5.122102320563004e-05;0.00025870800018310545;1.7167445636300377e-05;0.01;1000;-0.009432653319789808;-0.0017022198796069236;-0.005080352472885777;-0.005894627868410427;-0.024632287447236334;-0.0047149272494948725;-0.011128233783354246;-0.0014444890308110614;-0.009924871480599073;-0.0017087442095242965;-0.0013738129476786388;-0.005716108688233247;-0.004245300366981082;-0.006009054570622667;-0.0053440818833663225;-0.023019132206813245;-0.007728619023152523;-0.007094933510106631;-0.0035510466633954228;-0.005902571409689709;-0.005507950294475987;-0.005429944714459892;-0.00978044248128157;-0.009874948659007197;-0.006491115477750352;-0.006433035003083145;-0.007907251027613915;-0.0014113926259020097;-0.003749904863152387;-0.022142833110257568;-0.003514165633303887;-0.014438700783732864;-0.002496438788933736;-0.01671791761866678;-0.012042987728576862;-0.01139642884515644;-0.013294014080726614;-0.00291121966815811;-0.001670303628671162;-0.009481872511221725;-0.004931104242946483;-0.0075990920509599585;-0.00283493589058474;-0.017076018532835257;-0.006805226642191177;-0.0032042569279594323;-0.014488310161363404;-0.003414781016589863;-0.005538472825694329;-0.0017537232912357495;-0.005399940146912511;-0.007911403759290215;-0.009621988598126067;-0.009702094385932402;-0.024373060696435137;-0.005018620096403991;-0.0020071579680103198;-0.004406413208923906;-0.007733791674936534;-0.005537763633671496;-0.004360502646148746;-0.0017328602834825826;-0.007011133193790456;-0.012170914936269478;-0.01643522600155079;-0.010675372119423427;-0.00466548016875848;-0.009074710073896325;-0.0025663724419448283;-0.0050912005296170565;-0.008722479679573328;-0.0034212420715201133;-0.003708801962107795;-0.003913094038150828;-0.004232764475766162;-0.001591935453503181;-0.002438689089218386;-0.007230171425791343;-0.009788636843483344;-0.020943527112377666;-0.0010763300626298322;-0.008767864822419829;-0.0039541665645422015;-0.012110994254184023;-0.004880666180002884;-0.006375468235234286;-0.0033342652507854127;-0.018952628895037387;-0.004168660957589822;-0.00664243066963253;-0.012723030648097353;-0.004707632531906997;-0.006657344415001659;-0.002692261966262525;-0.011494850673737468;-0.01648594502090774;-0.00592128351483194;-0.007064021921204858;-0.005325151813831111;-0.0013737324440631562;-0.007461829366951648;0.005363608369468711;5
alpha:0.01_max_iter:10000;0.0005177497863769531;3.646428029367333e-05;0.0002552390098571777;1.4865981536416226e-05;0.01;10000;-0.009432653319789808;-0.0017022198796069236;-0.005080352472885777;-0.005894627868410427;-0.024632287447236334;-0.0047149272494948725;-0.011128233783354246;-0.0014444890308110614;-0.009924871480599073;-0.0017087442095242965;-0.0013738129476786388;-0.005716108688233247;-0.004245300366981082;-0.006009054570622667;-0.0053440818833663225;-0.023019132206813245;-0.007728619023152523;-0.007094933510106631;-0.0035510466633954228;-0.005902571409689709;-0.005507950294475987;-0.005429944714459892;-0.00978044248128157;-0.009874948659007197;-0.006491115477750352;-0.006433035003083145;-0.007907251027613915;-0.0014113926259020097;-0.003749904863152387;-0.022142833110257568;-0.003514165633303887;-0.014438700783732864;-0.002496438788933736;-0.01671791761866678;-0.012042987728576862;-0.01139642884515644;-0.013294014080726614;-0.00291121966815811;-0.001670303628671162;-0.009481872511221725;-0.004931104242946483;-0.0075990920509599585;-0.00283493589058474;-0.017076018532835257;-0.006805226642191177;-0.0032042569279594323;-0.014488310161363404;-0.003414781016589863;-0.005538472825694329;-0.0017537232912357495;-0.005399940146912511;-0.007911403759290215;-0.009621988598126067;-0.009702094385932402;-0.024373060696435137;-0.005018620096403991;-0.0020071579680103198;-0.004406413208923906;-0.007733791674936534;-0.005537763633671496;-0.004360502646148746;-0.0017328602834825826;-0.007011133193790456;-0.012170914936269478;-0.01643522600155079;-0.010675372119423427;-0.00466548016875848;-0.009074710073896325;-0.0025663724419448283;-0.0050912005296170565;-0.008722479679573328;-0.0034212420715201133;-0.003708801962107795;-0.003913094038150828;-0.004232764475766162;-0.001591935453503181;-0.002438689089218386;-0.007230171425791343;-0.009788636843483344;-0.020943527112377666;-0.0010763300626298322;-0.008767864822419829;-0.0039541665645422015;-0.012110994254184023;-0.004880666180002884;-0.006375468235234286;-0.0033342652507854127;-0.018952628895037387;-0.004168660957589822;-0.00664243066963253;-0.012723030648097353;-0.004707632531906997;-0.006657344415001659;-0.002692261966262525;-0.011494850673737468;-0.01648594502090774;-0.00592128351483194;-0.007064021921204858;-0.005325151813831111;-0.0013737324440631562;-0.007461829366951648;0.005363608369468711;5
alpha:0.01_max_iter:100000;0.0005484271049499512;8.221233960980567e-05;0.0002704620361328125;5.3550935874697096e-05;0.01;100000;-0.009432653319789808;-0.0017022198796069236;-0.005080352472885777;-0.005894627868410427;-0.024632287447236334;-0.0047149272494948725;-0.011128233783354246;-0.0014444890308110614;-0.009924871480599073;-0.0017087442095242965;-0.0013738129476786388;-0.005716108688233247;-0.004245300366981082;-0.006009054570622667;-0.0053440818833663225;-0.023019132206813245;-0.007728619023152523;-0.007094933510106631;-0.0035510466633954228;-0.005902571409689709;-0.005507950294475987;-0.005429944714459892;-0.00978044248128157;-0.009874948659007197;-0.006491115477750352;-0.006433035003083145;-0.007907251027613915;-0.0014113926259020097;-0.003749904863152387;-0.022142833110257568;-0.003514165633303887;-0.014438700783732864;-0.002496438788933736;-0.01671791761866678;-0.012042987728576862;-0.01139642884515644;-0.013294014080726614;-0.00291121966815811;-0.001670303628671162;-0.009481872511221725;-0.004931104242946483;-0.0075990920509599585;-0.00283493589058474;-0.017076018532835257;-0.006805226642191177;-0.0032042569279594323;-0.014488310161363404;-0.003414781016589863;-0.005538472825694329;-0.0017537232912357495;-0.005399940146912511;-0.007911403759290215;-0.009621988598126067;-0.009702094385932402;-0.024373060696435137;-0.005018620096403991;-0.0020071579680103198;-0.004406413208923906;-0.007733791674936534;-0.005537763633671496;-0.004360502646148746;-0.0017328602834825826;-0.007011133193790456;-0.012170914936269478;-0.01643522600155079;-0.010675372119423427;-0.00466548016875848;-0.009074710073896325;-0.0025663724419448283;-0.0050912005296170565;-0.008722479679573328;-0.0034212420715201133;-0.003708801962107795;-0.003913094038150828;-0.004232764475766162;-0.001591935453503181;-0.002438689089218386;-0.007230171425791343;-0.009788636843483344;-0.020943527112377666;-0.0010763300626298322;-0.008767864822419829;-0.0039541665645422015;-0.012110994254184023;-0.004880666180002884;-0.006375468235234286;-0.0033342652507854127;-0.018952628895037387;-0.004168660957589822;-0.00664243066963253;-0.012723030648097353;-0.004707632531906997;-0.006657344415001659;-0.002692261966262525;-0.011494850673737468;-0.01648594502090774;-0.00592128351483194;-0.007064021921204858;-0.005325151813831111;-0.0013737324440631562;-0.007461829366951648;0.005363608369468711;5
alpha:0.001_max_iter:100;0.0005202794075012207;3.2691739524936476e-05;0.0002576947212219238;2.175954236023225e-05;0.001;100;-0.008562189360041198;-0.0018879257879608582;-0.007171928220775058;-0.008015184642052427;-0.020256221330128433;-0.005538667778096262;-0.011346004315578901;-0.0026625969092979127;-0.010098979559413383;-0.0020381067799965873;-0.0013040063644179426;-0.006230200451426265;-0.006106992104686291;-0.005460685987909708;-0.00585540030019073;-0.02864010798955989;-0.0106700178133948;-0.009526026765741298;-0.003943814528453861;-0.010439895725481532;-0.0050650490049194315;-0.006636022278178494;-0.012240813770430353;-0.011398496338135508;-0.006997275344306574;-0.006239683668301274;-0.01172954003677215;-0.0030612466719402063;-0.004680901123086539;-0.032254711736029854;-0.006019921074393176;-0.011975212637822412;-0.003344954139223326;-0.01768015276278898;-0.015453434709549014;-0.012582927598166038;-0.018370864636737136;-0.003455258305982577;-0.0027451628770420286;-0.0096547801431272;-0.004537122175883896;-0.008417800827236276;-0.003695319236735374;-0.017309748641379328;-0.00605240944207142;-0.005699660785608538;-0.016575344917319535;-0.003111040307262857;-0.008185310658662152;-0.0037711608180842453;-0.007279959801070128;-0.008870672666407892;-0.012263762173053012;-0.008855005525334496;-0.03415191840869461;-0.006224288314584791;-0.00225507995615404;-0.005340710730851264;-0.009432732564216501;-0.007574203617472256;-0.004246240292451536;-0.0023719736033607683;-0.00943841363393023;-0.01520729430769066;-0.0185018906171357;-0.012837858433952286;-0.0037923456106555716;-0.007121841645337187;-0.0014231002283213794;-0.007250636229355596;-0.008084018866717774;-0.004650254532175489;-0.004613008534035046;-0.005056362401154232;-0.005078313500140593;-0.002688701075577135;-0.002873743310312898;-0.00952488193983343;-0.010838552292286066;-0.01873249826321384;-0.00274466150683325;-0.010266820206228367;-0.0037556821391351363;-0.021497397933857937;-0.006879881698110782;-0.007738147911902305;-0.004100836229590306;-0.02208345195562193;-0.005869771018934877;-0.006592813389924029;-0.019568363598813584;-0.006029184655865924;-0.008144720607344034;-0.003550999379186785;-0.011203905498198325;-0.01702363876143116;-0.009336367074637674;-0.008093912821154396;-0.005973156566993536;-0.001080712383148983;-0.00882810967794169;0.006358101566751853;9
alpha:0.001_max_iter:1000;0.0005143260955810546;3.4621417224792515e-05;0.0002579236030578613;2.1710540209440193e-05;0.001;1000;-0.008562189360041198;-0.0018879257879608582;-0.007171928220775058;-0.008015184642052427;-0.020256221330128433;-0.005538667778096262;-0.011346004315578901;-0.0026625969092979127;-0.010098979559413383;-0.0020381067799965873;-0.0013040063644179426;-0.006230200451426265;-0.006106992104686291;-0.005460685987909708;-0.00585540030019073;-0.02864010798955989;-0.0106700178133948;-0.009526026765741298;-0.003943814528453861;-0.010439895725481532;-0.0050650490049194315;-0.006636022278178494;-0.012240813770430353;-0.011398496338135508;-0.006997275344306574;-0.006239683668301274;-0.01172954003677215;-0.0030612466719402063;-0.004680901123086539;-0.032254711736029854;-0.006019921074393176;-0.011975212637822412;-0.003344954139223326;-0.01768015276278898;-0.015453434709549014;-0.012582927598166038;-0.018370864636737136;-0.003455258305982577;-0.0027451628770420286;-0.0096547801431272;-0.004537122175883896;-0.008417800827236276;-0.003695319236735374;-0.017309748641379328;-0.00605240944207142;-0.005699660785608538;-0.016575344917319535;-0.003111040307262857;-0.008185310658662152;-0.0037711608180842453;-0.007279959801070128;-0.008870672666407892;-0.012263762173053012;-0.008855005525334496;-0.03415191840869461;-0.006224288314584791;-0.00225507995615404;-0.005340710730851264;-0.009432732564216501;-0.007574203617472256;-0.004246240292451536;-0.0023719736033607683;-0.00943841363393023;-0.01520729430769066;-0.0185018906171357;-0.012837858433952286;-0.0037923456106555716;-0.007121841645337187;-0.0014231002283213794;-0.007250636229355596;-0.008084018866717774;-0.004650254532175489;-0.004613008534035046;-0.005056362401154232;-0.005078313500140593;-0.002688701075577135;-0.002873743310312898;-0.00952488193983343;-0.010838552292286066;-0.01873249826321384;-0.00274466150683325;-0.010266820206228367;-0.0037556821391351363;-0.021497397933857937;-0.006879881698110782;-0.007738147911902305;-0.004100836229590306;-0.02208345195562193;-0.005869771018934877;-0.006592813389924029;-0.019568363598813584;-0.006029184655865924;-0.008144720607344034;-0.003550999379186785;-0.011203905498198325;-0.01702363876143116;-0.009336367074637674;-0.008093912821154396;-0.005973156566993536;-0.001080712383148983;-0.00882810967794169;0.006358101566751853;9
