model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_epsilon;param_gamma;param_kernel;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
C:50_epsilon:0.05_gamma:0.001_kernel:rbf;0.0005409884452819825;7.287618100233841e-05;0.00030505895614624023;4.055544875669035e-05;50;0.05;0.001;rbf;-0.016592901572054543;-0.002447957613010647;-0.00300148205538689;-0.012574964882952509;-0.004023910973463747;-0.0057191806846383616;-0.017798485187004057;-0.001958306264018243;-0.006626952135715462;-0.0020265865014184857;-0.0024161888799261815;-0.005606011082764155;-0.004711188136653883;-0.007309965841819099;-0.005179965553361633;-0.02990351992196748;-0.0019806729733637717;-0.010563635794272724;-0.0017051461510095547;-0.002096385227090087;-0.0037425865784917883;-0.008351872529168358;-0.00253783632122929;-0.005986205588430563;-0.007142587069025729;-0.008721635252551114;-0.0028487584797478424;-0.004338149782674344;-0.0019879877864927837;-0.02918632272693368;-0.0062031940055541695;-0.01858760224989772;-0.0018666342574278887;-0.03144253723115393;-0.0026622854096404343;-0.004486914042819578;-0.002259979152171213;-0.0028823183504827015;-0.0026015368600654405;-0.004884277958620154;-0.0034872702026384726;-0.003984282043178583;-0.004488497448050284;-0.002142779608232537;-0.006806630054632529;-0.006066634463943645;-0.030423095258200555;-0.008251816294870765;-0.004275071827320848;-0.0009175467682935538;-0.0006886657578102766;-0.004546374258155907;-0.001966575356868563;-0.01205939033907613;-0.030110455500093513;-0.004932622660552063;-0.00408961993182364;-0.006669278760623576;-0.005026295249701755;-0.012666985338032644;-0.004851059919237129;-0.0015679666958980654;-0.0019684691080757025;-0.004303215792877633;-0.02834609580965654;-0.005936397521586277;-0.002472785637915666;-0.008593834928919268;-0.004886419505825639;-0.008785181517221683;-0.008674801356184501;-0.006859998648057532;-0.002621843538539539;-0.004910184221537669;-0.0006302546846520888;-0.001216049365525658;-0.0028942161665989658;-0.002388771286902341;-0.0071683091705985165;-0.03466708226855497;-0.008126908234514202;-0.006028108056282535;-0.0021383280419619024;-0.006900014170245497;-0.0016956692872330578;-0.0015563873834568683;-0.002884989750125376;-0.03254928798618642;-0.007872562451634113;-0.007623938728707785;-0.004257530668275861;-0.0045416923629396306;-0.00839557612906499;-0.0030684907742607385;-0.008662502472750916;-0.030405391189579026;-0.0017264398253724169;-0.003087173361011601;-0.004369295162584032;-0.0028130932338661977;-0.007430108326009887;0.008110716411927654;1
C:50_epsilon:0.01_gamma:0.001_kernel:rbf;0.0005407452583312989;4.814985098527218e-05;0.00029415130615234375;2.0815815901322056e-05;50;0.01;0.001;rbf;-0.044394966803533525;-0.0015040072011119525;-0.0021724087958478553;-0.009554111847789834;-0.005682162435919933;-0.005994094850198872;-0.03192145919925507;-0.0010395504711107012;-0.006287636287333315;-0.0047005513268943986;-0.002096814612283516;-0.005446596384869813;-0.004627819119638075;-0.018549553235797753;-0.002826211018392267;-0.07263674377165734;-0.00030550941527261846;-0.011588692571382399;-0.001167765978051603;-0.0009238773610433154;-0.0018187977371872462;-0.009240526750849196;-0.0052162556198183;-0.004425839050704961;-0.0030911333520155584;-0.019365802481221068;-0.0007510935137482235;-0.006383577484640387;-0.00042704291246919225;-0.06203274000994229;-0.006065180891298704;-0.022392325996435605;-0.0006186482125898912;-0.05328227183778486;-0.001034791113593395;-0.004093711177995221;-0.0027608802877118455;-0.009121774943281175;-0.000875094781830785;-0.003876384547281905;-0.0025303456408219335;-0.0028402283540708297;-0.005232913368670484;-0.0009229110770037806;-0.018954562733021568;-0.0052086225471890705;-0.05582121832779913;-0.012533522798223609;-0.004082427273626946;-0.00010129240350474049;-0.00020119045115906867;-0.004565911345091622;-0.0006021248862663771;-0.017644674899017082;-0.059664920131547006;-0.005406248149885269;-0.005956153858353239;-0.003259676060054158;-0.0015426218832047646;-0.010567658957734824;-0.005414689687223011;-0.0011991910353059854;-0.0005853644831932219;-0.001119753151240578;-0.06432318815398688;-0.004384999342288128;-0.006149951175076458;-0.018637778985128174;-0.005416137569366021;-0.007487174315490826;-0.015221736335287542;-0.008655672402746294;-0.0012490464318381407;-0.005555630904589896;-0.0002875437777884893;-0.0015409601808223817;-0.0017600346944236635;-0.0006335215536988878;-0.004696533153784;-0.05552840863393082;-0.00982504432528653;-0.012690785466879234;-0.0010939476513777443;-0.0067810919809189775;-0.0007983810512221666;-0.001139490800417518;-0.001007141385924229;-0.0692049214079332;-0.008372791819466027;-0.007198135426987141;-0.003850802777872294;-0.0054476679124709215;-0.008547323528881559;-0.0012064221739916897;-0.01860207472423914;-0.060581578263289686;-0.0014849672258691361;-0.0006294582517875361;-0.005848859762701581;-0.0013974500896374211;-0.011034892825303929;0.017342977314874823;2
C:10_epsilon:0.05_gamma:0.01_kernel:rbf;0.0005192327499389649;0.00010841608957159702;0.00033663034439086916;7.506942999054604e-05;10;0.05;0.01;rbf;-0.058164637801632085;-0.0013196321815903;-0.0039037704224389558;-0.006737194249176526;-0.000934414918171317;-0.007310396652731724;-0.021604344266594546;-0.0020906646334976115;-0.006372535644333761;-0.0009607306076668416;-0.0031191546507076478;-0.0033052672736853124;-0.0020148589941409237;-0.013981013605463602;-0.006083148394995179;-0.06426535645497047;-0.004212200972958395;-0.014485991065156195;-0.0011728130031680181;-0.0010604776199871198;-0.0018123779306399713;-0.01173228879593159;-0.002493885017826023;-0.0021698431452395832;-0.00557289793733697;-0.01823221554660508;-0.004715279425989095;-0.002799621899745005;-0.0008475029382514907;-0.0642343094675001;-0.005052286437051218;-0.023848718288832848;-0.0011407606180549165;-0.06608138044401819;-0.0024715965903828302;-0.006997842383628618;-0.0043278990881653445;-0.0006302246322831805;-0.0032381681942802547;-0.0016575000231525223;-0.005374483025470285;-0.0021184483701344606;-0.0020945744808383935;-0.0007035787420696465;-0.013779211797794011;-0.0028423558363049445;-0.08827025254896075;-0.006985239031554191;-0.006129808273528336;-0.0019656319220039127;-0.0026851035964367263;-0.004122982359850118;-0.004286638073326249;-0.01924616362471304;-0.06481506619921436;-0.003573209913634173;-0.0025140183647349925;-0.005187695844323996;-0.0012405627929335057;-0.006951323431160366;-0.0024327722956472755;-0.002158413499272616;-0.004159131778106758;-0.0007126120939329887;-0.07717088866729727;-0.006313501938030847;-0.0032974156984000073;-0.014749760934322018;-0.003658920415119357;-0.007575807425458183;-0.014529369404912413;-0.00548418039359714;-0.0022973237040441693;-0.007935507138518278;-0.0015940243282820045;-0.0001860288278810744;-0.001334574226388439;-0.005307542882164886;-0.0034211324152602644;-0.06458639175388096;-0.005009882815373278;-0.009904576955465141;-0.001999701821796756;-0.006576255093585444;-0.0008182698864097089;-0.0032259116917413926;-0.0011722241436681754;-0.06435872348942381;-0.006041333854830525;-0.00940317961032605;-0.004349470641373142;-0.00435147810383895;-0.01097769099701818;-0.0012379943749586655;-0.017979509350761532;-0.0686665859479746;-0.0028882394697119424;-0.0012098933422190485;-0.0024192531149453953;-0.0002853896297660549;-0.011498224146026725;0.019613882197765692;3
C:50_epsilon:0.05_gamma:0.01_kernel:rbf;0.00054396390914917;9.208124552530301e-05;0.00033235788345336914;5.9606270720239444e-05;50;0.05;0.01;rbf;-0.058164637801632085;-0.0013252726241423478;-0.002296936152252326;-0.0046598858707874976;-0.0005043275188571391;-0.008730475664574106;-0.021604344266594546;-0.001973140279316617;-0.006372535644333761;-0.000758743320749281;-0.0029667608150704614;-0.0033052672736853124;-0.002168828466762954;-0.014760215841792748;-0.006083148394995179;-0.06812852287062932;-0.002459713970449104;-0.014485991065156195;-0.0012456743764172721;-0.0011066865055402817;-0.0017421373994601832;-0.01173228879593159;-0.0020992487785991268;-0.002394669245724603;-0.005634439588117813;-0.01823221554660508;-0.002800293007082238;-0.002799621899745005;-0.0005368054775312062;-0.06808417923509606;-0.005782760485501158;-0.023848718288832848;-0.001086047700300617;-0.07062623906441898;-0.0025465838655579233;-0.006997842383628618;-0.0028499452567395506;-0.000680694549054077;-0.0032381681942802547;-0.0009384258668318294;-0.005647283818054418;-0.0012971101669744382;-0.0020945744808383935;-0.0010470653527685544;-0.01406707705935318;-0.002912327910511919;-0.09721106589174117;-0.006985239031554191;-0.006129808273528336;-0.001779137084042623;-0.002752072638121203;-0.004523649005616598;-0.0025283553167560215;-0.01924616362471304;-0.06871671454929618;-0.003573209913634173;-0.0025140183647349925;-0.005311975230855134;-0.0012025165225829943;-0.004948654571770599;-0.0024327722956472755;-0.0022173547130194;-0.0029102516468806094;-0.000533102400715228;-0.07717088866729727;-0.006313501938030847;-0.003421418103585092;-0.015118332057892349;-0.003658920415119357;-0.00775658249912349;-0.014529369404912413;-0.006155391701336366;-0.002125025681602042;-0.007935507138518278;-0.0020747708710720284;-0.0001518508330291989;-0.0014812494371001684;-0.0041737902136444365;-0.003083637882282726;-0.06833431159699165;-0.003967495189368715;-0.011527377415875222;-0.0023698419550801037;-0.006576255093585444;-0.000801499983704961;-0.0033766261358801793;-0.0008671721930554791;-0.06822477071182614;-0.006041333854830525;-0.009453147161534938;-0.003531320190963991;-0.00435147810383895;-0.01097769099701818;-0.0014029598827738337;-0.019149499668291704;-0.07146137379563887;-0.004049586101175803;-0.0009470681620338889;-0.0024192531149453953;-0.00023085987945648;-0.011755450912489045;0.020767344120074544;4
C:50_epsilon:0.1_gamma:0.001_kernel:rbf;0.00040900230407714844;3.179394630078516e-05;0.00029401540756225587;3.0117159009554587e-05;50;0.1;0.001;rbf;-0.05208759097473122;-0.007588555227087929;-0.0011921239332616405;-0.010207239636932782;-0.0014739721907360605;-0.013279306238898456;-0.0176140975632397;-0.006234426573693185;-0.003877159679936437;-0.005479077160547304;-0.003334539083082789;-0.0077665839083440385;-0.0092885124159381;-0.003590139848316636;-0.005605872589774631;-0.06614899545786422;-0.002016157856357165;-0.013093364287916699;-0.0019426939425362492;-0.0077703121759710265;-0.0066379234822101325;-0.008392307569056017;-0.00437044515457038;-0.007322046072800241;-0.007641534942101688;-0.00833007443010602;-0.0005701367006385338;-0.007216303352077319;-0.007091572912500228;-0.06548109172319233;-0.012258301362691657;-0.01407036578583081;-0.0004902320990284801;-0.06513350028320368;-0.006715536391642528;-0.0011418039595728858;-0.007029118651026969;-0.007178908428346085;-0.004200012831721243;-0.0031693589875590703;-0.005268816565952533;-0.0021192836307771627;-0.005961410544465285;-0.004567426362007427;-0.0078786901210346;-0.008453038427107715;-0.06977893459743138;-0.015589896703061544;-0.0029829437003965308;-0.0013353920951736152;-0.0034696287871000607;-0.0075061723147099016;-0.002150133290572321;-0.003671234802617439;-0.06648859579918107;-0.004802149871613333;-0.006741679385882884;-0.009186000881832376;-0.005411809975786985;-0.012854574466793502;-0.006898830296103392;-0.003755357802665027;-0.0019849936859906536;-0.004220879736043979;-0.0865198484987435;-0.0015978548119463768;-0.0014076847453107176;-0.003381954006169964;-0.007007901464991989;-0.01582664542600294;-0.0056939868232405875;-0.015750727713896844;-0.007616304025986332;-0.002378449913905909;-0.0023407883012427784;-0.004485681549691543;-0.00020286388330050293;-0.00317501807985277;-0.008239996264815279;-0.07282008271974802;-0.006967942401671381;-0.0023817170947054555;-0.007826830620196363;-0.0029508838173063754;-0.0026381348451586305;-0.006442775901323705;-0.004054721791403235;-0.06641239670417075;-0.009084050437164646;-0.01118426060762494;-0.007283246832695722;-0.004538162277612379;-0.007975053917553047;-0.010420026072552824;-0.004449815476343702;-0.0689522737670723;-0.0005014390170114756;-0.003143994821622361;-0.008827264939600546;-0.00243231680918381;-0.012240222660901629;0.019108017880821563;5
C:10_epsilon:0.05_gamma:0.001_kernel:rbf;0.0005309009552001954;0.00012941346031467642;0.0003645491600036621;0.00010424927797911616;10;0.05;0.001;rbf;-0.04796308937374283;-0.006221211674223229;-0.001152383912547112;-0.01516909180525824;-0.0021458527987212907;-0.01316331294937279;-0.04159226625761375;-0.0021258670048855195;-0.005831704791442799;-0.010546741250368844;-0.005706098507553549;-0.010394345910676353;-0.009740576848785137;-0.026771255942997164;-0.0022203647057993524;-0.0738303126924959;-0.002855598811149359;-0.014315054567983028;-0.0015991692590537699;-0.004167897432163219;-0.004196383359908742;-0.010528998684821173;-0.005012910687606892;-0.01127059359537867;-0.0038812481921705415;-0.0284994396610464;-0.0010639065704639706;-0.014276982166866294;-0.003419939116038355;-0.06290801345636705;-0.012599573075942588;-0.03398964291603162;-0.0018285018353306956;-0.06358603678450404;-0.004105236077951889;-0.00184950061150998;-0.007347833008522343;-0.0150137644523803;-0.0016186479158395888;-0.0024627316134511364;-0.0016390995764528201;-0.00484228795344408;-0.008354052373030453;-0.005534823859916632;-0.02777868839912249;-0.01446310271905605;-0.06354607196688554;-0.018981514749169152;-0.0011707966553347329;-0.0003979754246798549;-0.002326697561296105;-0.008782248115368586;-0.0014156388963087769;-0.029361865761654237;-0.06340339808600128;-0.007982790864122439;-0.011927202415797145;-0.00819003425059433;-0.0028874054001791992;-0.015436496545923412;-0.008959952480187298;-0.004536364804906533;-0.002241082913554823;-0.00356113878646926;-0.0792973457189933;-0.00358893857214976;-0.006452821366409592;-0.02772486143066145;-0.008282720418771814;-0.017119411549168653;-0.021581111462995132;-0.017166992237105116;-0.0023029472971689657;-0.004970823654211412;-0.002431571983510464;-0.0055554708582023805;-0.0011709610288836577;-0.0020348169587304367;-0.011868967208418768;-0.06387272613289981;-0.011927102373363743;-0.026379535079096014;-0.0027583751166429596;-0.002140817897084902;-0.0023580973694826922;-0.003942856604918512;-0.0022375352328828594;-0.07384433558837968;-0.015413938677212372;-0.013882841710795272;-0.0085762835769776;-0.009598884907241208;-0.010493212179396414;-0.003932868316905642;-0.027075365269446035;-0.06371371017554593;-0.001784359801898374;-0.002984521122295228;-0.01349420190453369;-0.005050594473052932;-0.014817047360938534;0.018965056825541105;6
C:10_epsilon:0.01_gamma:0.01_kernel:rbf;0.0008064150810241699;0.00016534804216662187;0.0004336714744567871;8.892171384627157e-05;10;0.01;0.01;rbf;-0.07142898217986529;-0.0017004846372757221;-0.0027713446193171586;-0.0073403129869488645;-0.001076950782277217;-0.004459564284174512;-0.03822074108533832;-0.001279055985723731;-0.009451400196699622;-0.0012228671546863524;-0.001199577271362535;-0.002724401437648693;-0.0021320272245034634;-0.025096344487331834;-0.0029211078927576174;-0.10390178157403963;-0.004659022483734419;-0.014233619440061643;-0.0021032240657099742;-0.000834869961480467;-0.0006511078412323832;-0.010769196808088102;-0.004019767767246904;-0.001385269579645496;-0.002055777931271902;-0.03177924325031522;-0.0037512452125139325;-0.0026593582164051274;-0.001225164080616897;-0.09437725800160135;-0.0037839758605937713;-0.03198518351839585;-0.0010962788252603553;-0.10087880739718086;-0.0003162065286488594;-0.009849427501124322;-0.0040665739435829925;-0.00018917819631678927;-0.0011898663227368777;-0.003587540982048386;-0.0029701360654180004;-0.003224553352903173;-0.0015284294461643938;-0.0008051089673635749;-0.025469776108204983;-0.0025994858294984178;-0.08706495599102153;-0.007541677593662439;-0.009034551989341616;-0.00021035678489435828;-0.0015881008602140706;-0.002762030828454662;-0.0025017509343829986;-0.025802256610280582;-0.0932684318407669;-0.004501506961427263;-0.0020122943433660543;-0.0019080487562590784;-0.0007341682937806016;-0.0065515419222898245;-0.0020817494065078538;-0.0006601465011765188;-0.0038231577449150886;-7.593682633067135e-05;-0.09505687211537917;-0.009349958711016092;-0.004161848576206864;-0.028058486870493882;-0.004507678977873033;-0.0049011467105021045;-0.028114253912649205;-0.005536823889729268;-0.0010813282129261952;-0.010866735365179932;-0.0004260746140718671;-0.00026265065115518306;-0.0009052415068026986;-0.0030905961342027537;-0.0033424321451502527;-0.08390479482952162;-0.007762954723486497;-0.017641234080015798;-0.00220775935964355;-0.009597624449450467;-0.0001561939661376006;-0.00031030081524012124;-0.0006486094749398961;-0.10354539457725674;-0.0074177792602661075;-0.004909032067924145;-0.0028662531652511635;-0.005506149299257192;-0.010682688906279355;-0.001779952459298545;-0.03055891134643153;-0.09420546266699363;-0.002323793701315592;-0.0005139994050857171;-0.0023061252255505735;-0.0003483172492462416;-0.014859497208963186;0.027358109473548064;7
C:10_epsilon:0.1_gamma:0.001_kernel:rbf;0.0004599976539611816;9.151709289363858e-05;0.0003333950042724609;5.9743076931388154e-05;10;0.1;0.001;rbf;-0.05409380615137987;-0.008197165224820254;-0.0009705490256768973;-0.015576068095038852;-0.0016407313974075254;-0.016740996742342893;-0.04219614392902817;-0.004421054179098025;-0.004985002760882948;-0.009254817142613352;-0.006861001555100079;-0.009328762407359628;-0.008519531926614303;-0.02334878854643552;-0.0050781192671003105;-0.06603145399969589;-0.0034547644949773147;-0.015608326003381799;-0.002804154882782229;-0.009423455893858896;-0.006541026544568833;-0.009511239820058071;-0.004929933615848564;-0.009894873113392093;-0.00335203259414369;-0.02715406754640272;-0.001147299705465468;-0.011399873759105771;-0.010737087140208665;-0.071477359978938;-0.017295250146398176;-0.03169727465398846;-0.0012257448137503876;-0.07268723931861275;-0.008558806043557327;-0.0013438058830744625;-0.00662234331879447;-0.01999117533522294;-0.00495419441795439;-0.004287419219239798;-0.0038673374454467756;-0.004443669788816021;-0.006906996043603207;-0.007631564853376589;-0.026143114489674255;-0.013784758804620684;-0.07206037220974715;-0.020549846816117056;-0.004044021216059745;-0.0014736343647487901;-0.005407764591687001;-0.008914456780115279;-0.0037901849690691993;-0.023275314845922337;-0.07196621547145012;-0.007385573270842647;-0.010862922623211717;-0.008111396551775564;-0.00482267093771935;-0.01719550768080646;-0.008331902615935926;-0.007651471153960214;-0.002802442186313071;-0.005981746320987095;-0.08114213919525141;-0.0013817350331061416;-0.0037394248779224347;-0.023776811105467473;-0.011321103001605007;-0.02134799860306617;-0.018793848242777758;-0.019253496862353975;-0.005839230009599477;-0.0037617194383871098;-0.0033528164210795534;-0.009260053037571209;-0.0011746248348896461;-0.004868161034307378;-0.01199985946156741;-0.07284141595338818;-0.011172262683767465;-0.02008685270310602;-0.0057235692264258065;-0.0041016858324074874;-0.0038609605188549474;-0.008814749216442222;-0.0034761488893277335;-0.067171196874732;-0.014675546219117102;-0.012384274692565887;-0.007814102045258897;-0.007759105662458857;-0.0091292668306775;-0.008892747052590428;-0.023401748004610742;-0.07228515644385199;-0.001406716949286507;-0.005846359535990969;-0.013082001598011983;-0.005764868873642408;-0.015814513835917934;0.019645473452981066;8
C:10_epsilon:0.1_gamma:0.01_kernel:rbf;0.0005106520652770996;0.00041105535583516576;0.0003404927253723145;0.00010770600228582871;10;0.1;0.01;rbf;-0.07690056699821343;-0.003322532435616753;-0.0021062904802684854;-0.00949449710627605;-0.004241575192508359;-0.012999855334174693;-0.020504948501128356;-0.008245803625617805;-0.004801137622777153;-0.0031973777943307357;-0.004307374135932003;-0.00623142506816291;-0.005385884897765054;-0.011810278928408456;-0.006874331694890373;-0.09997216851395242;-0.002159690260202355;-0.010494743537136336;-0.0031449508410480186;-0.01019700202380302;-0.00648680590286887;-0.008668748102969564;-0.005385087086909187;-0.007475866367510071;-0.0017671660453752282;-0.016717830372785233;-0.0014647466174888026;-0.0051811709519981935;-0.006551980001560665;-0.10045099515937499;-0.011257956349270707;-0.014090926557705385;-0.0021381288246777705;-0.10221364475612565;-0.007405351731175393;-0.0008650895009277715;-0.0044919687763542646;-0.004276728131845833;-0.007315951446888683;-0.004724466025202775;-0.004758587968290064;-0.0044973487716367545;-0.003963432464975822;-0.005854265839062276;-0.015335790304944882;-0.008518009319506201;-0.10189348363457916;-0.013360502057688933;-0.002400124558314455;-0.002561807517678916;-0.005539871858453317;-0.0075873626045040755;-0.002017625366439187;-0.01205009901005366;-0.0995631571406755;-0.012521907027331773;-0.004697093413551854;-0.0020485712168039315;-0.007478101945287558;-0.011677283024017377;-0.006427322275770951;-0.003243311378663728;-0.0025695554183331948;-0.00575815791767795;-0.10314540983588921;-0.00278360340081309;-0.0031792105473992596;-0.012078844583424982;-0.011053136503149262;-0.016237813859997827;-0.012101215987998846;-0.012864840134850042;-0.008109918633105758;-0.004225135737468935;-0.00211611774897218;-0.002662377319316451;-0.0008430590208267607;-0.003364344034422951;-0.00855971945993173;-0.10249335543872636;-0.006645466293325163;-0.008434871185511984;-0.004713253095254438;-0.0015628191589277356;-0.002288382862904968;-0.007575454881841263;-0.003829279388028521;-0.10012586274276186;-0.017184008098371353;-0.010146114349535098;-0.007050973016106276;-0.01190300793257578;-0.007932620571934893;-0.006077716513683335;-0.011520440706151628;-0.10061341154307508;-0.0008459370905010647;-0.0026395953256849705;-0.009431369610310781;-0.0011832857743788057;-0.01599167788122628;0.027983558249293987;9
C:50_epsilon:0.1_gamma:0.01_kernel:rbf;0.0003964972496032715;3.8220847465742354e-05;0.00027938127517700194;1.8181623106087e-05;50;0.1;0.01;rbf;-0.07690056699821343;-0.003322532435616753;-0.0021062904802684854;-0.00949449710627605;-0.004241575192508359;-0.012999855334174693;-0.020504948501128356;-0.008245803625617805;-0.004801137622777153;-0.0031973777943307357;-0.004307374135932003;-0.00623142506816291;-0.005385884897765054;-0.011810278928408456;-0.006874331694890373;-0.09997216851395242;-0.002159690260202355;-0.010494743537136336;-0.0031449508410480186;-0.01019700202380302;-0.00648680590286887;-0.008668748102969564;-0.005385087086909187;-0.007475866367510071;-0.0017671660453752282;-0.016717830372785233;-0.0014647466174888026;-0.0051811709519981935;-0.006551980001560665;-0.10045099515937499;-0.011257956349270707;-0.014090926557705385;-0.0021381288246777705;-0.10221364475612565;-0.007405351731175393;-0.0008650895009277715;-0.0044919687763542646;-0.004276728131845833;-0.007315951446888683;-0.004724466025202775;-0.004758587968290064;-0.0044973487716367545;-0.003963432464975822;-0.005854265839062276;-0.015335790304944882;-0.008518009319506201;-0.10189348363457916;-0.013360502057688933;-0.002400124558314455;-0.002561807517678916;-0.005539871858453317;-0.0075873626045040755;-0.002017625366439187;-0.01205009901005366;-0.0995631571406755;-0.012521907027331773;-0.004697093413551854;-0.0020485712168039315;-0.007478101945287558;-0.011677283024017377;-0.006427322275770951;-0.003243311378663728;-0.0025695554183331948;-0.00575815791767795;-0.10314540983588921;-0.00278360340081309;-0.0031792105473992596;-0.012078844583424982;-0.011053136503149262;-0.016237813859997827;-0.012101215987998846;-0.012864840134850042;-0.008109918633105758;-0.004225135737468935;-0.00211611774897218;-0.002662377319316451;-0.0008430590208267607;-0.003364344034422951;-0.00855971945993173;-0.10249335543872636;-0.006645466293325163;-0.008434871185511984;-0.004713253095254438;-0.0015628191589277356;-0.002288382862904968;-0.007575454881841263;-0.003829279388028521;-0.10012586274276186;-0.017184008098371353;-0.010146114349535098;-0.007050973016106276;-0.01190300793257578;-0.007932620571934893;-0.006077716513683335;-0.011520440706151628;-0.10061341154307508;-0.0008459370905010647;-0.0026395953256849705;-0.009431369610310781;-0.0011832857743788057;-0.01599167788122628;0.027983558249293987;9
