model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_l1_ratio;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:0.01_l1_ratio:0_max_iter:100;0.0007845568656921387;0.00014232000447191154;0.0003126788139343262;5.970697635602173e-05;0.01;0;100;-0.12482712195493917;-0.041068257871490745;-0.059400821847111616;-0.0745509416237641;-0.019407979390009843;-0.05202625641115395;-0.0504103249267646;-0.037597041749117856;-0.08597718489608058;-0.07892820682186936;-0.0862563971031463;-0.0677426321780084;-0.11334233075586637;-0.0888500827939077;-0.01936504110847067;-0.010525165196536616;-0.055590334946923316;-0.05359818026129661;-0.06259639990709372;-0.0471551672070923;-0.08417926875754005;-0.03580158653731567;-0.06727001812602622;-0.0059513173330216634;-0.04152634242440283;-0.06957473493818164;-0.05313947142749133;-0.04495853009320651;-0.0434645870760196;-0.13680217139935763;-0.03327633272832892;-0.0619696474831233;-0.0714909439247581;-0.03303684376117606;-0.07750492923998922;-0.030378527792319372;-0.010143319512190004;-0.07517979444638256;-0.10252431884800808;-0.0905195032699195;-0.04161366898593895;-0.07750708469370045;-0.03640601516390797;-0.07553263629019452;-0.0934370793261697;-0.10073127671109869;-0.041798167655343735;-0.032626613826640574;-0.037480395209839326;-0.05580013760861139;-0.05113576335012527;-0.0702915072168809;-0.09459940518000567;-0.07323290054349951;-0.039225929283357504;-0.06298580397095749;-0.09168269133186681;-0.06684166459638248;-0.05775348383811054;-0.053828100656905374;-0.051862167478781994;-0.039266826794130315;-0.15525189935330058;-0.07015002353724367;-0.07132150309400653;-0.03523450892544412;-0.10484606199650379;-0.018392836823899576;-0.07282584563946796;-0.044021839320072816;-0.028311550374925252;-0.06169533871334806;-0.102214325928678;-0.0976111467676393;-0.057719373396291726;-0.044856741029931965;-0.0634316384562212;-0.024194968642561383;-0.10817256623321843;-0.05309684482141669;-0.06677513657432232;-0.05219497441731433;-0.044583856918725163;-0.03176702847297576;-0.09143505838526718;-0.07779563450917384;-0.0663434674750556;-0.0388352007982077;-0.07557828436223801;-0.07127450590140795;-0.037492607275125774;-0.050928753391903135;-0.1162123670568919;-0.07008657157741147;-0.06975917891004577;-0.07736958280356579;-0.016761523291873602;-0.06467575739987715;-0.04018586640011156;-0.10243297362512938;-0.06219384720382646;0.02808126475248414;1
alpha:0.01_l1_ratio:0.1_max_iter:100;0.0011432361602783203;0.00026292719112735313;0.00045035123825073244;0.00011739269432197333;0.01;0.1;100;-0.12703607219169463;-0.04382111163094568;-0.06181950191941615;-0.07436036950870825;-0.020109617940701853;-0.0500993354668983;-0.05360839392257438;-0.03663143155276736;-0.08299811299199841;-0.07681204648208834;-0.08575250580440369;-0.06949956356274072;-0.11220064662065718;-0.09083570452423065;-0.02125123921993756;-0.010306791895615052;-0.056241837488692895;-0.05655136773777679;-0.0660908517556619;-0.04701839489173178;-0.08071715444814347;-0.037533229451549854;-0.07246492275200775;-0.005798484538802812;-0.04413138952798671;-0.06785856765945461;-0.05438692261629654;-0.043575597197801894;-0.04653250680587546;-0.13329197421023536;-0.03351150066332803;-0.0609493574043626;-0.07100430223315754;-0.03198405053039037;-0.07917391162554069;-0.032156801009863026;-0.009978172676157165;-0.078885854471949;-0.10084613306917527;-0.08932221081029149;-0.04107966202772241;-0.07750934103208261;-0.037441662361869535;-0.07818632150501093;-0.09268955528323265;-0.09866208792692546;-0.043016788304007486;-0.03576233076201681;-0.03965795853629215;-0.05484921968919976;-0.05159527034501807;-0.0779345697635375;-0.09030130375761611;-0.07664261306300572;-0.0410254372299901;-0.06153726468751295;-0.09258198707021735;-0.06547678332046933;-0.05620976110800421;-0.054512027827756195;-0.052602807464527085;-0.03997428494156366;-0.15052367118781226;-0.0696621258893598;-0.06938253905051954;-0.039662866149600774;-0.10127992312844265;-0.01994257847202216;-0.07319036151091803;-0.046753116042545804;-0.028380400465808194;-0.0598329646740827;-0.09854264433956623;-0.10316940726582738;-0.06234935063420215;-0.04580371915769661;-0.06259920303524091;-0.026580219589047875;-0.10822937858509048;-0.05865191720732441;-0.06698474793514346;-0.05423722261339862;-0.04897927527157757;-0.03207329555247172;-0.08916034900687679;-0.08242513400070497;-0.06761643276620366;-0.038478858652160594;-0.07050345556698243;-0.07106404513400305;-0.038819835716054095;-0.05012177141648883;-0.11338499019960321;-0.07400677534236957;-0.07611319186169324;-0.07146804715826525;-0.01961702883013871;-0.06627099939453966;-0.037125605283074244;-0.10783417645457871;-0.06277218603360625;0.027419990526595547;2
alpha:0.001_l1_ratio:0.6_max_iter:100;0.001677711009979248;0.0025636788615196505;0.0004629349708557129;0.0001220734076880532;0.001;0.6;100;-0.12196287570295704;-0.03675224390589962;-0.05575262222705631;-0.07357977030285999;-0.020630403815882957;-0.05795232597643739;-0.04783835256338393;-0.03705366385875961;-0.09945630760697746;-0.0846347460189742;-0.09911596967963061;-0.06625219187476425;-0.12077358658789347;-0.07928269867868698;-0.019426735779194217;-0.010234870081578685;-0.05205254688129836;-0.05132744936008067;-0.06064612912416052;-0.04998094225600334;-0.09698188066672646;-0.03314687697218111;-0.06407495506992471;-0.005639384192536791;-0.03890325816094733;-0.07062276692983402;-0.05032655859788231;-0.04364201942734961;-0.04439993216466655;-0.14475409521745472;-0.02785141045076991;-0.06606387101253246;-0.07107503806049717;-0.035193548025805196;-0.0770325109731943;-0.03159139875918726;-0.011234651628521487;-0.06847075144026156;-0.11451228994613209;-0.09986758918884447;-0.04316054886876272;-0.08657273404269548;-0.035269220356978645;-0.06966536411934013;-0.09030289159131472;-0.11023733718684996;-0.04372814850391924;-0.0269049717967155;-0.039516439250399805;-0.05464427003529695;-0.05518453030884307;-0.06479789948210436;-0.10597568413185202;-0.07569470170591558;-0.04018417632135219;-0.07108323467547231;-0.0952150982289419;-0.07409116404256874;-0.05597040916764208;-0.05247068911660548;-0.052509067834897845;-0.04336038701227352;-0.13712000998117926;-0.07324881142623223;-0.0766538578986774;-0.036045151342597;-0.1181650929776484;-0.0177758261161674;-0.0698027643489109;-0.04147543727694804;-0.02944992517446107;-0.06722167289333279;-0.11413205273258582;-0.0983049168838509;-0.05660908824750571;-0.045268530830263075;-0.06767138859674163;-0.024435865022154453;-0.10209788915232436;-0.04800325398743027;-0.06239790145297624;-0.055614386348555665;-0.036679508132429525;-0.03135769784790964;-0.09851175633771778;-0.07826503282909897;-0.06108123506290649;-0.038094973655578776;-0.09112192941852479;-0.07327660328496752;-0.03970462226330898;-0.04668196198181183;-0.12243678877633876;-0.06920917384993623;-0.06831757745213515;-0.09241818721385672;-0.014859188851716906;-0.06242799356992514;-0.04519404002443483;-0.09378347494380233;-0.06331545755135416;0.02970941401907609;3
alpha:0.001_l1_ratio:0.7_max_iter:100;0.0016016221046447753;0.0009365247214000031;0.0006180453300476074;0.001584953495513581;0.001;0.7;100;-0.12254890872553681;-0.03679639234795328;-0.055913871729892387;-0.0733599613501824;-0.02068454975526817;-0.05757948566956668;-0.0481825929416679;-0.036996037495161525;-0.09924069122951187;-0.08422573411119484;-0.09895549784332051;-0.06656966236044608;-0.1210236294332074;-0.0793366428645206;-0.019297253587903053;-0.010156804537124328;-0.05220715093981228;-0.05114459891417793;-0.06097706710667279;-0.04965789244781294;-0.09660759405673491;-0.03320648457554357;-0.06438249789990894;-0.005650362569093979;-0.03885379407673194;-0.07025957035943717;-0.05052042021338606;-0.04313833791186948;-0.044854472350440544;-0.14458480146053432;-0.02764480244197998;-0.06582472008050924;-0.07123911544769439;-0.035003974674065554;-0.07743356571237207;-0.03160595777520496;-0.011119387158568075;-0.06906539681121174;-0.11422230998686249;-0.09989963919664982;-0.04306572991420072;-0.0866874143427031;-0.03505248844093827;-0.07028599618789291;-0.09001018412406672;-0.109971062461767;-0.04359039593935865;-0.02690368374631838;-0.039778823275572264;-0.05437745439852233;-0.05548004485714334;-0.06509214614819661;-0.10539233298823888;-0.07563434850064568;-0.04060256044543394;-0.07030426821669349;-0.09629793036349073;-0.07416937129391636;-0.05583256971271462;-0.05232500689010704;-0.05263379084923103;-0.043464640815552784;-0.13647273831672263;-0.0728927147059111;-0.07677441953210254;-0.035902172391937416;-0.11776121862788577;-0.0179718943487034;-0.06996820784685401;-0.04161717059643043;-0.02951964727631128;-0.0671140008201402;-0.11365576501804672;-0.09885359308933403;-0.05682619215317557;-0.045303444444941235;-0.06740890557771627;-0.024379269548938213;-0.10279537850302048;-0.04855601686570301;-0.06232217989082851;-0.05571379350042888;-0.03698901371673694;-0.031191865420736035;-0.09869466185752088;-0.07856156216978646;-0.061323264895867945;-0.03803502231686567;-0.09037128050916128;-0.07298495773432005;-0.03981449724091255;-0.04682507469954314;-0.12285785968538158;-0.06945199231281231;-0.06842149090693261;-0.09159879231494078;-0.015179647995501495;-0.06273915654864635;-0.0447567562528857;-0.09411629487336368;-0.06332645788569485;0.029682816398977678;4
alpha:0.001_l1_ratio:0.5_max_iter:100;0.0020151448249816893;0.002267124022692406;0.0005864787101745605;0.0010235025741914849;0.001;0.5;100;-0.12139748424884424;-0.03672480703241029;-0.056023887666350206;-0.0738284493985736;-0.02053358917318186;-0.05841173167862159;-0.04760727237987735;-0.03710511845354527;-0.09965156825082314;-0.08509215566020237;-0.09929944014557117;-0.06592833557080445;-0.1205225686948026;-0.07929157677038237;-0.019620788790565558;-0.010305335872209007;-0.05188261885642577;-0.05132638425886508;-0.06049189801793291;-0.05036502571421283;-0.09735004725816;-0.033128201048654195;-0.06381249096920424;-0.005593132678931814;-0.03906216586697074;-0.07099697486488096;-0.05006565014928153;-0.04448821370864662;-0.04434732799054074;-0.14494183302388705;-0.028112058879824695;-0.0663496776437091;-0.07074451815908067;-0.035651202500902236;-0.07683762908340956;-0.03190675024786163;-0.011380685389224316;-0.06800107987082753;-0.11490606169365207;-0.09992306180784165;-0.04363221083882638;-0.08647196084547311;-0.03531395596425495;-0.06915965067880543;-0.09032432977601015;-0.11050176484705168;-0.04411430618594188;-0.026864878796182618;-0.039249633434963974;-0.05494401691971044;-0.05509347030551934;-0.064455807804683;-0.10666912932629509;-0.07569693668130018;-0.04020248713330052;-0.07188486656538193;-0.09468098184435284;-0.0740043437873078;-0.05568965200414074;-0.052408963738478996;-0.052970487187275546;-0.043532639040630906;-0.13831460021417774;-0.07351470429305038;-0.07664714923015703;-0.03629718855021082;-0.11869137920347077;-0.018069935826373926;-0.06956029814323708;-0.04139908963592183;-0.02922635740784713;-0.06736734772249169;-0.11447741888897478;-0.0982059092233519;-0.056665472465969334;-0.04531777281875451;-0.06798532425364011;-0.02445196400587795;-0.1013901160720784;-0.04751656180648647;-0.062195910952017784;-0.05571735778710219;-0.036596436861536505;-0.031564279256716885;-0.09824402755312835;-0.07809275018123929;-0.06075729979578206;-0.038173702158266556;-0.0916529518470724;-0.07348617758196174;-0.039788004022731624;-0.0464587748285179;-0.12201995114686529;-0.06894391625803878;-0.06845285972192368;-0.0929148811236252;-0.014700557349227417;-0.06240219855818269;-0.04558408795257611;-0.0935182209085332;-0.06337238208782697;0.029727069023328064;5
alpha:0.001_l1_ratio:0.8_max_iter:100;0.0015307164192199707;0.0006852700247656996;0.0004966592788696289;0.00020450416411690092;0.001;0.8;100;-0.12285352565746831;-0.03699896729822368;-0.056476299232452606;-0.07316164064772865;-0.020725604329448734;-0.05729392469464485;-0.048765661888044945;-0.036885927449779185;-0.09893556445407399;-0.08416261555937572;-0.09871488748977524;-0.06674200194954612;-0.12123803934062463;-0.07940006112764801;-0.01956824626218272;-0.010093208143249731;-0.052382312250081296;-0.05114365990689472;-0.06141439140080017;-0.04959746263826069;-0.09627189433311557;-0.033289986283942787;-0.06487926321561618;-0.005639846984974445;-0.038908418467830705;-0.06990508911502756;-0.0507075216042409;-0.042773642679538315;-0.04540514936576282;-0.14436571286620703;-0.027483369222091786;-0.06586559298076475;-0.07109479949007656;-0.03511171286972038;-0.07774454926306484;-0.03179926855235328;-0.011043312762612216;-0.06973824908177859;-0.11393338422117391;-0.09999849682668752;-0.043160451737727035;-0.0868095904821783;-0.034826068404891275;-0.0710233437260519;-0.08974639486829458;-0.10967624518163839;-0.04392135304753494;-0.027142304348882824;-0.04003310993797339;-0.0541833819457742;-0.05562436948869932;-0.06599053439213053;-0.10478834631076483;-0.07566365369027257;-0.041004227202626434;-0.06964985953562397;-0.09724839898654185;-0.07418888441784367;-0.055367187534311725;-0.05221672897597738;-0.053023225107986904;-0.043546375388760085;-0.13607553479946816;-0.0725569156776108;-0.07690627218634569;-0.03614735632047461;-0.11740750887023084;-0.018252749040360068;-0.07040791219651696;-0.042142453057848445;-0.029510831429673392;-0.06702607866549137;-0.11324297075745597;-0.09932951270451706;-0.05721914783153723;-0.04548486461906589;-0.06718994236248019;-0.024614848053920203;-0.10278148836394581;-0.049110877512218654;-0.062265458744984216;-0.05581455993204734;-0.037318827417975174;-0.031344634262438435;-0.09839366374460465;-0.07872066813889626;-0.06149623193559488;-0.03824809912473624;-0.08963414521420264;-0.07276040296362866;-0.040004215788131375;-0.04687358253875076;-0.12257357484808176;-0.07007906654809253;-0.06859801811491541;-0.09080233967042989;-0.015495246849438326;-0.06313358411440648;-0.044347685319028066;-0.09446309134122859;-0.06339121657680143;0.02958719478896105;6
alpha:0.001_l1_ratio:1_max_iter:1000;0.0032746195793151855;0.0014820515088636264;0.0004671788215637207;0.00011109599970533106;0.001;1;1000;-0.1272252892313684;-0.04317855136695802;-0.08377777504790733;-0.07830596929994753;-0.01714204715129561;-0.0489073802583212;-0.047663365092852926;-0.032378283982875594;-0.08303475197986589;-0.06159573160797358;-0.08306941928432858;-0.06982586296812349;-0.1021509759056786;-0.0925476256451934;-0.02115267206427694;-0.02657959046528745;-0.06093947169319593;-0.056289814363886116;-0.061335532149683195;-0.042495538656575946;-0.09006766244692588;-0.04306194586911727;-0.07364601765800954;-0.026885835052229634;-0.03470463063795161;-0.07307226470433756;-0.05678587732292639;-0.023336425887788576;-0.03778163670627431;-0.13555716975277396;-0.03876645713284035;-0.06181893303353154;-0.07732741653478237;-0.015415439990358912;-0.07252026461950592;-0.03095329295528073;-0.010137479983907776;-0.08218620720663916;-0.0992106530851938;-0.07750582413675636;-0.02848575221250899;-0.06880102570218527;-0.04590727879858128;-0.0993792596899488;-0.1029245929550896;-0.09871793487774125;-0.033283364586638206;-0.03710349163712494;-0.04319338595057444;-0.05855800599059461;-0.06437653588004845;-0.06433813440102283;-0.09392355950236256;-0.07930188101837707;-0.042689554969661536;-0.05223200900215308;-0.09965361648261516;-0.05177525696201708;-0.08827286111520656;-0.04733840767068498;-0.04164392793461629;-0.03768580051568664;-0.19454832671705083;-0.07122375264812905;-0.05625001876049339;-0.03794805072661225;-0.105111432662224;-0.02186601805852749;-0.0691034704103462;-0.05454515687888236;-0.0203542495337792;-0.04828621389277116;-0.10344728973178578;-0.09283639656735816;-0.06468212496616209;-0.03772072537596651;-0.058684038145900196;-0.021236684778456145;-0.1652479098677675;-0.059800389526826855;-0.07686596950417864;-0.05135785855565086;-0.0465891112719653;-0.032894484163302776;-0.07974132672484044;-0.0695998418609329;-0.06860532672279733;-0.03409391556226202;-0.0767079341889462;-0.07556126893255699;-0.033005901187434634;-0.07809953968982947;-0.11525737632994013;-0.06956300479622632;-0.07317692083163488;-0.07227790019487465;-0.014435036434082227;-0.06398724399841382;-0.040091679953320435;-0.10528555633835172;-0.06340012167278748;0.031465532039213796;7
alpha:0.001_l1_ratio:0.4_max_iter:100;0.0018614888191223144;0.0022855182130088313;0.0005223941802978515;0.00041796483849869165;0.001;0.4;100;-0.12110565362013366;-0.03668724634176842;-0.056285944000101874;-0.07399946809720946;-0.02050461663561405;-0.058868897793376264;-0.047341023293319164;-0.03715503396287968;-0.09988374994004093;-0.08555835116767745;-0.09951723447575556;-0.06559572709807202;-0.12043498238947326;-0.07912418975873975;-0.019961715553945165;-0.010196091983117737;-0.05163953230909216;-0.051546990448202955;-0.060338137604281215;-0.050775610716985185;-0.09746661165573689;-0.03306788806290325;-0.06355462196488135;-0.005525405620302144;-0.039390330404498505;-0.07108001380497611;-0.04984234551751785;-0.04526600662670851;-0.04441925903263032;-0.14505078339236618;-0.028067583369890434;-0.06663345416972766;-0.07041813606644101;-0.03623650590674262;-0.07681048313566773;-0.03220634994405164;-0.011492360746425189;-0.06755630880737593;-0.11522740645476999;-0.10000507468069093;-0.04414277851084666;-0.08658974301343958;-0.035345133476845425;-0.06867204242749236;-0.0900205678344372;-0.11069576640774537;-0.04451054181343503;-0.02684909001054415;-0.039162939198595856;-0.05523837663914647;-0.05504705994942369;-0.06406396151279387;-0.10712797079645442;-0.07587573729272125;-0.040189337979598456;-0.07268140726503772;-0.09497040296146583;-0.07411177712296697;-0.05527945535023954;-0.05231809447272993;-0.053765084434594296;-0.04388230372731589;-0.13881504775003017;-0.07374931476690423;-0.07670044454364103;-0.036562957390322615;-0.11906831100398019;-0.0183346197289735;-0.06947646783809977;-0.041313008484354805;-0.029225953211713163;-0.06753553282549891;-0.11461660615129998;-0.09869464596204185;-0.056740764666197395;-0.04555030957743972;-0.06838436824072118;-0.024640826166581403;-0.10039441601051538;-0.04726669849162005;-0.062015369214856;-0.05603564133717215;-0.036491167611763284;-0.0317756699787909;-0.09811303892925438;-0.07797731672572902;-0.0604816387832933;-0.03824892363515523;-0.09158525474249299;-0.07373727888246527;-0.04014310844766441;-0.046056151715499705;-0.12161884626670742;-0.0686878271176247;-0.06866289234613909;-0.09319755677196377;-0.01454709056409754;-0.06235094363885092;-0.045969971038368876;-0.09317206596005263;-0.06344314745269837;0.029718084865535222;8
alpha:0.001_l1_ratio:0.9_max_iter:100;0.00167982816696167;0.0023637007632847295;0.0004819774627685547;0.00023473323022265804;0.001;0.9;100;-0.12304504473746936;-0.037426272346497876;-0.057031360387764976;-0.0729772194703355;-0.020763027534619317;-0.057050740534609234;-0.049352847102981594;-0.036779287470201365;-0.09857461614979669;-0.08426302941049439;-0.09842259984315638;-0.06684488311502036;-0.1214142744108089;-0.07947592720695258;-0.01975044087797344;-0.010081708951261866;-0.052580000493665104;-0.05112558994699188;-0.062150756545650034;-0.04958749446616699;-0.09594685484599584;-0.033386740034242864;-0.06537280133867948;-0.0056157329372479685;-0.03945597877458793;-0.06955820877206029;-0.05089076604103955;-0.04300991343634651;-0.045928622436208336;-0.1438362191828256;-0.027331792394554147;-0.06594942638342972;-0.07091183544287094;-0.035127831732468216;-0.07800441109691908;-0.03195833649400141;-0.010953449832180141;-0.07040667700942593;-0.11353628806015718;-0.10008967903444839;-0.04333916850375132;-0.08685911081283328;-0.03463547193696565;-0.07169050541928185;-0.08950069992576937;-0.10935239411647124;-0.04424751095175386;-0.02739247594371431;-0.040282254873122335;-0.05412358751120365;-0.05582873581238423;-0.06681819338492694;-0.10417461723464765;-0.07569107568492915;-0.04138317774392773;-0.0693429276495484;-0.09823285025733224;-0.07402641954576797;-0.05494470334552866;-0.05211571739030209;-0.053335408054263074;-0.04360272097779802;-0.13600562388399784;-0.07244655717000364;-0.07698075889933956;-0.03646723010521918;-0.11702786920973769;-0.018503301221092675;-0.07066601613872492;-0.04268564202406516;-0.029518352809103778;-0.06687528852478543;-0.11282984380068499;-0.09977956079219692;-0.057590166868302574;-0.04563072418399134;-0.06721854206916492;-0.024718319753258697;-0.10262097687630278;-0.04967256110764012;-0.06222564641629552;-0.05587458551787475;-0.03767838660313951;-0.03157785904360107;-0.09806704783766433;-0.0788782622286949;-0.06168492742401919;-0.03858180114094548;-0.08894638479486425;-0.07303060959546312;-0.040186097392757844;-0.046940759693888286;-0.12183514692450084;-0.07076964666575945;-0.06873764543730825;-0.09000601211715167;-0.015806759464350395;-0.06347527482245305;-0.04404980540705385;-0.09481482067868703;-0.06347293228002417;0.029467680581219343;9
alpha:0.001_l1_ratio:0.3_max_iter:100;0.001629800796508789;0.0009694627810299846;0.00047344446182250976;0.0002658180026130907;0.001;0.3;100;-0.12085179384283244;-0.03661708846440386;-0.05637531590472668;-0.07391605997130904;-0.020610219797136432;-0.05932396029445282;-0.0473015364669873;-0.03719962532067126;-0.10014772296077848;-0.08603646517501477;-0.09972993086004929;-0.06520466574849365;-0.12039313606139915;-0.078920514481671;-0.020414657176721102;-0.010069030471460395;-0.05136047344608828;-0.05190038841723414;-0.06011504013987605;-0.051195311660102674;-0.09743462574137411;-0.033007073422042454;-0.06340681482736173;-0.00542083862429856;-0.03968511521613672;-0.07095309141365516;-0.04970234957213539;-0.046064661526888796;-0.044474234508543965;-0.1450596813268425;-0.027878322660256707;-0.06691196361154782;-0.06995652539989347;-0.037128530470684915;-0.07677557295062445;-0.03249640071467917;-0.011659940924207617;-0.06709615990161286;-0.1155527053715509;-0.10010676303006079;-0.04466686988530493;-0.08672460149200474;-0.035319344578961534;-0.06820403491491689;-0.08970345708711817;-0.11097053941241415;-0.04491390725727945;-0.02673257983128059;-0.039186019044943635;-0.055539238182662175;-0.055020359892446434;-0.06406283314412857;-0.10754102223969628;-0.0763747108088384;-0.04018116894795874;-0.07347794049571307;-0.0953419548110342;-0.07423776373187704;-0.054694408732245924;-0.052317609539998956;-0.054714216949985385;-0.044229417686185775;-0.13875503554305885;-0.07399356039837712;-0.07678504030100221;-0.036811073140147234;-0.11947167082248264;-0.018656306040189412;-0.06938426949769771;-0.04123414423559218;-0.0293773455448475;-0.06773084470350714;-0.11454639872577041;-0.09910603618168302;-0.056929296466178635;-0.045768539923909266;-0.06878205132090684;-0.02516134502667681;-0.0992869438852175;-0.047004163490944925;-0.061806225223028304;-0.05638258615761802;-0.036375596318628835;-0.032033452667958984;-0.09802374301099778;-0.0778630423064944;-0.06025195343617553;-0.038324975117108105;-0.09150891728182857;-0.07402131276573504;-0.0405440812861991;-0.045572759719661286;-0.12127130538733337;-0.06852640384459961;-0.06914678319311349;-0.09316272475732447;-0.014489077756896016;-0.06228881767978919;-0.046357973082067905;-0.09286118410840576;-0.06352205286891956;0.02967713406394413;10
