model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:0.001_max_iter:1000;0.0016517043113708496;0.00025661649759116276;0.00031537532806396484;5.633752405019232e-05;0.001;1000;-0.1272252892313684;-0.04317855136695802;-0.08377777504790733;-0.07830596929994753;-0.01714204715129561;-0.0489073802583212;-0.047663365092852926;-0.032378283982875594;-0.08303475197986589;-0.06159573160797358;-0.08306941928432858;-0.06982586296812349;-0.1021509759056786;-0.0925476256451934;-0.02115267206427694;-0.02657959046528745;-0.06093947169319593;-0.056289814363886116;-0.061335532149683195;-0.042495538656575946;-0.09006766244692588;-0.04306194586911727;-0.07364601765800954;-0.026885835052229634;-0.03470463063795161;-0.07307226470433756;-0.05678587732292639;-0.023336425887788576;-0.03778163670627431;-0.13555716975277396;-0.03876645713284035;-0.06181893303353154;-0.07732741653478237;-0.015415439990358912;-0.07252026461950592;-0.03095329295528073;-0.010137479983907776;-0.08218620720663916;-0.0992106530851938;-0.07750582413675636;-0.02848575221250899;-0.06880102570218527;-0.04590727879858128;-0.0993792596899488;-0.1029245929550896;-0.09871793487774125;-0.033283364586638206;-0.03710349163712494;-0.04319338595057444;-0.05855800599059461;-0.06437653588004845;-0.06433813440102283;-0.09392355950236256;-0.07930188101837707;-0.042689554969661536;-0.05223200900215308;-0.09965361648261516;-0.05177525696201708;-0.08827286111520656;-0.04733840767068498;-0.04164392793461629;-0.03768580051568664;-0.19454832671705083;-0.07122375264812905;-0.05625001876049339;-0.03794805072661225;-0.105111432662224;-0.02186601805852749;-0.0691034704103462;-0.05454515687888236;-0.0203542495337792;-0.04828621389277116;-0.10344728973178578;-0.09283639656735816;-0.06468212496616209;-0.03772072537596651;-0.058684038145900196;-0.021236684778456145;-0.1652479098677675;-0.059800389526826855;-0.07686596950417864;-0.05135785855565086;-0.0465891112719653;-0.032894484163302776;-0.07974132672484044;-0.0695998418609329;-0.06860532672279733;-0.03409391556226202;-0.0767079341889462;-0.07556126893255699;-0.033005901187434634;-0.07809953968982947;-0.11525737632994013;-0.06956300479622632;-0.07317692083163488;-0.07227790019487465;-0.014435036434082227;-0.06398724399841382;-0.040091679953320435;-0.10528555633835172;-0.06340012167278748;0.031465532039213796;1
alpha:0.001_max_iter:100;0.0008017230033874512;0.00014774024689378422;0.00032444477081298827;6.370432343753196e-05;0.001;100;-0.12322343993126184;-0.03785042472809443;-0.05756147452407898;-0.07279717623951691;-0.02080953457470153;-0.05681617873360314;-0.04994544510373988;-0.03666846381763933;-0.09816540614687769;-0.08408742138020589;-0.09809410200900442;-0.06695566173685623;-0.12136827422696392;-0.079584316304441;-0.019889219476404173;-0.01007752771078443;-0.05279749027019757;-0.05110905522304275;-0.06288347708626378;-0.04959473916522831;-0.09556388725686381;-0.03349099108884242;-0.06586515036723119;-0.005601140395948817;-0.03992709583133134;-0.06921774022963681;-0.05107033816309572;-0.04330145810003692;-0.04643833201939262;-0.1431745943431129;-0.02721359807646306;-0.06602705278335969;-0.07076414047659949;-0.035200833042451835;-0.0782471900044149;-0.032095538868163555;-0.010871371739550873;-0.07108288204658476;-0.11310798460984513;-0.1000219637098819;-0.04346657850901345;-0.08682456804459919;-0.03445750454319789;-0.07235318033822127;-0.0892683154532847;-0.10900969848007028;-0.04451739800708495;-0.02765407607952982;-0.04055479650117777;-0.05410420570868648;-0.056036214550978874;-0.06737425185158304;-0.1035534358723336;-0.07570630125390329;-0.04175707915384018;-0.06920896135203378;-0.09929394055847537;-0.07379523998082124;-0.054561586850639686;-0.05203683615726151;-0.053582359603442355;-0.043647260199582115;-0.13596293620014546;-0.07236123519243105;-0.07659025174502615;-0.036783137884244345;-0.11663931637298312;-0.018731437106965905;-0.07092463097275739;-0.0432375031941573;-0.02953389242981967;-0.06666079135136631;-0.11241278444332048;-0.10035115197064133;-0.05795575153507361;-0.045753484674401934;-0.06724807500806937;-0.024818262246034332;-0.1025441469792919;-0.05027615879208973;-0.06220864840908318;-0.05591842815843922;-0.03803172463390938;-0.03181725108160126;-0.09773410815229373;-0.07903266943634538;-0.061872089891649384;-0.038921973931342634;-0.08825042303230732;-0.0733133091308741;-0.040355377203556475;-0.04704565726603791;-0.1211225091847433;-0.07146354803295353;-0.0688496798563248;-0.08921303666363112;-0.01611442208473534;-0.06379792306282965;-0.04379084056660831;-0.09518503601824843;-0.06354149504487809;0.029338401380446997;2
alpha:0.0005_max_iter:100;0.0011930251121520996;0.000381765971927836;0.0004524397850036621;0.00012165058447424381;0.0005;100;-0.12108919377558226;-0.03629957624531023;-0.05571044666943311;-0.07410418435762278;-0.02059461587115729;-0.059138635410243334;-0.047333231673750364;-0.03714825607038066;-0.10108803726867058;-0.08571971385081507;-0.10060109055641131;-0.06576654499081935;-0.12105075327056687;-0.07870083181005724;-0.019731469203322735;-0.010306926535693765;-0.05161800676996464;-0.051193120023028824;-0.06031414845266675;-0.050760434193763436;-0.09841051975135924;-0.03298770278633568;-0.06337122257359376;-0.005609220748822558;-0.038971292770609116;-0.07137474354476511;-0.04988708526227106;-0.044718304631716936;-0.044480081552012676;-0.14569067280479533;-0.028014256544224486;-0.06679096957632231;-0.07060569435466812;-0.036011195186411514;-0.07679506735251622;-0.0322427168422579;-0.011565263786825566;-0.06725940053197749;-0.11608771088142963;-0.10067291287173326;-0.043921240892596525;-0.08723387233036674;-0.03554141410076332;-0.06849633123808042;-0.09010034363851874;-0.11157407578400727;-0.0444356856639214;-0.026430469947105045;-0.03943497802075614;-0.05504877672560079;-0.05542609924494064;-0.06396024096573544;-0.10817686142714227;-0.07572007838853836;-0.04034812540925385;-0.07296570883463735;-0.0950038643721685;-0.07460562719257775;-0.05544821836961215;-0.0524375827316597;-0.05337204704933652;-0.04407402096107999;-0.13766241113496508;-0.0739827252516787;-0.07710590526996214;-0.03668589269674567;-0.12007949864098084;-0.018184421561270474;-0.0692938126040357;-0.04120167868053079;-0.029261589259786308;-0.06790775110095308;-0.11568411027196959;-0.09851833302682986;-0.05651246155878241;-0.04544611295011802;-0.06849768099719926;-0.024561176685529623;-0.10071262937453844;-0.047157153406047966;-0.06192583908111892;-0.05627968261772007;-0.03601855282693465;-0.03160390271387969;-0.09888902479422909;-0.07824930060934865;-0.060154652950541176;-0.038094814313295075;-0.09260925396606318;-0.07368350263758816;-0.04019659744684567;-0.04609801088498336;-0.12240902100696242;-0.06885723503620203;-0.06841585970492163;-0.09433108274643752;-0.014579730306448884;-0.062242666175342354;-0.046083677401579065;-0.09270452906027567;-0.06355453195394949;0.029926318196172856;3
alpha:0.00025_max_iter:100;0.0010450315475463868;0.00019691261479472824;0.00041435956954956056;8.0436954632857e-05;0.00025;100;-0.12033704006876182;-0.035954438006644586;-0.055883581467907915;-0.07409084713116555;-0.02087377494524201;-0.0606930044824308;-0.0469068143891235;-0.03733499309697662;-0.10193040187762689;-0.08726892854140575;-0.10177370611552215;-0.0647676978002532;-0.12119953034595017;-0.07777885318264256;-0.02103955188758071;-0.009985528823865216;-0.05086273875376325;-0.05228043455310536;-0.05964524640844904;-0.05206628130077182;-0.09866906945284602;-0.03284104900990687;-0.06283140780439403;-0.005360576480410939;-0.039972647172036725;-0.07120216318134034;-0.04941091615038717;-0.04704913244595697;-0.04493157624567406;-0.14615509080782096;-0.027426240367683413;-0.06771592838851768;-0.06935008461556372;-0.038697849711698123;-0.07672516824792111;-0.0333744204302122;-0.012094462293697036;-0.06565027689034852;-0.11750829445391708;-0.10128318267273587;-0.045524460377950486;-0.08794453092753686;-0.03546977568883183;-0.06691987430553767;-0.089039810490322;-0.11258819265720281;-0.045610461673607126;-0.026061999526349255;-0.039561797009612175;-0.05594377069261913;-0.05553489285647647;-0.06355647053581638;-0.10940159071925397;-0.07692599199733291;-0.040378479336069716;-0.07559737333320463;-0.0963400431741499;-0.07533916054880971;-0.053853699433127476;-0.05234918399493456;-0.056041180984792334;-0.045283660496044376;-0.13767967475629359;-0.07487805087954644;-0.07757372991715064;-0.03770014933535159;-0.12172784148580913;-0.019010162773417678;-0.0688753505901664;-0.04100913476105057;-0.029732678503327514;-0.06869712575105276;-0.11538742382440156;-0.09987159256183134;-0.057013505374823546;-0.04618850328880636;-0.06978587877102738;-0.02610199264675437;-0.09738098179068636;-0.04641895726663591;-0.060984651963666;-0.05751305375232263;-0.03550145492023789;-0.03241583800898636;-0.09906786914935314;-0.07820456611000001;-0.05924160309751085;-0.038492100855569845;-0.09299693857926328;-0.07452820037407829;-0.04145306588614899;-0.044688900059732965;-0.12176914257870637;-0.06829639742336792;-0.06985420051861282;-0.09480159162493478;-0.014389048252459916;-0.06197674034616875;-0.04736009795820491;-0.0913853634744354;-0.06386142889973734;0.029892780581438485;4
alpha:0.001_max_iter:10000;0.007643094062805176;0.004995854011911504;0.0005064725875854493;0.00021077898359675643;0.001;10000;-0.12696005302454408;-0.04413085457943997;-0.08729626401028623;-0.07871318377625992;-0.016908207740107366;-0.048880729909964324;-0.0475021640499898;-0.03282880241972401;-0.08700133052793395;-0.06136333473183837;-0.08305627498352802;-0.06928624382674532;-0.10172450871117751;-0.09329952802050574;-0.023226461516884216;-0.026432417204905922;-0.060574581990091324;-0.05711868135805718;-0.061335532149683195;-0.04222061370642709;-0.09441559950577678;-0.04307615092166634;-0.07365475244505411;-0.02686546712622188;-0.0349017716830666;-0.07433598944193491;-0.05708823617933284;-0.023134679094224786;-0.03775319615744094;-0.13580126027486686;-0.040653992470869586;-0.06057474198870875;-0.07751141053729904;-0.015270334138799635;-0.07283709167326055;-0.0330205128580955;-0.010073175631942695;-0.08218620720663916;-0.10023580863478998;-0.07681204278496279;-0.028237946572819018;-0.06885012555640117;-0.04661037697131724;-0.09946819813403919;-0.10431508009737392;-0.10011960064278211;-0.033283364586638206;-0.03822766232810238;-0.04360458938360764;-0.060637387346735946;-0.06427553055297724;-0.06438775350287564;-0.09567978499448301;-0.07929327624847196;-0.04271478238545653;-0.0519414893183147;-0.09980237798710952;-0.05116156914367896;-0.08733778022118154;-0.04766280494897657;-0.04164392793461629;-0.038120860854623025;-0.19679349383661757;-0.07115117860910394;-0.05604632939632938;-0.037886394709244674;-0.10666566494106473;-0.024367852401718692;-0.06923795114564608;-0.054529158363399756;-0.02001259422416414;-0.04725698292239949;-0.10743961567842857;-0.0945149137217895;-0.06468212496616209;-0.03835053785410435;-0.05816655155081647;-0.021697431783177384;-0.16428566980124998;-0.06004160290431896;-0.07638875068614467;-0.051684969638471946;-0.04729899223396784;-0.03295748787739143;-0.07934835587019967;-0.06987354333772519;-0.0684139716924363;-0.033975456946824974;-0.08000347771045284;-0.07585017122941198;-0.03300658678683798;-0.07814018449202963;-0.11508710837346796;-0.06956300479622632;-0.07533722005409024;-0.07408299218170036;-0.01414811468751791;-0.06418991014023825;-0.040420232064316865;-0.10728398956272323;-0.0638761902787754;0.03170930857281139;5
alpha:0.001_max_iter:100000;0.008593976497650146;0.0062123441161614995;0.000494685173034668;0.00011823215088396522;0.001;100000;-0.12696005302454408;-0.04413085457943997;-0.08729626401028623;-0.07871318377625992;-0.016908207740107366;-0.048880729909964324;-0.0475021640499898;-0.03282880241972401;-0.08700133052793395;-0.06136333473183837;-0.08305627498352802;-0.06928624382674532;-0.10172450871117751;-0.09329952802050574;-0.023226461516884216;-0.026432417204905922;-0.060574581990091324;-0.05711868135805718;-0.061335532149683195;-0.04222061370642709;-0.09441559950577678;-0.04307615092166634;-0.07365475244505411;-0.02686546712622188;-0.0349017716830666;-0.07433598944193491;-0.05708823617933284;-0.023134679094224786;-0.03775319615744094;-0.13580126027486686;-0.040653992470869586;-0.06057474198870875;-0.07751141053729904;-0.015270334138799635;-0.07283709167326055;-0.0330205128580955;-0.010073175631942695;-0.08218620720663916;-0.10023580863478998;-0.07681204278496279;-0.028237946572819018;-0.06885012555640117;-0.04661037697131724;-0.09946819813403919;-0.10431508009737392;-0.10011960064278211;-0.033283364586638206;-0.03822766232810238;-0.04360458938360764;-0.060637387346735946;-0.06427553055297724;-0.06438775350287564;-0.09567978499448301;-0.07929327624847196;-0.04271478238545653;-0.0519414893183147;-0.09980237798710952;-0.05116156914367896;-0.08733778022118154;-0.04766280494897657;-0.04164392793461629;-0.038120860854623025;-0.19751674640745787;-0.07115117860910394;-0.05604632939632938;-0.037886394709244674;-0.10666566494106473;-0.024367852401718692;-0.06923795114564608;-0.054529158363399756;-0.02001259422416414;-0.04725698292239949;-0.10748628828667675;-0.0945149137217895;-0.06468212496616209;-0.03835053785410435;-0.05816655155081647;-0.021697431783177384;-0.16428566980124998;-0.06004160290431896;-0.07638875068614467;-0.051684969638471946;-0.04729899223396784;-0.03295748787739143;-0.07934835587019967;-0.06987354333772519;-0.0684139716924363;-0.033975456946824974;-0.08086088304643577;-0.07585017122941198;-0.03300658678683798;-0.07814018449202963;-0.11508710837346796;-0.06956300479622632;-0.07533722005409024;-0.07489449757857206;-0.01414811468751791;-0.06418991014023825;-0.040420232064316865;-0.10728398956272323;-0.06390057863789483;0.031747509743214435;6
alpha:0.0001_max_iter:100;0.0019146275520324706;0.002113984045940895;0.00046347618103027345;0.00014689378627423557;0.0001;100;-0.11995961106136406;-0.03583268824798048;-0.05598702140313407;-0.07372158318496441;-0.021132708908088122;-0.06165196415399845;-0.04684569457363448;-0.03746680320579476;-0.10197082373709969;-0.08824341231682212;-0.10246364454019243;-0.06423913096949628;-0.12132917708423845;-0.07702802922289509;-0.021853705998599725;-0.009842356257694519;-0.050416741623326856;-0.053083864551803105;-0.059104614792201506;-0.052944131183432594;-0.09879649263812172;-0.03282574332669604;-0.06274103952119003;-0.00530242189794359;-0.040769457027831066;-0.07092764779019448;-0.04911692115535073;-0.04880016891360175;-0.0453458395244523;-0.1464995006182226;-0.02672569781246199;-0.06824491777932346;-0.06850080130791585;-0.04057863020831022;-0.0767801432541242;-0.03405151819247485;-0.01248022107656845;-0.0646821793261901;-0.1184067496639585;-0.10169097128396878;-0.046648777560706345;-0.08838788878734778;-0.03531781392304525;-0.06591662109595128;-0.08836500497696345;-0.11270167056478027;-0.04632724748173615;-0.025983693031836286;-0.03958166825848225;-0.0565303692032175;-0.055668123532587786;-0.06322907082840286;-0.10953448965530317;-0.0777630014633876;-0.04043330831608829;-0.07719153164649786;-0.09714823773354417;-0.07587378153825178;-0.052875795732829044;-0.05228996876026674;-0.05782668703557142;-0.046023050221014467;-0.13646130067583084;-0.07546453535559654;-0.07793290154823987;-0.03834350555188112;-0.12184397556364931;-0.019524649334222433;-0.06855275371527295;-0.040957206015347046;-0.030049366304989344;-0.06921623826575805;-0.11502713466642585;-0.1010162454007987;-0.05724105050348856;-0.04670798064309882;-0.07054231157809183;-0.027095030798968738;-0.09544910078879723;-0.0459248285658654;-0.06027744906999522;-0.058240873375555835;-0.03513779653938802;-0.03304622339266901;-0.09925816836812004;-0.07841204084524694;-0.05872191446093209;-0.03883496272883884;-0.09331816657600388;-0.07495409513158527;-0.04221215301841876;-0.043928352766724243;-0.12136418772905264;-0.06791240595413245;-0.07112967128596306;-0.09515964996264781;-0.014390646533390627;-0.06175903302258634;-0.04814389434438711;-0.09036714080405828;-0.06403921511869493;0.029806671037045672;7
alpha:5e-05_max_iter:100;0.001587212085723877;0.0017753447375712013;0.00042249679565429686;6.317778957439941e-05;5e-05;100;-0.11984301228752027;-0.03580601585873645;-0.05603353488520979;-0.07361080801506178;-0.021218885958952785;-0.06197299252435855;-0.046876115409367265;-0.03751262450856163;-0.10198864613986487;-0.08857742433485462;-0.10269564053139256;-0.06406666432288191;-0.12137993972570689;-0.07675688713959254;-0.022129881023062924;-0.009802196264614304;-0.05027277582464085;-0.05336229904948055;-0.05892311157808781;-0.05326296120751606;-0.09884056401084272;-0.03282426453087344;-0.06271464555860926;-0.005297655596118754;-0.041040615357509844;-0.07083916147697487;-0.04901873159455265;-0.04940697014851429;-0.0454831493148232;-0.14662746022138978;-0.02650642798518782;-0.068421525388517;-0.06821897332470522;-0.04122378135030007;-0.07680550798583256;-0.03427748817144925;-0.012620066190141263;-0.06438900472524314;-0.11870698253991803;-0.10183835900850066;-0.04703393628618598;-0.0885391769730538;-0.0352711324317962;-0.06558686446853824;-0.08815371737749664;-0.11273142117285676;-0.04656504488550465;-0.025968665405907865;-0.03958763081531468;-0.05673285057299711;-0.05572405839388406;-0.06323754614682013;-0.10958085378327347;-0.07803653002583875;-0.04045656083042149;-0.07772263121361819;-0.0974200390248039;-0.07605669226020391;-0.052561584382442995;-0.05227489473977161;-0.058442520380137496;-0.04627344182405849;-0.13573045933131045;-0.07566434050972488;-0.07806615660638629;-0.03856110370631989;-0.12185286491882294;-0.01969728661588475;-0.06844483383080396;-0.04095051279262403;-0.03015914782097027;-0.06939697003516705;-0.11490902337545472;-0.10141020128661324;-0.057319993254746904;-0.04688185555601641;-0.07079785020957285;-0.027429186997858502;-0.09482497113681683;-0.04576188118419498;-0.06005370928718215;-0.05848067051082495;-0.03501975718966292;-0.03327256847576733;-0.09932841331867062;-0.07847825237839193;-0.05855020695119288;-0.038952882067123454;-0.09341679698610382;-0.07509968546691907;-0.04246710616714105;-0.043689419975239376;-0.12128232501371361;-0.06778833213542232;-0.07156657308337859;-0.09528705240434145;-0.014393348507726934;-0.06168453071459353;-0.048406972483009965;-0.0900021576524198;-0.06410230944402509;0.02977240934051098;8
alpha:0.0005_max_iter:1000;0.0028708434104919435;0.0005726477751415124;0.00048162698745727537;0.00014067499127746655;0.0005;1000;-0.12984774418621317;-0.04291457596057318;-0.09413794573447809;-0.07874645163410367;-0.015745571914632515;-0.05426536311140563;-0.043010246088725015;-0.03492687322585949;-0.09294673893967408;-0.06182137593990509;-0.09521430865496221;-0.07183829396514682;-0.1032435012723942;-0.09680431313544383;-0.025872045328681297;-0.031653186434047464;-0.057315276245120984;-0.06412509068630962;-0.05651150518568924;-0.04791025435322102;-0.10452183480329254;-0.04196284793663881;-0.07144600562994083;-0.03389683347975707;-0.032546967363448726;-0.07747005562050997;-0.05688077231270886;-0.023244667049887056;-0.03249735100646716;-0.15206130541656598;-0.03880099306531944;-0.06721889575504816;-0.08359955628145169;-0.015932647951217672;-0.07551836022660449;-0.03608580532829379;-0.01265153718818086;-0.08074584271740728;-0.10305894729103238;-0.08169424334352231;-0.02808166466600573;-0.06749461782025844;-0.04482303245998706;-0.11005210655440148;-0.11041399672724177;-0.10075951657686755;-0.02746239210224754;-0.04526992231704702;-0.04567178735213714;-0.0616557741259494;-0.06988238674166823;-0.05759154767827968;-0.10045355158830713;-0.08108429006156348;-0.0370206953007707;-0.06572290036062567;-0.11767682659588233;-0.051682368877942864;-0.09961482165720567;-0.04648863910885801;-0.03539554915363439;-0.03736943462394763;-0.21328679388272365;-0.07655574818108009;-0.06086986525978849;-0.03658901722971055;-0.10845467469219336;-0.0275882355933732;-0.07411028550006528;-0.057811456668020435;-0.017874948347577094;-0.051611038773246715;-0.1089378874510272;-0.09801567973627304;-0.0645909573440407;-0.03829025078842062;-0.060518077397419545;-0.02147786254621625;-0.19399717710546532;-0.05570027320217026;-0.0787039082015449;-0.05186981579201267;-0.0439813698054411;-0.03681450556732827;-0.08192348079999802;-0.06114239255389538;-0.07387945680273805;-0.032902304183852364;-0.09657707014094766;-0.08171869483223974;-0.031094654311343718;-0.08421957770715764;-0.12724599147065568;-0.06363980076320641;-0.08568633389544962;-0.08584640512429685;-0.009811137531557993;-0.0658409887472217;-0.04965222125690371;-0.10324434668530676;-0.0667442864008662;0.035324511976091245;9
alpha:0.00025_max_iter:100000;0.16601851224899292;0.0670197785210253;0.000564420223236084;0.00019495595641241099;0.00025;100000;-0.14174138577959236;-0.04345505627916559;-0.08561395361694749;-0.0727040332466058;-0.023812352954147895;-0.08511718885369815;-0.047332845860682725;-0.02572745160577682;-0.1024947969840682;-0.04508273601304391;-0.09573292965758717;-0.0716712395891803;-0.08065574524536198;-0.08931281699141858;-0.021186153087983366;-0.018462438675807945;-0.044804858592843964;-0.06830879502454036;-0.04842750758671778;-0.08214164220510073;-0.12017177713833072;-0.02895182066524409;-0.07422720153869991;-0.04128935979036089;-0.05339831189766588;-0.06665366736188752;-0.05074899087797611;-0.024069149212675254;-0.019486829260597676;-0.18112334846076808;-0.028077842223086267;-0.0782438152422575;-0.08186750562174226;-0.02113309165328491;-0.07426868745551056;-0.030236290816464968;-0.040288142050723466;-0.06552083048590822;-0.09296433872481263;-0.06824001041475389;-0.03411660285509604;-0.04938649143963092;-0.04735174141690738;-0.11055451211987928;-0.1057322977285593;-0.09362534208571896;-0.019663153100802824;-0.0460726543066823;-0.054220327593964245;-0.07844150330823511;-0.056738171827291434;-0.07336271595132582;-0.1029561407663839;-0.07644541122893991;-0.0281022096266417;-0.10668081279687658;-0.11836359709513818;-0.03130612410185096;-0.12735780462598814;-0.037535910649834615;-0.03775537548052344;-0.04074373837752819;-0.2285690908716008;-0.11269990567265376;-0.03783583391468779;-0.06022952079042091;-0.10443575739477769;-0.022705654368414672;-0.09146149973164339;-0.04894191969484771;-0.023797838895884712;-0.027692028070646427;-0.10660198032417348;-0.07552528959456443;-0.05654089311887225;-0.028626434884685314;-0.08523307946449006;-0.0426086306783527;-0.21354156030995125;-0.04690213086627152;-0.08306405081446117;-0.05042833267305402;-0.031387438501089646;-0.03383101647535375;-0.05037139703514772;-0.04340063674530189;-0.08075045881331532;-0.02280434920543189;-0.12181762508084137;-0.12910027520205392;-0.030043167240791296;-0.07044101146468924;-0.13275822109497723;-0.054978960017820544;-0.08381652441185497;-0.08468714137414776;-0.008883294088101958;-0.06120481097669147;-0.10522618087581255;-0.07963968573400301;-0.067838432036987;0.039915222430165924;10
