model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:0.1_max_iter:100;0.002003319263458252;0.0037783891946986084;0.00035419940948486326;0.00011778088125675392;0.1;100;-0.1259330968463804;-0.04768061273039889;-0.09068089954749084;-0.07924410186857267;-0.018842582157866453;-0.05213416287002063;-0.04819680100320354;-0.034508141466073214;-0.09409508959589977;-0.06558570721219684;-0.08756074346666008;-0.06820052904103961;-0.10889369105332958;-0.10624664107103965;-0.023712666260598654;-0.02559521529656123;-0.0606468005949499;-0.06609706397767931;-0.05948354782594365;-0.04389109728042242;-0.09148341685684368;-0.04354142796957766;-0.07471508887626133;-0.028008497692264912;-0.03467713682761138;-0.07619278489038557;-0.05900596895675011;-0.025019320756121892;-0.038780654423416064;-0.14230384311470262;-0.04156665008449469;-0.06254730970465378;-0.07572987275862471;-0.018051676565661083;-0.07963179116731908;-0.03264553952793854;-0.010492293297979884;-0.08683503061146029;-0.10447958206402486;-0.08423279808579964;-0.029841747797069287;-0.0700855433591608;-0.042392543155949966;-0.10770078878661829;-0.10307538309313469;-0.10696460005147027;-0.028805338735701493;-0.049618863584383756;-0.04129299272015209;-0.06039399562637036;-0.06452370958642742;-0.06856508011343637;-0.10510467283207632;-0.08508027165718879;-0.0367790534999332;-0.05398642404596952;-0.11357095119660791;-0.05587074098009477;-0.0852752686422168;-0.048883100065798143;-0.03898117810569725;-0.03990708387285822;-0.20421052814299706;-0.0719376445295101;-0.06310543446187672;-0.0386095233347787;-0.11263291622074778;-0.024488790755551975;-0.07283093879042409;-0.05568160217607624;-0.020948375232533165;-0.05258780894812521;-0.10946945603837152;-0.10030968646163954;-0.0696573857527246;-0.04006940794415091;-0.061016760185887475;-0.020444784472079952;-0.1658598260520054;-0.05774671063323944;-0.07523834760457623;-0.049706423842839555;-0.05137236550074261;-0.03717216630298281;-0.08683773171445475;-0.06878274754749239;-0.07620133597480405;-0.03251093673857343;-0.08540711806640837;-0.0768273025144288;-0.03313473073125009;-0.07864124621730445;-0.12251544364727933;-0.06940889941704464;-0.08528559760695557;-0.08409953805485668;-0.013620664697115458;-0.06638016022374923;-0.042822856927528886;-0.11255932258683679;-0.06644001722956479;0.033362272285981834;1
alpha:0.1_max_iter:1000;0.0006999588012695313;0.00014327567567954769;0.0003181767463684082;7.543672693934504e-05;0.1;1000;-0.1259330968463804;-0.04768061273039889;-0.09068089954749084;-0.07924410186857267;-0.018842582157866453;-0.05213416287002063;-0.04819680100320354;-0.034508141466073214;-0.09409508959589977;-0.06558570721219684;-0.08756074346666008;-0.06820052904103961;-0.10889369105332958;-0.10624664107103965;-0.023712666260598654;-0.02559521529656123;-0.0606468005949499;-0.06609706397767931;-0.05948354782594365;-0.04389109728042242;-0.09148341685684368;-0.04354142796957766;-0.07471508887626133;-0.028008497692264912;-0.03467713682761138;-0.07619278489038557;-0.05900596895675011;-0.025019320756121892;-0.038780654423416064;-0.14230384311470262;-0.04156665008449469;-0.06254730970465378;-0.07572987275862471;-0.018051676565661083;-0.07963179116731908;-0.03264553952793854;-0.010492293297979884;-0.08683503061146029;-0.10447958206402486;-0.08423279808579964;-0.029841747797069287;-0.0700855433591608;-0.042392543155949966;-0.10770078878661829;-0.10307538309313469;-0.10696460005147027;-0.028805338735701493;-0.049618863584383756;-0.04129299272015209;-0.06039399562637036;-0.06452370958642742;-0.06856508011343637;-0.10510467283207632;-0.08508027165718879;-0.0367790534999332;-0.05398642404596952;-0.11357095119660791;-0.05587074098009477;-0.0852752686422168;-0.048883100065798143;-0.03898117810569725;-0.03990708387285822;-0.20421052814299706;-0.0719376445295101;-0.06310543446187672;-0.0386095233347787;-0.11263291622074778;-0.024488790755551975;-0.07283093879042409;-0.05568160217607624;-0.020948375232533165;-0.05258780894812521;-0.10946945603837152;-0.10030968646163954;-0.0696573857527246;-0.04006940794415091;-0.061016760185887475;-0.020444784472079952;-0.1658598260520054;-0.05774671063323944;-0.07523834760457623;-0.049706423842839555;-0.05137236550074261;-0.03717216630298281;-0.08683773171445475;-0.06878274754749239;-0.07620133597480405;-0.03251093673857343;-0.08540711806640837;-0.0768273025144288;-0.03313473073125009;-0.07864124621730445;-0.12251544364727933;-0.06940889941704464;-0.08528559760695557;-0.08409953805485668;-0.013620664697115458;-0.06638016022374923;-0.042822856927528886;-0.11255932258683679;-0.06644001722956479;0.033362272285981834;1
alpha:0.1_max_iter:10000;0.0006144857406616211;0.00012837671901469878;0.0002869391441345215;5.316574469545579e-05;0.1;10000;-0.1259330968463804;-0.04768061273039889;-0.09068089954749084;-0.07924410186857267;-0.018842582157866453;-0.05213416287002063;-0.04819680100320354;-0.034508141466073214;-0.09409508959589977;-0.06558570721219684;-0.08756074346666008;-0.06820052904103961;-0.10889369105332958;-0.10624664107103965;-0.023712666260598654;-0.02559521529656123;-0.0606468005949499;-0.06609706397767931;-0.05948354782594365;-0.04389109728042242;-0.09148341685684368;-0.04354142796957766;-0.07471508887626133;-0.028008497692264912;-0.03467713682761138;-0.07619278489038557;-0.05900596895675011;-0.025019320756121892;-0.038780654423416064;-0.14230384311470262;-0.04156665008449469;-0.06254730970465378;-0.07572987275862471;-0.018051676565661083;-0.07963179116731908;-0.03264553952793854;-0.010492293297979884;-0.08683503061146029;-0.10447958206402486;-0.08423279808579964;-0.029841747797069287;-0.0700855433591608;-0.042392543155949966;-0.10770078878661829;-0.10307538309313469;-0.10696460005147027;-0.028805338735701493;-0.049618863584383756;-0.04129299272015209;-0.06039399562637036;-0.06452370958642742;-0.06856508011343637;-0.10510467283207632;-0.08508027165718879;-0.0367790534999332;-0.05398642404596952;-0.11357095119660791;-0.05587074098009477;-0.0852752686422168;-0.048883100065798143;-0.03898117810569725;-0.03990708387285822;-0.20421052814299706;-0.0719376445295101;-0.06310543446187672;-0.0386095233347787;-0.11263291622074778;-0.024488790755551975;-0.07283093879042409;-0.05568160217607624;-0.020948375232533165;-0.05258780894812521;-0.10946945603837152;-0.10030968646163954;-0.0696573857527246;-0.04006940794415091;-0.061016760185887475;-0.020444784472079952;-0.1658598260520054;-0.05774671063323944;-0.07523834760457623;-0.049706423842839555;-0.05137236550074261;-0.03717216630298281;-0.08683773171445475;-0.06878274754749239;-0.07620133597480405;-0.03251093673857343;-0.08540711806640837;-0.0768273025144288;-0.03313473073125009;-0.07864124621730445;-0.12251544364727933;-0.06940889941704464;-0.08528559760695557;-0.08409953805485668;-0.013620664697115458;-0.06638016022374923;-0.042822856927528886;-0.11255932258683679;-0.06644001722956479;0.033362272285981834;1
alpha:0.1_max_iter:100000;0.0006006121635437012;9.202804202824833e-05;0.00028736591339111327;5.9747139356537116e-05;0.1;100000;-0.1259330968463804;-0.04768061273039889;-0.09068089954749084;-0.07924410186857267;-0.018842582157866453;-0.05213416287002063;-0.04819680100320354;-0.034508141466073214;-0.09409508959589977;-0.06558570721219684;-0.08756074346666008;-0.06820052904103961;-0.10889369105332958;-0.10624664107103965;-0.023712666260598654;-0.02559521529656123;-0.0606468005949499;-0.06609706397767931;-0.05948354782594365;-0.04389109728042242;-0.09148341685684368;-0.04354142796957766;-0.07471508887626133;-0.028008497692264912;-0.03467713682761138;-0.07619278489038557;-0.05900596895675011;-0.025019320756121892;-0.038780654423416064;-0.14230384311470262;-0.04156665008449469;-0.06254730970465378;-0.07572987275862471;-0.018051676565661083;-0.07963179116731908;-0.03264553952793854;-0.010492293297979884;-0.08683503061146029;-0.10447958206402486;-0.08423279808579964;-0.029841747797069287;-0.0700855433591608;-0.042392543155949966;-0.10770078878661829;-0.10307538309313469;-0.10696460005147027;-0.028805338735701493;-0.049618863584383756;-0.04129299272015209;-0.06039399562637036;-0.06452370958642742;-0.06856508011343637;-0.10510467283207632;-0.08508027165718879;-0.0367790534999332;-0.05398642404596952;-0.11357095119660791;-0.05587074098009477;-0.0852752686422168;-0.048883100065798143;-0.03898117810569725;-0.03990708387285822;-0.20421052814299706;-0.0719376445295101;-0.06310543446187672;-0.0386095233347787;-0.11263291622074778;-0.024488790755551975;-0.07283093879042409;-0.05568160217607624;-0.020948375232533165;-0.05258780894812521;-0.10946945603837152;-0.10030968646163954;-0.0696573857527246;-0.04006940794415091;-0.061016760185887475;-0.020444784472079952;-0.1658598260520054;-0.05774671063323944;-0.07523834760457623;-0.049706423842839555;-0.05137236550074261;-0.03717216630298281;-0.08683773171445475;-0.06878274754749239;-0.07620133597480405;-0.03251093673857343;-0.08540711806640837;-0.0768273025144288;-0.03313473073125009;-0.07864124621730445;-0.12251544364727933;-0.06940889941704464;-0.08528559760695557;-0.08409953805485668;-0.013620664697115458;-0.06638016022374923;-0.042822856927528886;-0.11255932258683679;-0.06644001722956479;0.033362272285981834;1
alpha:0.01_max_iter:100;0.0005964040756225586;9.22947143818047e-05;0.0002816319465637207;5.3082882023162784e-05;0.01;100;-0.14132023310102906;-0.042428040902602195;-0.0903007633227514;-0.06795925020859872;-0.020684339417098973;-0.07995532154559569;-0.04427869055956333;-0.03039228973508249;-0.0999827507431081;-0.04859250440888435;-0.09245451584337942;-0.07475663762859305;-0.0876929978773316;-0.09128060704476158;-0.025067423041697307;-0.03342599431751035;-0.049096282195164376;-0.0675686398274338;-0.0484942538422643;-0.07652736648012759;-0.10466491375499898;-0.035812198996363225;-0.071664231041072;-0.04501127669139134;-0.04469528108326547;-0.06628288021606445;-0.05483083189485688;-0.025492374005502548;-0.028639530818308327;-0.17037064040042094;-0.031118927748960287;-0.08776016090909856;-0.087175068604182;-0.026662154657400978;-0.07678363260207932;-0.03233136319307373;-0.022716159218623105;-0.07067932062809341;-0.09803764755936974;-0.0690129656492872;-0.03402351333498478;-0.05190884721502811;-0.04849487799010617;-0.11828277851265064;-0.1126092053342759;-0.09842357310791233;-0.01863773556385619;-0.047763906685017635;-0.04087943790554398;-0.07797682534440115;-0.06800683160557792;-0.06639714644279889;-0.10727980700761634;-0.08010590781222227;-0.022652004396876205;-0.0935387031509618;-0.1306612196616807;-0.04123032462077232;-0.12316158464450881;-0.03824396765879239;-0.04176491019813346;-0.04259275392884727;-0.2372712631332187;-0.10191702101523174;-0.04421541611250138;-0.0592433417533695;-0.1054787138204822;-0.025981579631504447;-0.08714266331819458;-0.05848850502711289;-0.020398038442015272;-0.03646415915029768;-0.10347242976038522;-0.09049094667143265;-0.06013005687256119;-0.03319836555074749;-0.08415284762051287;-0.036387814515777266;-0.21004953877899224;-0.04424820913869842;-0.08441880785753329;-0.05628225578433831;-0.03604324218043051;-0.04713597882451703;-0.061307883053670895;-0.047568011709984516;-0.07992519637045523;-0.026496296007200014;-0.10935791117193028;-0.1150281114461511;-0.03333922698474361;-0.0697794741402669;-0.1267269867175535;-0.059294631356396045;-0.09124598272713436;-0.08625809836624929;-0.00727195436436;-0.06366783591815735;-0.0890559487738621;-0.08383517032536325;-0.0687940623823089;0.0385971663202544;5
alpha:0.01_max_iter:1000;0.000617215633392334;0.00011559566059263655;0.0002992534637451172;6.917260320363456e-05;0.01;1000;-0.14132023310102906;-0.042428040902602195;-0.0903007633227514;-0.06795925020859872;-0.020684339417098973;-0.07995532154559569;-0.04427869055956333;-0.03039228973508249;-0.0999827507431081;-0.04859250440888435;-0.09245451584337942;-0.07475663762859305;-0.0876929978773316;-0.09128060704476158;-0.025067423041697307;-0.03342599431751035;-0.049096282195164376;-0.0675686398274338;-0.0484942538422643;-0.07652736648012759;-0.10466491375499898;-0.035812198996363225;-0.071664231041072;-0.04501127669139134;-0.04469528108326547;-0.06628288021606445;-0.05483083189485688;-0.025492374005502548;-0.028639530818308327;-0.17037064040042094;-0.031118927748960287;-0.08776016090909856;-0.087175068604182;-0.026662154657400978;-0.07678363260207932;-0.03233136319307373;-0.022716159218623105;-0.07067932062809341;-0.09803764755936974;-0.0690129656492872;-0.03402351333498478;-0.05190884721502811;-0.04849487799010617;-0.11828277851265064;-0.1126092053342759;-0.09842357310791233;-0.01863773556385619;-0.047763906685017635;-0.04087943790554398;-0.07797682534440115;-0.06800683160557792;-0.06639714644279889;-0.10727980700761634;-0.08010590781222227;-0.022652004396876205;-0.0935387031509618;-0.1306612196616807;-0.04123032462077232;-0.12316158464450881;-0.03824396765879239;-0.04176491019813346;-0.04259275392884727;-0.2372712631332187;-0.10191702101523174;-0.04421541611250138;-0.0592433417533695;-0.1054787138204822;-0.025981579631504447;-0.08714266331819458;-0.05848850502711289;-0.020398038442015272;-0.03646415915029768;-0.10347242976038522;-0.09049094667143265;-0.06013005687256119;-0.03319836555074749;-0.08415284762051287;-0.036387814515777266;-0.21004953877899224;-0.04424820913869842;-0.08441880785753329;-0.05628225578433831;-0.03604324218043051;-0.04713597882451703;-0.061307883053670895;-0.047568011709984516;-0.07992519637045523;-0.026496296007200014;-0.10935791117193028;-0.1150281114461511;-0.03333922698474361;-0.0697794741402669;-0.1267269867175535;-0.059294631356396045;-0.09124598272713436;-0.08625809836624929;-0.00727195436436;-0.06366783591815735;-0.0890559487738621;-0.08383517032536325;-0.0687940623823089;0.0385971663202544;5
alpha:0.01_max_iter:10000;0.0005919647216796875;9.206171709680147e-05;0.0002844882011413574;4.449779690247219e-05;0.01;10000;-0.14132023310102906;-0.042428040902602195;-0.0903007633227514;-0.06795925020859872;-0.020684339417098973;-0.07995532154559569;-0.04427869055956333;-0.03039228973508249;-0.0999827507431081;-0.04859250440888435;-0.09245451584337942;-0.07475663762859305;-0.0876929978773316;-0.09128060704476158;-0.025067423041697307;-0.03342599431751035;-0.049096282195164376;-0.0675686398274338;-0.0484942538422643;-0.07652736648012759;-0.10466491375499898;-0.035812198996363225;-0.071664231041072;-0.04501127669139134;-0.04469528108326547;-0.06628288021606445;-0.05483083189485688;-0.025492374005502548;-0.028639530818308327;-0.17037064040042094;-0.031118927748960287;-0.08776016090909856;-0.087175068604182;-0.026662154657400978;-0.07678363260207932;-0.03233136319307373;-0.022716159218623105;-0.07067932062809341;-0.09803764755936974;-0.0690129656492872;-0.03402351333498478;-0.05190884721502811;-0.04849487799010617;-0.11828277851265064;-0.1126092053342759;-0.09842357310791233;-0.01863773556385619;-0.047763906685017635;-0.04087943790554398;-0.07797682534440115;-0.06800683160557792;-0.06639714644279889;-0.10727980700761634;-0.08010590781222227;-0.022652004396876205;-0.0935387031509618;-0.1306612196616807;-0.04123032462077232;-0.12316158464450881;-0.03824396765879239;-0.04176491019813346;-0.04259275392884727;-0.2372712631332187;-0.10191702101523174;-0.04421541611250138;-0.0592433417533695;-0.1054787138204822;-0.025981579631504447;-0.08714266331819458;-0.05848850502711289;-0.020398038442015272;-0.03646415915029768;-0.10347242976038522;-0.09049094667143265;-0.06013005687256119;-0.03319836555074749;-0.08415284762051287;-0.036387814515777266;-0.21004953877899224;-0.04424820913869842;-0.08441880785753329;-0.05628225578433831;-0.03604324218043051;-0.04713597882451703;-0.061307883053670895;-0.047568011709984516;-0.07992519637045523;-0.026496296007200014;-0.10935791117193028;-0.1150281114461511;-0.03333922698474361;-0.0697794741402669;-0.1267269867175535;-0.059294631356396045;-0.09124598272713436;-0.08625809836624929;-0.00727195436436;-0.06366783591815735;-0.0890559487738621;-0.08383517032536325;-0.0687940623823089;0.0385971663202544;5
alpha:0.01_max_iter:100000;0.0006092691421508789;0.00011446665643297885;0.0002923417091369629;5.6480954345083395e-05;0.01;100000;-0.14132023310102906;-0.042428040902602195;-0.0903007633227514;-0.06795925020859872;-0.020684339417098973;-0.07995532154559569;-0.04427869055956333;-0.03039228973508249;-0.0999827507431081;-0.04859250440888435;-0.09245451584337942;-0.07475663762859305;-0.0876929978773316;-0.09128060704476158;-0.025067423041697307;-0.03342599431751035;-0.049096282195164376;-0.0675686398274338;-0.0484942538422643;-0.07652736648012759;-0.10466491375499898;-0.035812198996363225;-0.071664231041072;-0.04501127669139134;-0.04469528108326547;-0.06628288021606445;-0.05483083189485688;-0.025492374005502548;-0.028639530818308327;-0.17037064040042094;-0.031118927748960287;-0.08776016090909856;-0.087175068604182;-0.026662154657400978;-0.07678363260207932;-0.03233136319307373;-0.022716159218623105;-0.07067932062809341;-0.09803764755936974;-0.0690129656492872;-0.03402351333498478;-0.05190884721502811;-0.04849487799010617;-0.11828277851265064;-0.1126092053342759;-0.09842357310791233;-0.01863773556385619;-0.047763906685017635;-0.04087943790554398;-0.07797682534440115;-0.06800683160557792;-0.06639714644279889;-0.10727980700761634;-0.08010590781222227;-0.022652004396876205;-0.0935387031509618;-0.1306612196616807;-0.04123032462077232;-0.12316158464450881;-0.03824396765879239;-0.04176491019813346;-0.04259275392884727;-0.2372712631332187;-0.10191702101523174;-0.04421541611250138;-0.0592433417533695;-0.1054787138204822;-0.025981579631504447;-0.08714266331819458;-0.05848850502711289;-0.020398038442015272;-0.03646415915029768;-0.10347242976038522;-0.09049094667143265;-0.06013005687256119;-0.03319836555074749;-0.08415284762051287;-0.036387814515777266;-0.21004953877899224;-0.04424820913869842;-0.08441880785753329;-0.05628225578433831;-0.03604324218043051;-0.04713597882451703;-0.061307883053670895;-0.047568011709984516;-0.07992519637045523;-0.026496296007200014;-0.10935791117193028;-0.1150281114461511;-0.03333922698474361;-0.0697794741402669;-0.1267269867175535;-0.059294631356396045;-0.09124598272713436;-0.08625809836624929;-0.00727195436436;-0.06366783591815735;-0.0890559487738621;-0.08383517032536325;-0.0687940623823089;0.0385971663202544;5
alpha:0.001_max_iter:100;0.0007746386528015137;0.000128509548253206;0.0003799295425415039;7.129490867602307e-05;0.001;100;-0.1638233583022399;-0.08099606254662774;-0.06638747896002581;-0.06558792294252329;-0.023100743804795276;-0.1121418862045237;-0.05461154308354823;-0.02327685531915893;-0.09455046301756574;-0.02926215174123531;-0.0859782614696113;-0.09436162344414621;-0.057004026435644006;-0.06453395013130458;-0.02845493543497578;-0.02204959099294971;-0.040331340477575334;-0.06600159375057273;-0.05049270345121541;-0.11715491495325539;-0.09682214063362377;-0.03159849503680549;-0.07861470123112638;-0.04882866423638479;-0.11486072454878585;-0.04505450969831337;-0.059205469059284734;-0.01965859208967978;-0.01312546581767621;-0.18175629547336122;-0.03154769080227355;-0.11734304800530466;-0.09417811916069377;-0.046390346488686444;-0.0752929551130466;-0.02405193978008712;-0.04596296535054355;-0.05713365677493613;-0.08573734355522164;-0.03877101196176199;-0.04310136537540546;-0.030361198418853347;-0.07072160864653515;-0.1003601222363791;-0.11315244393413611;-0.08277834674093294;-0.011493851359691509;-0.058096897099945186;-0.03367933196641259;-0.11404350092057951;-0.040201844329139154;-0.1037321188368715;-0.10299176995984864;-0.0672826762918789;-0.023067852562077558;-0.12138271097314304;-0.13855189003789017;-0.03924916629651849;-0.1482163823581004;-0.030822901426668964;-0.054372986552567774;-0.034222735651620685;-0.250389725626583;-0.16121196018695344;-0.025648666833924794;-0.09558350097832824;-0.07722044750153158;-0.03226320842166146;-0.10236871431233881;-0.047165415819926074;-0.030393922901886018;-0.020496862969525607;-0.08819355390358048;-0.08022344642625642;-0.05842530499017947;-0.018548686231265033;-0.11783956183226067;-0.0824703216211886;-0.21569304515016063;-0.04611912774003647;-0.08796694202790156;-0.0812371877656584;-0.023285341411275508;-0.0358628145859882;-0.044767468290612025;-0.03243505912378568;-0.08411886271143347;-0.029349668602196455;-0.11380717710093613;-0.1613812155528715;-0.039384253211643974;-0.042294603579427346;-0.11040781618462085;-0.04869429273880347;-0.08926804033387123;-0.07245423603549547;-0.010405622348021512;-0.060662457446216546;-0.12498985535835123;-0.07243043003478442;-0.0712337806114777;0.044764714691699674;9
alpha:0.001_max_iter:1000;0.0007718896865844726;0.00018225760850404285;0.0003840923309326172;0.0001397968959937526;0.001;1000;-0.1638233583022399;-0.08099606254662774;-0.06638747896002581;-0.06558792294252329;-0.023100743804795276;-0.1121418862045237;-0.05461154308354823;-0.02327685531915893;-0.09455046301756574;-0.02926215174123531;-0.0859782614696113;-0.09436162344414621;-0.057004026435644006;-0.06453395013130458;-0.02845493543497578;-0.02204959099294971;-0.040331340477575334;-0.06600159375057273;-0.05049270345121541;-0.11715491495325539;-0.09682214063362377;-0.03159849503680549;-0.07861470123112638;-0.04882866423638479;-0.11486072454878585;-0.04505450969831337;-0.059205469059284734;-0.01965859208967978;-0.01312546581767621;-0.18175629547336122;-0.03154769080227355;-0.11734304800530466;-0.09417811916069377;-0.046390346488686444;-0.0752929551130466;-0.02405193978008712;-0.04596296535054355;-0.05713365677493613;-0.08573734355522164;-0.03877101196176199;-0.04310136537540546;-0.030361198418853347;-0.07072160864653515;-0.1003601222363791;-0.11315244393413611;-0.08277834674093294;-0.011493851359691509;-0.058096897099945186;-0.03367933196641259;-0.11404350092057951;-0.040201844329139154;-0.1037321188368715;-0.10299176995984864;-0.0672826762918789;-0.023067852562077558;-0.12138271097314304;-0.13855189003789017;-0.03924916629651849;-0.1482163823581004;-0.030822901426668964;-0.054372986552567774;-0.034222735651620685;-0.250389725626583;-0.16121196018695344;-0.025648666833924794;-0.09558350097832824;-0.07722044750153158;-0.03226320842166146;-0.10236871431233881;-0.047165415819926074;-0.030393922901886018;-0.020496862969525607;-0.08819355390358048;-0.08022344642625642;-0.05842530499017947;-0.018548686231265033;-0.11783956183226067;-0.0824703216211886;-0.21569304515016063;-0.04611912774003647;-0.08796694202790156;-0.0812371877656584;-0.023285341411275508;-0.0358628145859882;-0.044767468290612025;-0.03243505912378568;-0.08411886271143347;-0.029349668602196455;-0.11380717710093613;-0.1613812155528715;-0.039384253211643974;-0.042294603579427346;-0.11040781618462085;-0.04869429273880347;-0.08926804033387123;-0.07245423603549547;-0.010405622348021512;-0.060662457446216546;-0.12498985535835123;-0.07243043003478442;-0.0712337806114777;0.044764714691699674;9
