,Porosity (%)
1894,-0.5533512737419677
1895.9,-0.552843122169941
1897.5,-0.5530215770463152
1898.7,-0.5529736517338186
1900.9,-0.5524690353286446
1901.5,-0.5522905473300421
1904.3,-0.5517196353607512
1907.1,-0.5504473786724223
1909.9,-0.5472560354235402
1912.7,-0.5456632615007713
1915.5,-0.5422581286059138
1918.3,-0.5353502783473251
1921.1,-0.5290399811942422
1923.8,-0.5210069906614402
1926.6,-0.5141124120873255
1929.4,-0.5077015542849985
1932.2,-0.5009968855676081
1935,-0.4955991054660663
1937.7,-0.4912249419405501
1940.5,-0.48744347228831325
1943.3,-0.4839270144413102
1946,-0.48318648849833884
1948.8,-0.4820981276491008
1951.6,-0.4764346566783701
1954.3,-0.4716367136771181
1957.1,-0.46951177701678304
1959.8,-0.4692962170351374
1962.6,-0.4721251221195069
1965.3,-0.4714473053774732
1968.1,-0.4680422949060607
1970.8,-0.4662285030184448
1973.6,-0.46463094847972775
1976.3,-0.46520044696904805
1979,-0.4660632091208032
1981.8,-0.4630262245084756
1984.5,-0.45924136893637696
1987.2,-0.453691452821561
Porosity (%),1.0
