,Porosity (%)
2194.6,-0.5110761164152798
2197.1,-0.5502323035840008
2199.6,-0.5571840633249937
2202.1,-0.5638353213931584
2204.6,-0.5628168326194846
2207.1,-0.5570537965513696
2209.6,-0.5589746482352282
2212.1,-0.5699232707424087
2214.6,-0.5824688060313069
2217.1,-0.5924985890269027
2219.6,-0.6030151678935759
2222.1,-0.609284214274417
2224.6,-0.6117291805210172
2227.1,-0.6148210978656061
2229.6,-0.614264415674419
2232.1,-0.6108771695303215
2234.6,-0.6060801511009543
2237,-0.5888091349207389
2239.5,-0.5251127050262725
Porosity (%),1.0
