,Porosity (%)
857.8,-0.6109143389815075
859,-0.6151651174813871
860.2,-0.6184477795665125
861.4,-0.621653730122577
862.5,-0.6248629631505817
863.7,-0.630677537643274
864.9,-0.6260136312593597
866,-0.6259177596031877
867.2,-0.6311491235578487
868.4,-0.6331865658209711
869.5,-0.6289711177603402
870.7,-0.6299600745981215
871.9,-0.6299373649570741
873,-0.6263312480341581
874.2,-0.6297266220994839
875.3,-0.6294808926406139
876.5,-0.6306641456503866
877.6,-0.6301835735315954
878.8,-0.6319178869449505
879.9,-0.6326398013710167
881.1,-0.6332640264010514
882.2,-0.6302962674645634
883.4,-0.6284405470106468
884.5,-0.6284168292318133
885.6,-0.6331940353348209
886.8,-0.6327502437426586
887.9,-0.633497651886955
889.1,-0.6338542796423714
890.2,-0.6335596461155997
891.3,-0.6316528396750815
892.5,-0.6308393324974538
893.6,-0.6313836300918857
894.7,-0.6286362925126001
895.8,-0.6293411128375206
897,-0.6286721703884778
898.1,-0.627528576194236
899.2,-0.6309211888977909
900.3,-0.6336580305283448
901.4,-0.6336557752743002
902.5,-0.631402085721832
903.7,-0.6296777264899169
904.8,-0.6307037064275238
905.9,-0.6301246757775231
907,-0.6290399382116317
Porosity (%),1.0
