;Linear;Lasso;Ridge;ElasticNet;KNN;RF;SVR;MLP
0;-0.0654333325861862;-0.011818710769222376;-0.03623345516293216;-0.011818710769222376;-0.00604649877912697;-0.0385500501686732;-0.008491174671469705;-0.03984167827776906
1;-0.005151935273908072;-0.004189808271499688;-0.00817858019126534;-0.004189808271499688;-0.0006463439409084013;-0.0015964509684307645;-0.002878511511156734;-0.0012642213539457191
2;-0.017460894104571145;-0.004784470858096502;-0.023586529173019826;-0.004784470858096502;-0.0030477251083380237;-0.005973340055214392;-0.002893648640776753;-0.009894210418973225
3;-0.07284870511772484;-0.02976929331284865;-0.032600105791531435;-0.02976929331284865;-0.011288986501065863;-0.026221297248456305;-0.01867373058441617;-0.025429648270678784
4;-0.09055886145757125;-0.00120224834718546;-0.00088171073377876;-0.00120224834718546;-0.00046032019072209503;-0.0001883525358626828;-0.0023916274467627187;-0.0010851499078768398
5;-0.04346250597833523;-0.019204344856791077;-0.05271301774932968;-0.019204344856791077;-0.03310626676728515;-0.02082584244908617;-0.019600878443067907;-0.06567442602730832
6;-0.09736611062726937;-0.008169211334560724;-0.013812387714147988;-0.008169211334560724;-0.0007786943955437341;-0.0012774165778567555;-0.0002759891270348105;-0.01542627577614788
7;-0.021528600156046313;-0.008597672469927415;-0.007576592155007877;-0.008597672469927415;-0.002234131904563681;-0.01704403521391507;-0.0030722895220597073;-0.016460904584068802
8;-0.006908785207281918;-0.0009712538313578012;-0.02720669914064998;-0.0009712538313578012;-0.0010220337240910708;-0.006115893172493906;-0.0014172316526944435;-0.03941357785850422
9;-0.06339640694149927;-0.004554786439215191;-0.006275355486650151;-0.004554786439215191;-0.00059605568564131;-0.00022822509251000473;-0.0001892605787553903;-0.0032079839977428074
10;-0.05815152531979401;-0.024436309133169645;-0.04294354769406485;-0.024436309133169645;-0.027702709837068556;-0.016341927670232587;-0.012867704733149089;-0.04601211537521817
11;-0.05494275953333308;-0.01787421220546241;-0.01203085070047035;-0.01787421220546241;-0.00992686733961413;-0.006429125541388375;-0.02283558751463027;-0.010226935505487436
12;-0.015728470071709317;-0.005116537573902492;-0.0248443445516958;-0.005116537573902492;-0.0028175988413776053;-0.007857904350067802;-0.0018641653050134781;-0.022560006822992428
13;-0.015017791353314288;-0.003737010325904229;-0.014989717254806747;-0.003737010325904229;-0.000745355910832554;-0.0012362324306407302;-0.00021515967823120747;-0.009514141457751256
14;-0.00137743878174464;-0.012255911445826634;-0.037513277291992;-0.012255911445826634;-0.006413612650209216;-0.03997172809807772;-0.009672402313197036;-0.045124394073712444
15;-0.04592112625567915;-0.01981054057619492;-0.03188911861179716;-0.01981054057619492;-0.001345346508700731;-0.015316302841942894;-0.011214793402626504;-0.054927967726977056
