model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_ccp_alpha;param_learning_rate;param_n_estimators;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
ccp_alpha:0_learning_rate:0.01_n_estimators:50;0.021280775070190428;0.0027232982861662832;0.000646514892578125;7.10242334778768e-05;0;0.01;50;-68.02109819812453;-42.459232479527905;-22.5478013365969;-80.79438438905136;-203.78044865094793;-56.236092086353125;-69.48671356078036;-23.00071074971302;-54.56291428286149;-59.05566642940592;-317.0333485152317;-15.805986786875652;-31.16455133207423;-50.557236203828076;-3.753211080095339;-60.04096906389163;-72.3378237846764;-32.10948599929757;-7.632725725117902;-181.25635884314633;-23.958639710437097;-7.073736864682154;-83.41955670753568;-92.36643445507019;-232.7616444642098;-21.006082878469623;-7.887845015367037;-46.29007389435076;-43.308633187296294;-72.29578765407275;-65.88692437378087;-4.560273850896599;-42.49078898322215;-56.445045658377246;-2.88282444776373;-38.475426231777085;-39.87718938526243;-67.25008785831507;-320.5546757693129;-23.066247334249894;-102.61620340893738;-31.7986043924799;-52.798411265582956;-4.0090142297212195;-69.86464918774571;-219.1153492679805;-23.5499451869601;-46.67081866546461;-10.081422191057998;-52.968787149984585;-22.48829597196006;-98.40902065586407;-71.6298015640035;-12.110515351493484;-279.29250093339635;-34.75694334264101;-4.851159169280432;-82.31204741080278;-22.72325775410295;-23.026244294452983;-99.05210272187537;-82.10361243568484;-4.00049621270117;-79.85965924318107;-183.36634382009993;-15.66132924904912;-56.2605812281622;-23.710992609586437;-40.61219385094237;-8.465274956227521;-40.26440027018921;-166.4650476763118;-81.5647497271829;-93.97740146967885;-63.10894055708908;-56.363061281556064;-8.439893409042252;-5.772600322746663;-61.62258487886985;-31.729262919396835;-47.16480350743442;-3.7071826950305584;-56.9117293051753;-106.61214184635884;-118.9171810364242;-176.70806346877862;-36.10178808045322;-23.026244294452983;-24.228384593075205;-23.609428812753997;-43.9648324216819;-58.09658031712803;-23.798691140413222;-169.1328023389244;-27.8076289967868;-42.31590364042503;-23.62214929304108;-86.16555177600338;-24.98414671933199;-106.25051416706287;-64.34093946906269;64.81091387119318;1
ccp_alpha:0_learning_rate:0.01_n_estimators:100;0.04210453987121582;0.005192728097927339;0.0006969904899597168;0.00014667449713167877;0;0.01;100;-62.5513077089374;-24.431256248848854;-20.27179688380929;-73.7160662382019;-199.3619649342983;-93.19864921097906;-31.379074034607473;-30.870942720794186;-64.74191511918048;-79.00736716247297;-323.9755887526123;-25.97995762361486;-33.49499541199567;-81.10438719640445;-1.8428195140600077;-38.714207290656915;-104.70389290857787;-36.9290094587556;-16.227339556116362;-166.85199887126333;-18.238590860235487;-11.69227132417337;-100.94676852303331;-52.88328619856003;-206.81083414509996;-21.237411241634753;-5.225058901852943;-59.02842478683719;-83.50609793696714;-100.62095342623348;-66.62226126076952;-2.807184863705093;-44.70539142091557;-40.60747408556815;-1.456805681586993;-44.392058938872566;-48.82940731136335;-88.83402659828718;-280.5382055180915;-45.45812918063357;-129.77361559463014;-34.03757448369679;-39.79444440342926;-0.8121192319228592;-78.03925939520194;-199.38398402165782;-28.5679006450784;-92.75258431314273;-4.317557345146775;-64.65437179051446;-22.197396148094526;-81.86324805324956;-88.11496762592456;-24.25923631461718;-250.9125295037007;-61.13604065591247;-15.888820452204943;-73.75274661651761;-39.80439268102948;-30.348084320382085;-100.47088941654016;-99.10610485286696;-2.800787793060662;-94.25658700424805;-167.42553124647443;-29.07579212428047;-29.747620671414296;-33.39809838082901;-36.90630983530584;-17.715774464672194;-47.34054472991179;-153.14329438859923;-73.4397040058317;-83.78497933707305;-72.25454222826626;-84.64556066074836;-7.892160003690458;-0.13237678554435645;-63.14545307402621;-27.878204064507624;-33.36876667341;-0.23846111142566154;-87.45181655928616;-85.50328235842689;-109.24163732991639;-147.467652336096;-34.91470085968015;-30.869922979517142;-42.27852508018892;-45.13328996302395;-64.3419596666541;-61.76175963573045;-18.994847178750835;-149.93688288104306;-24.34090341192021;-20.41698328075445;-34.07735512848053;-82.8392768711269;-45.635809623174914;-99.95269431765452;-66.37532894960815;59.8390761788092;2
ccp_alpha:0_learning_rate:0.01_n_estimators:200;0.08304789304733276;0.006655617979415059;0.0008142924308776855;0.0002537092208023284;0;0.01;200;-65.99852269242699;-11.002531557871757;-19.593758688127693;-68.11741614843412;-189.80419269069117;-142.61732723934617;-18.008428982607118;-35.366726786420166;-71.80908834573447;-96.0596474996616;-338.243849791041;-38.85945613301937;-41.54551599161973;-134.31578665677964;-0.7945059188210996;-33.54961290372285;-141.5213573427173;-38.76154688388479;-35.148457636402014;-146.11972387780222;-18.677430662181386;-20.14647133927002;-116.6661640142713;-34.68088465712165;-185.45964455464036;-26.43489530901526;-13.031276443570007;-68.92618635429012;-119.13212798269956;-141.04736033167637;-76.50493033006057;-2.9382247992672172;-51.27520799620362;-32.58967057333951;-13.450773122473928;-47.33693152475137;-62.70553048273463;-145.0164060422378;-242.66407852103993;-68.89036162212554;-178.29446717718486;-39.12779629357057;-29.0170907371172;-3.2548710504375404;-87.54559722933261;-168.3045267661225;-35.41657797146529;-138.04358915780477;-0.7075117752137109;-72.51689818652768;-24.83869090843173;-76.80089313093309;-115.14495403767266;-39.8207899586803;-230.5646516204521;-92.62437522924792;-32.059304399937524;-70.89769376081973;-69.44978855206006;-33.971992466126096;-101.20598941583843;-135.87816517539105;-7.995334609105464;-123.30297545933793;-143.60126021481472;-61.89475926514976;-14.781142982899631;-32.41930648818462;-35.15135016843129;-50.32568752612886;-48.23265821785415;-124.28675697691419;-66.57095818833422;-89.83473269119663;-79.9922566277861;-139.67093773129355;-8.137822610439942;-4.942536433670464;-44.79963933905523;-27.012454747947114;-23.524878952175754;-3.591881193596866;-101.79037856197664;-94.67853572095709;-101.69494839654537;-125.59925986039559;-39.41732323042984;-33.97442386922739;-74.7103294620969;-71.04061772116869;-100.76614284851665;-70.1356254702622;-27.809112669277596;-128.75053845167955;-22.616514545562868;-11.999299197235706;-32.96295028776951;-84.71960375056975;-76.75915597936066;-100.48188788340612;-73.60274203761223;59.26784912152055;3
ccp_alpha:0_learning_rate:0.05_n_estimators:50;0.020707876682281495;0.0012073742788766219;0.0006400179862976074;5.9247820472640726e-05;0;0.05;50;-57.80128058389823;-8.087747717182475;-13.990449416722955;-72.54587230259524;-181.9447448164839;-150.87381979198355;-20.90618425316201;-35.65613620816068;-79.73639157550093;-97.12304814752142;-337.81950967585453;-39.69029269479776;-38.84175421965614;-128.60518687386065;-0.6128681067787655;-34.25168492111555;-153.07666602743097;-41.76730308564467;-46.819200306952865;-142.82506092702454;-20.38927374908134;-24.89971343786121;-129.48107834842622;-29.231453201646826;-202.62060032610455;-26.915715835650754;-18.420657379105286;-70.73834864116138;-128.34898921418855;-143.85476893245163;-91.52005624816405;-5.397169338661185;-52.00731894608118;-33.280846565434686;-21.428579564612008;-46.191588484829;-63.31226777336747;-91.68790283234948;-241.7432372192572;-70.3905016147995;-202.11717865717694;-35.605920312217414;-28.54955355088318;-7.831145622018805;-91.09919465847348;-163.6614315051546;-38.545015300200454;-168.5018026391936;-1.3359339331406714;-71.11670226116945;-29.71388056835905;-71.24989443258049;-120.99325713396838;-76.1783003046349;-249.7721326508739;-99.6059832005722;-39.815973488432725;-71.11973110514195;-73.77834367972669;-32.4085512233591;-101.2630046301469;-147.9588393018888;-12.071533759462815;-122.32312608982392;-137.7222753112965;-73.85369551539657;-14.64146923265888;-36.31058326947391;-27.573172417597103;-49.9226163207328;-43.099037714317774;-118.60722732011736;-71.0779713580935;-85.40875492287866;-80.88531016541451;-134.84192175916633;-10.693471632542604;-8.02200545321993;-38.13885254379838;-23.188757612722082;-28.775880338197712;-5.237083354712524;-103.80270631352091;-93.28135855755745;-94.41487568290283;-124.93740491908244;-38.70883588702701;-31.071665403461004;-87.55244195432307;-67.35527326460532;-107.87593438803272;-74.64141945787894;-44.76900309630491;-133.90466117485084;-24.986595747499933;-13.78896896926225;-34.28898989041655;-81.32556082433142;-80.1371687069855;-96.43026876297668;-75.7272491855752;60.20841174059411;4
ccp_alpha:0_learning_rate:0.01_n_estimators:300;0.11888719081878663;0.0034238989860989845;0.0008475160598754882;0.00014613653064029445;0;0.01;300;-63.68841374567097;-13.433415133590527;-18.08187459530953;-70.900167701309;-186.26877641159717;-154.69199749977733;-12.067250976904432;-33.634696360352336;-70.37033935995768;-96.48279857203462;-345.0766304817703;-55.6837445233487;-40.477894591721615;-148.1110765410185;-3.2321765706449743;-35.66534922382527;-157.4977415840731;-43.64319319684684;-53.65456154122261;-143.43538821344757;-21.360497284882825;-24.965218283969303;-121.24214442081171;-31.1796348443208;-184.45959322775084;-27.82176721472399;-24.882710443566108;-69.67351289135884;-132.25939566703173;-155.08877680957693;-80.17698562821334;-5.617056581243594;-53.26497155626331;-31.8451959314588;-20.287916443298613;-46.7879996384004;-61.90495111555702;-145.8909755751845;-232.5273443477298;-76.06772801312627;-200.43372520365594;-34.18108623956024;-30.758020803310327;-10.62374194244461;-91.21683467306893;-164.95705572973358;-38.732807612301;-168.78093980638997;-0.820131608302252;-82.89951266941364;-30.374330352534617;-75.25342359818669;-120.54668210536617;-70.67911547377504;-230.77898548621863;-102.61008737608694;-39.3432129877762;-69.73347133554691;-84.5999880838428;-35.20391589630552;-105.12846530273593;-154.3538353495751;-13.68008363548384;-126.97557823605966;-145.98352320401335;-78.06393695743394;-10.662343832095601;-32.73360897130722;-42.662521142570995;-66.39278997193023;-47.04791232946999;-120.29871580345979;-69.7905411719528;-75.08047786692948;-82.70139039557934;-156.78723647676452;-7.983307027069698;-10.047274987967956;-44.37019286242698;-26.61567418225313;-33.212141820979866;-7.224353813407194;-110.30880667766701;-85.88333985088308;-97.68030004940834;-121.76269018905873;-41.430895678228396;-34.687050235257075;-76.99975183529351;-77.62651382394147;-108.88718760900588;-73.12195117184693;-36.401898416962716;-116.77468501173333;-26.449884417867874;-11.038830390777742;-34.151398482794264;-88.25315531352017;-89.97808816183323;-109.27787316178845;-77.74439137546047;60.15557983263749;5
ccp_alpha:0_learning_rate:0.01_n_estimators:400;0.15812037706375123;0.008811920921361023;0.0009192514419555664;0.00017118494417626268;0;0.01;400;-62.59483556432383;-11.715312008835857;-18.14725673861815;-74.02834876804839;-184.7706920316092;-164.96665253549898;-17.938501112436377;-35.979423939534726;-71.1308966910843;-98.61522595024701;-335.50126975438883;-56.26798293847683;-42.483584949818365;-155.42976670206693;-2.9195592161051778;-38.58666391387438;-164.76100012634743;-44.0343615446503;-59.271827564405854;-144.05227876521138;-23.589672800295485;-29.641844179780293;-126.24000952465792;-30.478501496359723;-185.7656184703917;-29.274227938046366;-27.192676262797026;-69.28783931477138;-126.23966503985011;-168.66227293478346;-83.87728829091373;-7.36467636108695;-54.971178613088746;-27.74044263026175;-19.03033860133886;-48.26687919395116;-63.21566552057956;-151.9180603889177;-241.5070673645017;-74.64182420880272;-215.06154122352777;-34.62418875525125;-29.3012189198818;-10.418038418562906;-95.74590704420018;-158.45011396183386;-43.829076450252785;-156.4656031490035;-0.5345407852173664;-85.89693848329956;-33.70219336644988;-74.20031577388816;-124.80205687277716;-67.71082631665188;-208.37941145889272;-106.12694618012877;-43.45810250444478;-68.45692658617078;-96.82032798922782;-34.581753430626115;-112.72690933145378;-165.86625025663358;-14.346448587677065;-131.553906751435;-142.8119054026774;-86.84847942702481;-10.476638170512965;-33.537721675120835;-42.575634016427934;-72.54456169633748;-47.61072240788746;-116.87924698641281;-72.32719668756106;-82.54613816799605;-87.74364605655292;-166.33452363896782;-7.411865639793174;-13.485913675586959;-50.78241123706428;-23.734319491812062;-32.10387980985794;-7.806629098531485;-114.62247599725174;-85.5377719123431;-101.29466908903994;-127.82837879344358;-44.54520226508173;-32.565171137381114;-82.58625121572135;-80.84020090218331;-114.84206195943317;-72.99493532327206;-39.43964136765239;-118.43571915131548;-27.648654681450818;-12.603511663585701;-33.412236998832434;-88.67277236617485;-94.60051935982607;-114.11668025000243;-79.69309020268363;60.2922934643993;6
ccp_alpha:0_learning_rate:0.05_n_estimators:100;0.04110926389694214;0.002578484635576181;0.0007028436660766602;0.00016352270467742376;0;0.05;100;-63.234325734157494;-11.26335720900221;-19.683201121016527;-74.73666663100244;-175.69143158312875;-166.89872598598774;-4.369641838318907;-29.651722089841872;-71.72632518796243;-103.99420702687463;-335.39600995280745;-66.49986899773255;-44.62988018848417;-150.5014446003245;-4.945120431971702;-38.5944757047209;-161.5210981075208;-46.08105983532104;-61.41830525833114;-141.73622986379226;-23.391585486220663;-34.60901759432506;-120.97408343625649;-34.22617818550122;-183.4781713315571;-32.80952808526802;-25.208619246059783;-69.5953960594803;-136.1754539595879;-161.736317806724;-89.92561097751359;-7.075525369328045;-54.29463425461927;-49.18433771302636;-31.480827538944286;-48.84328013776213;-65.61946789399101;-158.07694455188346;-214.87268292756966;-75.46794586525763;-228.7020633426159;-35.522551429504105;-34.40303147036475;-11.834695160679198;-96.95945693052141;-138.4506312482708;-46.011313136384274;-141.86273748312232;-2.8427908800971893;-90.99879972098009;-30.21605770508557;-65.76023448910324;-120.92656466692686;-92.17419888256262;-252.5724844424092;-116.0798885581613;-54.23900792342586;-70.28995395225718;-100.41340978273217;-35.02536320140969;-113.26327012721099;-158.12540557563673;-12.753212553465488;-136.61920825039135;-142.0806486753149;-89.9627479404016;-10.381693990721022;-40.29940839682244;-28.00921024649957;-84.3994483283951;-46.169456800279626;-112.91676115808998;-70.2969925480912;-91.12913508597144;-83.51666816299196;-156.11281254917375;-10.818616606778294;-17.828332500397323;-53.07244383350654;-21.25207223623612;-31.52317279362236;-10.153033168076918;-101.96738577924695;-101.14026618489294;-98.85303448368525;-127.94671863309888;-47.25022567684281;-33.75412825399439;-77.14091576642795;-89.13672591616893;-114.12948867707144;-82.76404460207914;-34.708133529936894;-120.58406419598502;-26.79821355478714;-6.426869389011681;-36.65237143380237;-84.38617254046625;-83.94626624150682;-106.63417808588471;-80.49806894648755;59.8583074211007;7
ccp_alpha:0_learning_rate:0.05_n_estimators:400;0.1634131097793579;0.008721924203757562;0.0009465479850769043;0.00017956328699903921;0;0.05;400;-61.1386777660756;-12.725779956231754;-20.39631445672657;-76.31249197274026;-189.28229781395873;-163.9177734884964;-8.083177385861205;-29.820790204372393;-65.34227603189045;-117.2825461526798;-328.88276373263744;-56.83124439791215;-42.92833185810378;-148.67531621061357;-5.680602437077375;-41.97364519778558;-163.0549961468112;-43.9231035221529;-64.35467232579401;-144.22391328997517;-16.414390384688478;-28.7999377660777;-131.12109971179441;-41.732756267680536;-191.11380929683105;-28.86152736189516;-35.792368499807814;-70.80119147800639;-132.44792408516753;-162.68697621106392;-100.05127820916726;-12.618912814875571;-53.23042435282704;-28.73699025956871;-26.431515140413513;-49.90803878476721;-67.30583377245766;-153.8790277964647;-250.55810050524008;-60.08812762860069;-195.71813202983913;-36.82458631417368;-34.58221289106516;-12.064356264078896;-100.01817430270093;-133.37619848134918;-45.34043732911441;-166.2583473990516;-4.075259416839295;-86.69531904962369;-30.728424060949937;-68.9399129675146;-117.89913618879308;-68.92190348314895;-230.5051356907586;-115.85382605552438;-60.58820357219338;-72.9872829882297;-103.11432810229756;-37.4655252288312;-116.46435784678556;-174.41192153216673;-19.496841680739873;-142.9522508727314;-129.89975420354713;-90.43933005123836;-8.382224566978834;-37.766098781814904;-26.524749698290343;-75.47466797727316;-44.11363694669549;-115.73174055668136;-72.1685012281593;-79.67741186118046;-84.3953053062877;-153.17341508462854;-9.557720753357069;-11.621922328758032;-45.84868393751712;-18.881025009371047;-33.43196634077227;-8.751651929411773;-126.9761174556254;-93.40469233030149;-98.25152398597811;-123.47557089710627;-50.6908201153271;-34.70333634033947;-82.88947841158482;-84.13419425136267;-122.7608236076208;-73.11916520219879;-37.28274415212169;-112.4174662795564;-28.01382784245808;-21.73751569761683;-37.33888073895414;-85.99244436207036;-79.8728801032062;-114.46607135921884;-80.56060378118404;60.102709690473304;8
ccp_alpha:0_learning_rate:0.05_n_estimators:200;0.08484025478363037;0.005689734742119792;0.0008404278755187989;0.00027548031879338745;0;0.05;200;-61.59487753404118;-10.708966894634687;-20.147755159530757;-71.06542602034112;-173.55664310229056;-159.66933254932746;-10.413923906376612;-30.858117786671748;-76.12961530074028;-107.94275364112559;-323.07617046397917;-41.8597713220764;-43.5717410112314;-151.11013209740847;-0.6956152621369553;-42.19497098209947;-165.6047562618356;-39.47327657954301;-67.03863392944885;-144.48968595428767;-26.793189051753995;-30.795079224293787;-131.90308433146376;-32.72623538634827;-171.14281958543873;-28.971033579925418;-37.54888301914383;-69.64246530973031;-131.42390564186138;-183.38779181264138;-87.52716580041607;-10.401139871918778;-59.278293187803136;-32.462251716651416;-30.336558359957863;-50.76431102245016;-67.316177655426;-133.2778167933538;-215.1691731351081;-72.04851613638981;-213.0191525307687;-37.24491362023755;-32.16232960683378;-12.535544969298973;-97.19105344576933;-149.75553216244884;-48.1191510642737;-163.95016364019216;-4.3042507099749985;-75.92067917167024;-29.462367124036373;-66.83755981164454;-139.667112843855;-85.41124332405109;-227.12394569538515;-115.0996839912717;-63.6332906227844;-73.47730304727838;-95.86499940686845;-34.60128443409763;-113.75523181111373;-176.96003884032083;-16.349929004552905;-148.75681965641317;-137.77871835330416;-92.96510425417189;-16.475948959942965;-40.45468367417317;-36.03743202836833;-81.67251150014829;-43.707188888647956;-107.5755175418977;-74.77692931310821;-97.03282697805291;-80.43837630732561;-141.01941599042573;-9.697906380331306;-13.939605335793946;-53.246078447119764;-19.19606009552456;-33.8122799151569;-15.596420306469971;-122.44493538020619;-91.82668755385379;-100.60731302348755;-116.37054379113606;-49.5891569483792;-30.889040261870925;-87.60887903264131;-85.77643458566223;-123.92231892122618;-78.36416976205267;-40.03017561998787;-117.13795664524469;-29.79464763442132;-21.505301411572464;-35.63472875871462;-86.45061413524708;-86.34773804695666;-107.29093526312732;-80.72336217962096;58.550452005599944;9
ccp_alpha:0_learning_rate:0.05_n_estimators:300;0.1274252462387085;0.009189608058390003;0.000979480743408203;0.00045628493616249713;0;0.05;300;-62.734486465616875;-21.01492116217106;-22.388469234536306;-74.08043121601563;-180.08488867210698;-176.73998864429518;-8.285346105357984;-33.135897431387534;-61.27068561177485;-116.85978678972151;-326.036529551367;-58.875105928286786;-46.790034881944784;-153.27686163510603;-2.7659990271084616;-39.50422285729746;-173.24187993835852;-46.14047987794272;-63.50807635312381;-143.42913934037534;-20.124500872458952;-31.352461494262055;-118.73035295428024;-41.75384356131207;-180.1642632452266;-27.044061297784697;-26.308047839842516;-70.19472046281706;-130.36441538831284;-179.8474480182344;-100.31006111590403;-10.312563466551177;-50.76709581927065;-34.22070350394778;-21.667716246355113;-48.04476735933429;-66.59212011261782;-150.80370207309025;-228.0638730467549;-72.14657990827315;-218.2672319992458;-36.54251421206143;-33.16585518159817;-14.15236299497802;-102.14689919964377;-142.2700184661148;-44.07346623449004;-190.5765641484615;-3.5897651309012786;-91.32557857414746;-24.885792213927086;-73.50164020361086;-125.87581155036372;-66.00433344598962;-245.83811322268002;-124.72779561134752;-68.86629513033606;-73.04790136315613;-101.51141067388512;-32.47028046928782;-113.94767216884073;-165.09932816294278;-19.402818141825776;-129.29277592105188;-141.76531765697533;-95.35593030629396;-10.162768675830268;-38.063119796038656;-28.342909930818756;-78.82043940843025;-43.14985728051693;-117.08416168787149;-73.08561631615686;-79.11692480377087;-85.89973271442011;-159.73304046052303;-9.464425687137902;-13.774945286491327;-62.828549259860885;-19.984278389324853;-38.384835550799906;-12.880320767285392;-103.96026994196016;-82.60656211018096;-96.94426926613009;-129.712696496556;-44.67740886218816;-31.626800519596195;-85.35176757039997;-88.24895759031625;-111.27913591852729;-75.03731371780124;-41.83822425987942;-125.04567975390209;-25.121991950983624;-10.034580939497488;-37.285230314514344;-86.29644181374788;-90.05472112944715;-113.9418635010588;-81.46519842566647;60.812401451931144;10
