model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_metric;param_n_neighbors;param_metric_params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
algorithm:auto_metric:minkowski_n_neighbors:2;0.0003363800048828125;5.6628114478919414e-05;0.0006311702728271485;9.317543805641089e-05;auto;minkowski;2;;-0.004051231825893237;-0.011975036285631699;-0.009307516461771413;-0.01553008772495893;-0.01187864981475828;-0.010741905689694395;-0.006058688709814405;-0.014341142627634201;-0.02612397074682422;-0.020427970392385423;-0.008170058945893616;-0.02170128408858804;-0.005800721643451162;-0.0022463138896744216;-0.020051934103193825;-0.01856312198366761;-0.007817154139878041;-0.019203493287936427;-0.008961787864367991;-0.017154936246742657;-0.01626534834088959;-0.011141380805001218;-0.007209700509972158;-0.01833418924353514;-0.006537219240649238;-0.005248686647803098;-0.006638198413894048;-0.01802729388546514;-0.010490164229659319;-0.01715892589988907;-0.01799267515314105;-0.012026905640092634;-0.0019041312069292906;-0.012866735844693722;-0.01753197487003972;-0.020982699903172797;-0.020986712631555323;-0.011000952817584465;-0.005081416850315762;-0.007326963730082967;-0.009501640255098372;-0.004540583078235251;-0.012611380309216777;-0.010508709076968534;-0.031594836741649986;-0.006613429963364481;-0.011002098253346719;-0.014260893379596747;-0.01112387838490231;-0.013647065175630012;-0.006401196810039249;-0.016184574135946626;-0.01727286426491274;-0.01030293913758294;-0.012810904342975318;-0.018940301643911316;-0.01920471753461392;-0.003913910339190184;-0.01098192902560512;-0.014614585936940505;-0.006210511212744627;-0.013088015372165135;-0.010246458682871468;-0.010933198648083356;-0.012632615281982439;-0.023702864973634018;-0.017543145141229267;-0.01787240400874192;-0.003543898362265758;-0.005132382562637855;-0.00822086444643404;-0.012476040775081167;-0.01989757451861075;-0.0242807016779993;-0.014455642082433287;-0.0016696113260309922;-0.03869106449892963;-0.01098339092882226;-0.0045352762225367264;-0.008896066882605334;-0.003032386290468892;-0.008394958508023182;-0.014913869440218212;-0.017578661210146954;-0.006760505467145712;-0.012223080994573098;-0.021206790106878152;-0.01372193461133967;-0.01144212933906771;-0.009633648058853585;-0.01623607906066414;-0.01969313447628146;-0.006707539474527062;-0.008415458106485635;-0.0068991818346348655;-0.013821332570300196;-0.01235572997969929;-0.003658048237612923;-0.009614326488804345;-0.020157959641170568;-0.012623702016295878;0.0065026915787191044;1
algorithm:auto_metric:minkowski_n_neighbors:1;0.0004334592819213867;8.891595044753437e-05;0.0007589459419250488;0.00016513234772210783;auto;minkowski;1;;-0.009313342849832157;-0.0166907317502333;-0.013332307956284359;-0.02340128004626177;-0.005602544122581304;-0.011633806617388671;-0.00605216967265547;-0.008659139391676441;-0.027244482785273326;-0.013571857866682371;-0.005188608553980564;-0.01966565112347878;-0.004124059086996105;-0.003935814112104274;-0.023579456545328576;-0.024595926708791377;-0.021167871669733794;-0.011724009964856025;-0.005107199847247153;-0.01994135023518544;-0.015684819589605246;-0.015248523598458283;-0.007237921664033566;-0.019758921464808878;-0.004633771269154603;-0.009768232718154348;-0.004190828402720186;-0.0250590839064945;-0.013066254118780422;-0.02246745122591864;-0.018575725734929386;-0.01616415561678047;-0.0021903937973001583;-0.013381213170986525;-0.02428591753760306;-0.01749536278576697;-0.013779046181481125;-0.0034245857459259386;-0.006098435450314521;-0.006270587181138901;-0.014306851974364805;-0.005431553581213479;-0.012474819853751295;-0.010826428949658495;-0.023009744002663857;-0.0058869853898243915;-0.01049443628917482;-0.016520104102676746;-0.014877463497433052;-0.008578580502549176;-0.006542776521373365;-0.01512520714097944;-0.011687973755805619;-0.013442814074765275;-0.02087472782572375;-0.006128816665532493;-0.02751561044299624;-0.004572425237560169;-0.017460588334211144;-0.023543736065683902;-0.0022910080518145155;-0.01914678091277731;-0.005768989884664791;-0.009524073093116427;-0.01980800291173401;-0.029132920635775442;-0.00983263266033465;-0.028503251062927303;-0.0040167860022129916;-0.00458229764697579;-0.007811209234211931;-0.010498009206292366;-0.00947444388639689;-0.0242856680628452;-0.015530901907524632;-0.0023665239195370833;-0.0498743112644121;-0.017568460464951086;-0.007762410391726584;-0.007398240722205611;-0.007835323166020815;-0.00792409656213972;-0.006510667493028591;-0.012158307567694237;-0.012112273373585801;-0.014494262488024424;-0.03257073679681318;-0.011236604358310198;-0.008195862644160242;-0.013995927227278203;-0.019218827595835517;-0.012359638442724133;-0.011504208479826514;-0.008171879230329231;-0.0110608620066208;-0.02434652913248787;-0.002224619706210727;-0.00746148229036282;-0.007192065821976144;-0.01522716862992573;-0.013335927512106605;0.008057853880556236;2
algorithm:auto_metric:minkowski_n_neighbors:3;0.0003287363052368164;5.58812907709975e-05;0.0006478381156921387;8.496108107743749e-05;auto;minkowski;3;;-0.0040964626834113236;-0.011294419069729278;-0.01416798343222138;-0.015988573338832402;-0.01589753817081344;-0.010400864582887432;-0.008445447997771721;-0.012662468722306943;-0.02563268254512928;-0.018887858493970344;-0.017500194289675964;-0.0179041723113425;-0.007776414167190803;-0.0035674220527008613;-0.017398452373100358;-0.02499106965199313;-0.006049116519768613;-0.017703928534490865;-0.010870218862478735;-0.021737927386385584;-0.017181438650066612;-0.012188801397630932;-0.016680671484779225;-0.01879479313838794;-0.010931722615462979;-0.0073125082139172985;-0.009380846902515888;-0.02024035714511529;-0.011633777337509404;-0.013621135843753858;-0.020295223305410982;-0.00777068594654338;-0.0027376119934631855;-0.012355119764886985;-0.022753021855460787;-0.020853411730530316;-0.017821184990723198;-0.013243444827852113;-0.004391853945876904;-0.011576971435253916;-0.011673718804297753;-0.00493259939237831;-0.010311447468926751;-0.014019270790885982;-0.035194555313672216;-0.004196827948388634;-0.014153781765660765;-0.01184449489798116;-0.010525307298640763;-0.014978155735210089;-0.007040202933420006;-0.011660255383770685;-0.018626561769764075;-0.010690184408929776;-0.011934920550985209;-0.021422051647277503;-0.020224668943045688;-0.0030356711231907347;-0.012399565029058424;-0.01793112678731971;-0.010533436315202127;-0.015230195064621458;-0.007123749818297018;-0.012209266065107818;-0.009882221604469213;-0.03355916311289247;-0.018286909693973917;-0.018635702632311037;-0.0032178482809035115;-0.007106731322603967;-0.015741614271784592;-0.009654191645581995;-0.019382834064240472;-0.0179104185205273;-0.013755944296610511;-0.0030419405448987445;-0.03473063069053262;-0.008741961464874479;-0.006615783432302952;-0.010507074274834242;-0.004707175085856589;-0.0049170560694600475;-0.017077022303827235;-0.015779760272906455;-0.008723927447622017;-0.019305502695843288;-0.026454644079622266;-0.013855865388968559;-0.011476639208259138;-0.01608479589637976;-0.014355370696023032;-0.024388608229581426;-0.006301075487365959;-0.008487249226306325;-0.00789745869601344;-0.010131297656227129;-0.015044444139999726;-0.006368650954753606;-0.014363371282077781;-0.019015138138577803;-0.013621358357763885;0.0066846747882233475;3
algorithm:auto_metric:minkowski_n_neighbors:4;0.0003120899200439453;3.199220216722416e-05;0.0006471776962280274;0.00028480455686411254;auto;minkowski;4;;-0.0052399807452464114;-0.012776517638902979;-0.018827438223735535;-0.013017782116376301;-0.01744220367149309;-0.009304020954926318;-0.009473447982809852;-0.01758804511886559;-0.0232244919638258;-0.0167560809002445;-0.01740190724936752;-0.021144072344708966;-0.009210110159442394;-0.004480191774513394;-0.015054438311017859;-0.023690813836077712;-0.005678307576316158;-0.019651225926474045;-0.017344191309677164;-0.01870292367301668;-0.020617703658330263;-0.015415557898951321;-0.01586146053764145;-0.014640061833068244;-0.008900275663544103;-0.00752590454379226;-0.009419575361959764;-0.02018238687778765;-0.013413780425865551;-0.01410703984766287;-0.01896548529114801;-0.008540863655756879;-0.0037542762220124405;-0.01292556589233299;-0.017662041200968096;-0.02223552958276914;-0.0208409824369117;-0.014971385257913236;-0.007961033768849374;-0.014320165487207628;-0.011932542329849727;-0.0068130506439802235;-0.009494963093710902;-0.01492221185747795;-0.04270415661507377;-0.0034106833865881563;-0.01167052905002956;-0.018387407263429835;-0.00938054793641481;-0.019375383742290645;-0.008274981549820403;-0.014111198343182576;-0.013898307617988888;-0.010392605114388121;-0.012583393651258941;-0.02919007864111574;-0.021582266254793595;-0.003187022018319529;-0.010818107193279816;-0.019284062558090363;-0.015653391837504773;-0.012431563688181635;-0.009628658643425906;-0.01685466437614368;-0.00970671485477811;-0.02641562216822402;-0.019757085039969514;-0.018161622686944066;-0.004163945306994111;-0.007011054921225072;-0.018786567580882166;-0.010782087619736223;-0.018418177374838186;-0.026768391952879795;-0.018540167545187582;-0.002530663818030741;-0.03051134570236273;-0.008032206823374183;-0.008478105405078332;-0.008861488887115848;-0.005382244339429295;-0.007440348455235803;-0.01605877971111738;-0.01654931052485727;-0.009322529506959441;-0.022080867197314478;-0.026960663482417213;-0.013872911293742192;-0.008750654676316574;-0.010954105805004345;-0.013365061202347246;-0.02420225668938758;-0.007466064889507588;-0.016814647491162203;-0.009241565269026161;-0.008758495048395423;-0.013749652721834822;-0.005894226375217659;-0.012991538651204277;-0.01949718598702467;-0.014305294013329735;0.00678058598897261;4
algorithm:auto_metric:minkowski_n_neighbors:5;0.00031898736953735353;3.485265802157466e-05;0.0006112098693847656;3.962166744337619e-05;auto;minkowski;5;;-0.007992638420965809;-0.013312680068724428;-0.018264460647115534;-0.012686594122865021;-0.018492660159653878;-0.010222694679071772;-0.013338246100429982;-0.015177340395734193;-0.020867442931759166;-0.017982458699158686;-0.019927535297037526;-0.02499213667494653;-0.009692380099594416;-0.00500538330733239;-0.01606979787789192;-0.023683160647810012;-0.006275028601852068;-0.01942556640050753;-0.017606695740135583;-0.022263425510453693;-0.022677837581642563;-0.016288582081823523;-0.015475971757021674;-0.015253277981010796;-0.010628007556637271;-0.01072486318502434;-0.010561388780867398;-0.021664675098120617;-0.013416649212999959;-0.015252475573842302;-0.017793860472112632;-0.008042820991984428;-0.004581984905183548;-0.016202606417122536;-0.019505543022482443;-0.02236593326649589;-0.02558367181837161;-0.016276572553025524;-0.007817571642063228;-0.016256078799464262;-0.010363832401058853;-0.00884989843523581;-0.010862217908567924;-0.01613156017882293;-0.04566293316042155;-0.00420855091068841;-0.011969442269949905;-0.022440859724495322;-0.0068161217505039165;-0.01922169309421824;-0.011076199994579108;-0.014851304531807922;-0.016430682178249573;-0.012716961610227473;-0.013377948539966586;-0.030474537396808162;-0.019620303968705562;-0.003967038377135655;-0.009104468403338005;-0.018738439310918384;-0.01769210178794084;-0.01232996003718305;-0.010365709786470194;-0.021483269408257625;-0.009698180482080999;-0.031465161875944926;-0.02154463777534129;-0.019158088779387974;-0.0056483450601962915;-0.007466693970663097;-0.020899079971216854;-0.010232338484250156;-0.02167699856614254;-0.028076855106398905;-0.02044304639628958;-0.003020956113128283;-0.02697641588119589;-0.007150052312042703;-0.007744595027084142;-0.011250507913853507;-0.0078796700983462;-0.009319023879255893;-0.017610142785070598;-0.01662343856029586;-0.010088137241994423;-0.022936347091948223;-0.030180992627385297;-0.013404561935181462;-0.009774482436041019;-0.014666676093209511;-0.013399616973768175;-0.025059102987870827;-0.00731832125334145;-0.012946050789885208;-0.012743546591682225;-0.009392530088069811;-0.01890288218231038;-0.005621499980744855;-0.01570769690045853;-0.020735571859388825;-0.015351669803173535;0.007080285249602861;5
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}_n_neighbors:1";0.0006190013885498047;0.0001892548421885555;0.006776783466339111;0.013688693250059414;brute;mahalanobis;1;"{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}_n_neighbors:2";0.0005066156387329102;0.000161191595818907;0.02363192558288574;0.021126814270842717;brute;mahalanobis;2;"{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}_n_neighbors:3";0.00043833494186401367;9.977546922370666e-05;0.022890563011169433;0.021166690152787757;brute;mahalanobis;3;"{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}_n_neighbors:4";0.00042026519775390626;8.609015981339212e-05;0.020735628604888916;0.019540868340107525;brute;mahalanobis;4;"{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
"algorithm:brute_metric:mahalanobis_metric_params:{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}_n_neighbors:5";0.0004061579704284668;6.910797146085673e-05;0.018559036254882814;0.01936065859469019;brute;mahalanobis;5;"{'V': array([[0.00541056, 0.00589145, 0.00598694, ..., 0.00619068, 0.00575691,
        0.00546297],
       [0.00589145, 0.00650945, 0.00665012, ..., 0.00669716, 0.00623728,
        0.00592251],
       [0.00598694, 0.00665012, 0.0068098 , ..., 0.00675872, 0.00629241,
        0.00598749],
       ...,
       [0.00619068, 0.00669716, 0.00675872, ..., 0.01081358, 0.0094081 ,
        0.00913897],
       [0.00575691, 0.00623728, 0.00629241, ..., 0.0094081 , 0.00833709,
        0.00797461],
       [0.00546297, 0.00592251, 0.00598749, ..., 0.00913897, 0.00797461,
        0.00779538]]), 'VI': array([[ 1215.97017944,   900.32190664,  1143.6077472 , ...,
         -676.74528401,  -326.31785072,  -398.68071364],
       [  900.32190648,   938.85953524,   954.99462968, ...,
         -448.64617262,  -175.05123924,  -158.44898328],
       [ 1143.60774717,   954.99463008,  2452.0546915 , ...,
        -1556.23266686,   439.41695914,  1203.12443936],
       ...,
       [ -676.74528395,  -448.64617286, -1556.23266678, ...,
         1804.06288673,   200.24093268,   -47.82947197],
       [ -326.31785073,  -175.05123917,   439.41695913, ...,
          200.24093268,   923.56740354,  1550.14981558],
       [ -398.6807137 ,  -158.44898308,  1203.12443928, ...,
          -47.82947195,  1550.14981558,  2850.06764514]])}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
