model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:5e-05_max_iter:100;0.001002185344696045;0.0002507987021973801;0.0003486347198486328;7.36464461451697e-05;5e-05;100;-0.006667117369791043;-0.0150495525181149;-0.022315262742045146;-0.015066314175271768;-0.01374122808943287;-0.011639703589253727;-0.012995126266056338;-0.02222813101391986;-0.021685268926971916;-0.01962295936743795;-0.013511722509673208;-0.019076341690624273;-0.013711996862992668;-0.008377271603585744;-0.013906982846450902;-0.01942879608765642;-0.009268996009664297;-0.009310432313972225;-0.026367284115011543;-0.026961319125600645;-0.01014193521216329;-0.010965889384621714;-0.01889123475603582;-0.02273986369287392;-0.01416057572280261;-0.007041936379664324;-0.017202867136143173;-0.021948537334790953;-0.01364427670640413;-0.01815919117955292;-0.02207250536119305;-0.012377126441917116;-0.0034834762526439063;-0.01938579806728031;-0.0160284438404677;-0.02697117246405174;-0.013453605715284355;-0.011807805937492248;-0.014260029949009179;-0.020904925267677076;-0.014870254988208395;-0.01040120892468141;-0.013480988983022635;-0.01621908470609011;-0.05746785813456956;-0.004483703072873855;-0.009892594809613364;-0.01630398076322006;-0.009923094179253298;-0.015108792116553237;-0.008281584234311912;-0.021905976725588156;-0.017540866134145863;-0.011943075970576028;-0.01260601355192384;-0.015435188198955797;-0.029088139014268804;-0.008330906682793002;-0.01095025774065573;-0.02131673738586802;-0.021810450834541358;-0.016209599672667722;-0.01240205299463018;-0.016820689188555237;-0.01599844474264602;-0.031075807525697472;-0.012005330991542836;-0.01923688666548628;-0.003922150471583328;-0.009197377547307756;-0.023090187049419907;-0.0114699343812878;-0.016130546392868646;-0.031660058649394814;-0.012954320433015932;-0.007489221358371564;-0.025048364788560193;-0.0138440946146179;-0.0079181272147059;-0.010518109652941122;-0.011519647912942445;-0.010595470414032646;-0.015430387345921564;-0.007376994989177592;-0.008420224456161774;-0.025549969151443645;-0.03419788146853709;-0.010602373940374965;-0.014213154086577562;-0.025410569329021145;-0.01616959676071981;-0.022634812784087004;-0.009259879294792559;-0.02091792906315869;-0.017311227075132173;-0.0077641592382510505;-0.011018214161523513;-0.006251521527768848;-0.017083408833037335;-0.026413423233859378;-0.015990659105791328;0.0076670319545928765;1
alpha:5e-05_max_iter:100000;0.0018376398086547851;0.000446861720300045;0.0003304171562194824;7.897504251525226e-05;5e-05;100000;-0.006578998488563549;-0.015669024348622912;-0.02221107857886906;-0.015039414702874378;-0.013816069566561668;-0.011475974860776185;-0.012985359769670956;-0.022015519478657458;-0.021422643165205757;-0.020365231071028417;-0.013931924822035374;-0.019861543186692147;-0.013717263846330319;-0.008270399779966898;-0.01382508026416339;-0.019313584565753817;-0.009206504944734423;-0.009758569385612398;-0.026251136368513554;-0.026828530053179544;-0.010070784118422693;-0.010856174822973854;-0.018747846049102537;-0.022721298609612594;-0.014559858120387674;-0.006950168233012924;-0.01769009503939558;-0.021972112154118227;-0.013717555846790278;-0.018475299201955047;-0.022135608006257034;-0.012200887256563467;-0.00334389862113087;-0.019614269007801072;-0.016291555091317984;-0.026994802119932673;-0.014005184542676402;-0.012014988132212842;-0.014522120103492835;-0.020791690524467322;-0.015253117588948512;-0.010531026241027539;-0.013423772481395915;-0.016348790745272224;-0.057392267925008816;-0.00434551424664815;-0.010147308253471468;-0.016419458137078458;-0.009867075051012617;-0.015594159174828908;-0.008318987217666711;-0.02183205377043541;-0.01847346909209539;-0.011700576243484993;-0.012343007716190943;-0.01581748679822445;-0.029128288738498587;-0.008301936035572366;-0.011054130346428217;-0.021267114885496423;-0.02179287743797544;-0.016205644246195614;-0.012374809891809177;-0.017104368691286703;-0.016156548760267262;-0.031168592910050745;-0.01222509431236293;-0.01913234774859279;-0.003911899564264944;-0.00926227131692522;-0.022701778071732116;-0.01171996748731751;-0.016235424138890262;-0.032602770190158475;-0.013009226242813213;-0.007429353505627838;-0.02514938543765655;-0.013795413845992475;-0.007872190763167326;-0.010573082321824275;-0.012124072762006268;-0.010558632690363485;-0.01561297062661037;-0.007653332883424975;-0.008527109075892303;-0.02571543888335389;-0.03405117386295615;-0.010701843404896954;-0.014084008049070205;-0.025356165422364272;-0.01611449528774744;-0.02254980370230987;-0.009371094807611662;-0.020819257922678108;-0.01797025714461323;-0.0076089470699009475;-0.011177427272898135;-0.0060756923365769605;-0.01780762851727247;-0.026340045560080343;-0.016084220317057616;0.007675940803532389;2
alpha:5e-05_max_iter:10000;0.0018018078804016113;0.0004425280741344151;0.0003218555450439453;7.029617192885751e-05;5e-05;10000;-0.006578998488563549;-0.015669024348622912;-0.02221107857886906;-0.015039414702874378;-0.013816069566561668;-0.011475974860776185;-0.012985359769670956;-0.022015519478657458;-0.021422643165205757;-0.020365231071028417;-0.013931924822035374;-0.019861543186692147;-0.013717263846330319;-0.008270399779966898;-0.01382508026416339;-0.019313584565753817;-0.009206504944734423;-0.009758569385612398;-0.026251136368513554;-0.026828530053179544;-0.010070784118422693;-0.010856174822973854;-0.018747846049102537;-0.022721298609612594;-0.014559858120387674;-0.006950168233012924;-0.01769009503939558;-0.021972112154118227;-0.013717555846790278;-0.018475299201955047;-0.022135608006257034;-0.012200887256563467;-0.00334389862113087;-0.019614269007801072;-0.016291555091317984;-0.026994802119932673;-0.014005184542676402;-0.012014988132212842;-0.014522120103492835;-0.020791690524467322;-0.015253117588948512;-0.010531026241027539;-0.013423772481395915;-0.016348790745272224;-0.057392267925008816;-0.00434551424664815;-0.010147308253471468;-0.016419458137078458;-0.009867075051012617;-0.015594159174828908;-0.008318987217666711;-0.02183205377043541;-0.01847346909209539;-0.011700576243484993;-0.012343007716190943;-0.01581748679822445;-0.029128288738498587;-0.008301936035572366;-0.011054130346428217;-0.021267114885496423;-0.02179287743797544;-0.016205644246195614;-0.012374809891809177;-0.017104368691286703;-0.016156548760267262;-0.031168592910050745;-0.01222509431236293;-0.01913234774859279;-0.003911899564264944;-0.00926227131692522;-0.022701778071732116;-0.01171996748731751;-0.016235424138890262;-0.032602770190158475;-0.013009226242813213;-0.007429353505627838;-0.02514938543765655;-0.013795413845992475;-0.007872190763167326;-0.010573082321824275;-0.012124072762006268;-0.010558632690363485;-0.01561297062661037;-0.007653332883424975;-0.008527109075892303;-0.02571543888335389;-0.03405117386295615;-0.010701843404896954;-0.014084008049070205;-0.025356165422364272;-0.01611449528774744;-0.02254980370230987;-0.009371094807611662;-0.020819257922678108;-0.01797025714461323;-0.0076089470699009475;-0.011177427272898135;-0.0060756923365769605;-0.01780762851727247;-0.026340045560080343;-0.016084220317057616;0.007675940803532389;2
alpha:5e-05_max_iter:1000;0.0018023061752319336;0.0004887694138633347;0.0003237795829772949;7.909442452604126e-05;5e-05;1000;-0.006578998488563549;-0.015669024348622912;-0.02221107857886906;-0.015039414702874378;-0.013816069566561668;-0.011475974860776185;-0.012985359769670956;-0.022015519478657458;-0.021422643165205757;-0.020365231071028417;-0.013931924822035374;-0.019861543186692147;-0.013717263846330319;-0.008270399779966898;-0.01382508026416339;-0.019313584565753817;-0.009206504944734423;-0.009758569385612398;-0.026251136368513554;-0.026828530053179544;-0.010070784118422693;-0.010856174822973854;-0.018747846049102537;-0.022721298609612594;-0.014559858120387674;-0.006950168233012924;-0.01769009503939558;-0.021972112154118227;-0.013717555846790278;-0.018475299201955047;-0.022135608006257034;-0.012200887256563467;-0.00334389862113087;-0.019614269007801072;-0.016291555091317984;-0.026994802119932673;-0.014005184542676402;-0.012014988132212842;-0.014522120103492835;-0.020791690524467322;-0.015253117588948512;-0.010531026241027539;-0.013423772481395915;-0.016348790745272224;-0.057392267925008816;-0.00434551424664815;-0.010147308253471468;-0.016419458137078458;-0.009867075051012617;-0.015594159174828908;-0.008318987217666711;-0.02183205377043541;-0.01847346909209539;-0.011700576243484993;-0.012343007716190943;-0.01581748679822445;-0.029128288738498587;-0.008301936035572366;-0.011054130346428217;-0.021267114885496423;-0.02179287743797544;-0.016205644246195614;-0.012374809891809177;-0.017104368691286703;-0.016156548760267262;-0.031168592910050745;-0.01222509431236293;-0.01913234774859279;-0.003913733407504469;-0.00926227131692522;-0.022701778071732116;-0.01171996748731751;-0.016235424138890262;-0.032602770190158475;-0.013009226242813213;-0.007429353505627838;-0.02514938543765655;-0.013797722072898507;-0.007872190763167326;-0.010573082321824275;-0.012124072762006268;-0.010558632690363485;-0.01561297062661037;-0.007653332883424975;-0.008527109075892303;-0.02571543888335389;-0.03405117386295615;-0.010701843404896954;-0.014084008049070205;-0.025356165422364272;-0.01611449528774744;-0.02254980370230987;-0.009371094807611662;-0.020819257922678108;-0.01797025714461323;-0.0076089470699009475;-0.011177427272898135;-0.0060756923365769605;-0.01780762851727247;-0.026340045560080343;-0.01608426173775907;0.007675904845701949;4
alpha:0.0001_max_iter:100;0.0010673356056213378;0.0002267963920210933;0.0003843975067138672;7.180411684036572e-05;0.0001;100;-0.006471121991544512;-0.014992804964467575;-0.02446024358821189;-0.015347219407792101;-0.013875995754827558;-0.011844002095186946;-0.014098915861892363;-0.023002652605872014;-0.02323566250308176;-0.01981057286772938;-0.013877300228424492;-0.019380732313944143;-0.01367596930799881;-0.007457618554355801;-0.01491559949759839;-0.02077702519401574;-0.009667414149895722;-0.010020986787247827;-0.027917443819553266;-0.029023347513649902;-0.010372864258921281;-0.011563836213151405;-0.019266469077677033;-0.024360759304856053;-0.015336369678698336;-0.007190651759513467;-0.01698087378301177;-0.021961357599082864;-0.013364382258608953;-0.01930008910587458;-0.02337000390988132;-0.013908324819778287;-0.0031716266192384894;-0.02105701153841694;-0.016119331095329485;-0.02813441961172537;-0.01423123700858055;-0.011774990963508128;-0.012951747874203884;-0.02148088817258062;-0.014256601438052116;-0.010588103189346767;-0.0142484161203991;-0.017015984121256763;-0.061270254446570395;-0.004838397214199371;-0.00983287291957244;-0.01686562199250857;-0.010750696819170685;-0.013564681424968677;-0.00850213765797045;-0.02327402067225833;-0.018432229888967377;-0.012236022152161394;-0.012810057867901384;-0.015066855112199932;-0.03026020071864953;-0.009187148795732611;-0.010433579873428064;-0.022236141006644772;-0.02345141541935856;-0.017858182322597043;-0.01073822496274103;-0.017722688202140627;-0.016234553624769516;-0.032869004331171105;-0.011952627590614938;-0.019480263817806483;-0.003618181758593627;-0.009673554335589127;-0.022790346633054927;-0.011419448499833304;-0.01695398604603444;-0.0329262648569163;-0.012823967412141965;-0.00850379189343085;-0.028190974062589625;-0.014217008797922568;-0.008172098092820717;-0.011235879822267389;-0.011786803213444984;-0.009458358223703939;-0.01418519496758793;-0.0075746898407921676;-0.008696330550792395;-0.026173365590732925;-0.03693922088821497;-0.010336039073700684;-0.015483101555339392;-0.027032082168099686;-0.01690369201326951;-0.023610769843323238;-0.010440901088771028;-0.021906239146807772;-0.016452767686884844;-0.00806237250276688;-0.011437503173181054;-0.00607908234431197;-0.01788298779914793;-0.027315585155372295;-0.016540094364005276;0.008258561824339372;5
alpha:0.0001_max_iter:100000;0.0017752957344055176;0.0003972865250922105;0.00041907548904418946;9.130826396534158e-05;0.0001;100000;-0.0065330183547856495;-0.015768488790896176;-0.02444144602894986;-0.015313196798592499;-0.013950771275872091;-0.011714614905720904;-0.014187051614409536;-0.02286995041154008;-0.02312437638685403;-0.020650142988527995;-0.01434620544160393;-0.020085130054564446;-0.013783066068809363;-0.007386779951951034;-0.01485397590947065;-0.020686982731766505;-0.00955814354043371;-0.010602521239596005;-0.027858011305656055;-0.028835908204398644;-0.010380426632205139;-0.011516459824046837;-0.01914587900131251;-0.024380264823912635;-0.015842877851361476;-0.007210818662421571;-0.017416399646878272;-0.02186026840314024;-0.013443357747112954;-0.019495002514166873;-0.023438267141297518;-0.013813576446890408;-0.003154795394585627;-0.02107805579837893;-0.016535791749994328;-0.028012415942245402;-0.01484591158341213;-0.01193665554736036;-0.013285668439075112;-0.021438123020473928;-0.014622857008397355;-0.010719840566519187;-0.014230558139534312;-0.017160124677423134;-0.06123075681707039;-0.004828029157158814;-0.010215297035293109;-0.01718078957437681;-0.01076559586433047;-0.013892419614330354;-0.00847791297892756;-0.02324937268541563;-0.019343922367745934;-0.01210904655421569;-0.012717086505207864;-0.015333118670330268;-0.030326170707177757;-0.009248982039022304;-0.01055083927034764;-0.022271159086770635;-0.023338555981665354;-0.017944057712761377;-0.010767681554548625;-0.018001225749356347;-0.01638422107168375;-0.03315391383674522;-0.012071476146261141;-0.019354041271521533;-0.0035463943620782155;-0.009772962113947193;-0.022496933505771772;-0.011691038622557584;-0.01700648307887245;-0.03374524360438209;-0.012937687531784902;-0.008485522714281223;-0.028437002935360955;-0.014238108775101932;-0.008171176020113694;-0.011288204805985544;-0.012562401243533569;-0.00946635568095274;-0.014367038389976447;-0.007743498569606982;-0.00874529016324246;-0.026484867089780973;-0.036860345504088406;-0.010474207646706136;-0.015417794279140348;-0.026910802640823902;-0.016848940079259873;-0.023587907624383453;-0.010631446210958418;-0.021844406619353548;-0.016845456074063982;-0.008137109369050835;-0.011507566126820929;-0.0060332966675121155;-0.018727226266736837;-0.027228954141199423;-0.016665115192762387;0.008252614957346069;6
alpha:0.0001_max_iter:10000;0.0015847182273864746;0.0004395131088096276;0.0003716921806335449;8.562283046723925e-05;0.0001;10000;-0.0065330183547856495;-0.015768488790896176;-0.02444144602894986;-0.015313196798592499;-0.013950771275872091;-0.011714614905720904;-0.014187051614409536;-0.02286995041154008;-0.02312437638685403;-0.020650142988527995;-0.01434620544160393;-0.020085130054564446;-0.013783066068809363;-0.007386779951951034;-0.01485397590947065;-0.020686982731766505;-0.00955814354043371;-0.010602521239596005;-0.027858011305656055;-0.028835908204398644;-0.010380426632205139;-0.011516459824046837;-0.01914587900131251;-0.024380264823912635;-0.015842877851361476;-0.007210818662421571;-0.017416399646878272;-0.02186026840314024;-0.013443357747112954;-0.019495002514166873;-0.023438267141297518;-0.013813576446890408;-0.003154795394585627;-0.02107805579837893;-0.016535791749994328;-0.028012415942245402;-0.01484591158341213;-0.01193665554736036;-0.013285668439075112;-0.021438123020473928;-0.014622857008397355;-0.010719840566519187;-0.014230558139534312;-0.017160124677423134;-0.06123075681707039;-0.004828029157158814;-0.010215297035293109;-0.01718078957437681;-0.01076559586433047;-0.013892419614330354;-0.00847791297892756;-0.02324937268541563;-0.019343922367745934;-0.01210904655421569;-0.012717086505207864;-0.015333118670330268;-0.030326170707177757;-0.009248982039022304;-0.01055083927034764;-0.022271159086770635;-0.023338555981665354;-0.017944057712761377;-0.010767681554548625;-0.018001225749356347;-0.01638422107168375;-0.03315391383674522;-0.012071476146261141;-0.019354041271521533;-0.0035463943620782155;-0.009772962113947193;-0.022496933505771772;-0.011691038622557584;-0.01700648307887245;-0.03374524360438209;-0.012937687531784902;-0.008485522714281223;-0.028437002935360955;-0.014238108775101932;-0.008171176020113694;-0.011288204805985544;-0.012562401243533569;-0.00946635568095274;-0.014367038389976447;-0.007743498569606982;-0.00874529016324246;-0.026484867089780973;-0.036860345504088406;-0.010474207646706136;-0.015417794279140348;-0.026910802640823902;-0.016848940079259873;-0.023587907624383453;-0.010631446210958418;-0.021844406619353548;-0.016845456074063982;-0.008137109369050835;-0.011507566126820929;-0.0060332966675121155;-0.018727226266736837;-0.027228954141199423;-0.016665115192762387;0.008252614957346069;6
alpha:0.0001_max_iter:1000;0.0017480206489562987;0.0004307419647718974;0.0004111623764038086;0.00010189036279060072;0.0001;1000;-0.0065330183547856495;-0.015768488790896176;-0.02444144602894986;-0.015313196798592499;-0.013950771275872091;-0.011714614905720904;-0.014187051614409536;-0.02286995041154008;-0.02312437638685403;-0.020650142988527995;-0.01434620544160393;-0.020085130054564446;-0.013783066068809363;-0.007386779951951034;-0.01485397590947065;-0.020686982731766505;-0.00955814354043371;-0.010602521239596005;-0.027858011305656055;-0.028835908204398644;-0.010380426632205139;-0.011516459824046837;-0.01914587900131251;-0.024380264823912635;-0.015842877851361476;-0.007210818662421571;-0.017416399646878272;-0.02186026840314024;-0.013443357747112954;-0.019495002514166873;-0.023438267141297518;-0.013813576446890408;-0.003154795394585627;-0.02107805579837893;-0.016535791749994328;-0.028012415942245402;-0.01484591158341213;-0.01193665554736036;-0.013285668439075112;-0.021438123020473928;-0.014622857008397355;-0.010719840566519187;-0.014230558139534312;-0.017160124677423134;-0.06123075681707039;-0.004828029157158814;-0.010215297035293109;-0.01718078957437681;-0.01076559586433047;-0.013892419614330354;-0.00847791297892756;-0.02324937268541563;-0.019343922367745934;-0.01210904655421569;-0.012717086505207864;-0.015333118670330268;-0.030326170707177757;-0.009248982039022304;-0.01055083927034764;-0.022271159086770635;-0.023338555981665354;-0.017944057712761377;-0.010767681554548625;-0.018001225749356347;-0.01638422107168375;-0.03315391383674522;-0.012071476146261141;-0.019354041271521533;-0.0035463943620782155;-0.009772962113947193;-0.022496933505771772;-0.011691038622557584;-0.01700648307887245;-0.03374524360438209;-0.012937687531784902;-0.008485522714281223;-0.028437002935360955;-0.014238108775101932;-0.008171176020113694;-0.011288204805985544;-0.012562401243533569;-0.00946635568095274;-0.014367038389976447;-0.007743498569606982;-0.00874529016324246;-0.026484867089780973;-0.036860345504088406;-0.010474207646706136;-0.015417794279140348;-0.026910802640823902;-0.016848940079259873;-0.023587907624383453;-0.010631446210958418;-0.021844406619353548;-0.016845456074063982;-0.008137109369050835;-0.011507566126820929;-0.0060332966675121155;-0.018727226266736837;-0.027228954141199423;-0.016665115192762387;0.008252614957346069;6
alpha:0.00025_max_iter:100;0.0009819197654724122;0.00020984071095917183;0.0003691005706787109;8.212274767038518e-05;0.00025;100;-0.008563679643898092;-0.015101577554201997;-0.028906187683784886;-0.016383993421498443;-0.015969866191967753;-0.012869670334921363;-0.016696122623231256;-0.025168231431024632;-0.02451404603149005;-0.020560201240424784;-0.017530828403137452;-0.020901308359112122;-0.014611035961293201;-0.007043071581041283;-0.016346732608625427;-0.023379155526048682;-0.010500228293787545;-0.012678274317141858;-0.030743935188015548;-0.033036671889146656;-0.015495482644977937;-0.01378916376100537;-0.020980738268756512;-0.027149255928673333;-0.018204555237793366;-0.007481353516148358;-0.017641069236991328;-0.023406377895157763;-0.0131467315153874;-0.022427055244294617;-0.02651853154643241;-0.017071087500339685;-0.003804888669498624;-0.024502924571626273;-0.01658502303780628;-0.03185472004850802;-0.014387715433864455;-0.01408512155581138;-0.011881929895698603;-0.02325796489069223;-0.013989280030391798;-0.012096772843040208;-0.016149753189321884;-0.019827694447515965;-0.06511454037229593;-0.008311817557874634;-0.010046327640854977;-0.01898070781440365;-0.012869824530700291;-0.013260904240961791;-0.010170706650959828;-0.026833734053431407;-0.019596396355773475;-0.016861842336112296;-0.014489559331324486;-0.01539709627236378;-0.03243659555259249;-0.011271134078125727;-0.01062135788704866;-0.023402238523026832;-0.027312173853349418;-0.020638168023098476;-0.010207293810178085;-0.0224719340231128;-0.01887487642215058;-0.03415750914267483;-0.013535693044874645;-0.021235307628138668;-0.004345200388814295;-0.010886282893361353;-0.025517334961041294;-0.01126100778893028;-0.018549983775499112;-0.03532465358966245;-0.013159318090283737;-0.0107867421201797;-0.03192955951204559;-0.01603886823900647;-0.009597702854665758;-0.01263307883587542;-0.014726480354293614;-0.009739755293970155;-0.013230197672581717;-0.0086241594386162;-0.011005522290208215;-0.027993908845612755;-0.04183245568350821;-0.009538678466435725;-0.01781144610573355;-0.03029526004845139;-0.018041786171234673;-0.026039564925322292;-0.013946512249106119;-0.02396497760706444;-0.01710056566812436;-0.011149699364450453;-0.012819442263739355;-0.006016009441733309;-0.018974975182351618;-0.029810701492687313;-0.018380295799535457;0.008918298190089614;9
alpha:0.00025_max_iter:100000;0.0017174077033996582;0.0008777072248791548;0.0003798699378967285;0.0001065505156109432;0.00025;100000;-0.008187912663295084;-0.015696370067356382;-0.0287399346738796;-0.01633890275666436;-0.015843207763406707;-0.012883461962729024;-0.016746809700874978;-0.025021181903516432;-0.024322236878723355;-0.021121505592048295;-0.017683001997543548;-0.021309427858205932;-0.014620481876319124;-0.007000311729250063;-0.016247087355178085;-0.02326117858661325;-0.010394354858577638;-0.012820515741957812;-0.030688859814765313;-0.03281449864433625;-0.015513080312347943;-0.013588200725492902;-0.020886380859483886;-0.02706932305617862;-0.01866906583841575;-0.007436696872421169;-0.01798537487264641;-0.023244956215708264;-0.01311741650515976;-0.02255944367140283;-0.026286295353240424;-0.016956245152404778;-0.003754024174919721;-0.024422618809969824;-0.0169914025549785;-0.03173539280341187;-0.014705259633309108;-0.014148636205863317;-0.012007381664508252;-0.02314773766764597;-0.014186538553420067;-0.01204538357882811;-0.016091932909663462;-0.019824428498284887;-0.06501032944604762;-0.008257058554709776;-0.01035427819683454;-0.019252654913799905;-0.012879153898663218;-0.013256420986607353;-0.01006190185223122;-0.026778263221723508;-0.02013439450375891;-0.016705334247863145;-0.014373911640083526;-0.015571268886027174;-0.03244410267064239;-0.011215597199242045;-0.010747074937438322;-0.023341860156806064;-0.027094682858696623;-0.02064780442253511;-0.01021391717271239;-0.02237955419949132;-0.018872123804537694;-0.034217801437748066;-0.013540396742325728;-0.021104533716832706;-0.004248246670225704;-0.010959567759247257;-0.025276139762239;-0.011374339431628624;-0.01851971133507317;-0.03592293386834688;-0.01324961716565957;-0.010719863483816568;-0.03175881048686034;-0.01599043342296536;-0.009502929616178424;-0.01258133959549273;-0.01502969199650194;-0.009635292181210123;-0.013349280744446563;-0.008634734775998644;-0.010964053960260359;-0.02822683489384952;-0.041667292688654683;-0.009543660327141944;-0.017716769844791657;-0.030148674968505654;-0.017947366544387715;-0.026016155776967365;-0.014109193316648514;-0.023847846566602823;-0.01707573153128897;-0.011202073322226266;-0.01279179184900979;-0.006004625422081757;-0.01954858524033525;-0.02970311765564478;-0.018398355847865932;0.008900226994783392;10
