model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;param_n_estimators;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
criterion:absolute_error_n_estimators:200;0.6009252572059631;0.13624699939535234;0.03665462017059326;0.011873587509079391;absolute_error;200;-0.039335042348158024;-0.008577166071042067;-0.006825482411795124;-0.040274152478243626;-0.13500391945683282;-0.07872078022325042;-0.014433335866302317;-0.025086336527612538;-0.02209927638144431;-0.10854860318891939;-0.12694610333413467;-0.013339076816624875;-0.01765540176201674;-0.11241199977415013;-0.0031449563260460313;-0.017223157599017404;-0.047748997489651106;-0.024025946228733268;-0.026240181178444684;-0.10053433357189182;-0.006946052878405423;-0.017029553012032066;-0.09841695269541506;-0.007246742026031784;-0.1310591306386777;-0.0209952255749536;-0.0034143585859813773;-0.03097240178908953;-0.10118310909165507;-0.04831968036646789;-0.050203379164711966;-0.0052999624467070065;-0.007711133298991239;-0.00748107221871375;-0.0031695164558187814;-0.027790254349204933;-0.02404884295919932;-0.09428032528395751;-0.17709764723568222;-0.08745661329954711;-0.1143800268814573;-0.023220945684285607;-0.015803250184067464;-0.003804176335440167;-0.03861990336150929;-0.1214270779855069;-0.01890838366451427;-0.1002908151884048;-0.00044359472549220175;-0.01402123072124684;-0.01680156492726094;-0.04197654831425205;-0.07219802420049064;-0.015146540358439741;-0.15776720257513446;-0.05448205750222748;-0.025398017195275367;-0.04824022431816267;-0.025651831324492756;-0.01925608427893669;-0.059301541428695335;-0.060567953979836796;-0.006577887107729836;-0.08627159460269278;-0.11375360115876156;-0.02764068775483866;-0.012127871590346367;-0.02579602090736643;-0.011865063347063266;-0.02157571504799661;-0.0342474927058778;-0.1041837287376726;-0.042704809193972286;-0.022930183938189946;-0.039806841332337854;-0.08429604070887921;-0.008778189942781916;-0.0015848237462614833;-0.021163598206008917;-0.006501143762344979;-0.015762656863438074;-0.0030033336707940977;-0.07379487127397594;-0.016025110646390162;-0.06756750536473986;-0.1158537181476416;-0.026589467477472317;-0.019301806293662214;-0.08268482561621741;-0.03277553513701439;-0.07374603291495124;-0.02906966142356481;-0.012295663985113786;-0.10915805758948603;-0.01506119600421193;-0.0063190417493577565;-0.02422203916348576;-0.04876626349198626;-0.037294820624375724;-0.059513618906688125;-0.04506613717676374;0.04087222876646265;1
criterion:absolute_error_n_estimators:500;1.3207481479644776;0.1782025621147007;0.07697772026062012;0.015190085842966132;absolute_error;500;-0.03537423387517583;-0.006394122851170181;-0.006423601276464502;-0.03991239582586046;-0.12501788517940615;-0.08138935505186068;-0.01621549092148964;-0.024170540921848404;-0.02094789949119248;-0.10681411429487812;-0.14140279550721838;-0.014275348640450916;-0.020090401819844228;-0.10689516703493983;-0.0025206625062694963;-0.017356236283906836;-0.04489486404987671;-0.02366830771959199;-0.02397290881877764;-0.09947533910972228;-0.005074061990512503;-0.01533810145360543;-0.10455913390184146;-0.010641597511263636;-0.1329360629417077;-0.01878036924320525;-0.00397772633938903;-0.027443648730646055;-0.1005921156083176;-0.04729836720859204;-0.04902813930286982;-0.005006242459679872;-0.0089354283398165;-0.006927265655071478;-0.004559823080372056;-0.026909328623748428;-0.03108930289177513;-0.09648856361004786;-0.18210182816522547;-0.09714700699713837;-0.11498386423316286;-0.02467077053054487;-0.014390071112192296;-0.004436397557691002;-0.03963894433897619;-0.12343996622658936;-0.020022349217838943;-0.1067309354607561;-4.615948778500096e-05;-0.012096190418977783;-0.015391953873386427;-0.04206108359674394;-0.07215083061602064;-0.01020388332653586;-0.15334698038305003;-0.05837382868463655;-0.025540772357734366;-0.04705228607677295;-0.030678243153700782;-0.021122772783742423;-0.05799616308238042;-0.07075208544188198;-0.006883851009188289;-0.09146774405993215;-0.11058228282203163;-0.026557212989198414;-0.009495112268318753;-0.023224460882007494;-0.012978966681890743;-0.02241264005253236;-0.03111127813557288;-0.09481545137504993;-0.041844782907518474;-0.02311446844059882;-0.04061819377476194;-0.07464978099712101;-0.010175830634429867;-0.0023817449850320914;-0.02497156755512855;-0.008116761729205373;-0.014591323708074285;-0.00428590192841153;-0.07115415775590854;-0.014983483864337427;-0.06741326541004718;-0.1164588012335348;-0.02698037353451374;-0.01931138092949448;-0.0797543031248337;-0.033880948311140816;-0.07365220748581569;-0.030081468241136767;-0.008159583130396749;-0.10837798122719709;-0.012417975214067255;-0.006318215865519183;-0.02334322427610361;-0.047966645944990026;-0.04375628438654698;-0.05860343901427595;-0.045140654130817366;0.04116634545420627;2
criterion:absolute_error_n_estimators:100;0.3507320713996887;0.11417248182993527;0.020912175178527833;0.007525972846554182;absolute_error;100;-0.03787133506196528;-0.0052621656975687615;-0.004792348680214434;-0.039367408339313965;-0.13535600807356116;-0.07898359797020059;-0.009965345325534909;-0.03276186376973719;-0.018042522799827373;-0.098426955009086;-0.12560183065716515;-0.02237090962385083;-0.02183920000474955;-0.10524964349741554;-0.003218606167286432;-0.017107220465386107;-0.05047370175876296;-0.024889216393398264;-0.020908369729157942;-0.09909544822540063;-0.006149994309305201;-0.016186311812612163;-0.1141071878951903;-0.009648971219949678;-0.13090917765479324;-0.01864855779661082;-0.007514754931195245;-0.024013688649915006;-0.09967278908913621;-0.04694717310996907;-0.04859156242547219;-0.005805506445603519;-0.006435886364717914;-0.006728876456189654;-0.004570938199284664;-0.02698487362699623;-0.03379999526772596;-0.09579671774508211;-0.17408702317247252;-0.0891844112954377;-0.11695301516619623;-0.023256620204088196;-0.018635946022666886;-0.00842699588751227;-0.03784131819272556;-0.13054348071197333;-0.024872231360777056;-0.10078698656034148;-6.811362131424611e-05;-0.013334012458962815;-0.016846243651297072;-0.040147230230922086;-0.061004787330934736;-0.0070196371334104125;-0.15117612868821692;-0.057758689598900896;-0.023365950949616583;-0.049059584632666485;-0.03060792692153801;-0.01969498724115392;-0.059385279712031114;-0.0597032970638408;-0.005396471380338413;-0.09278902120003564;-0.10924436031436024;-0.02071986698639489;-0.013178655479814692;-0.019150096913245686;-0.011480251174335734;-0.022703562957125185;-0.03441495532539963;-0.11029412298270273;-0.04276961408529117;-0.0258911502976696;-0.042015745982203784;-0.08508282693973518;-0.007855303453710981;-0.00353053625329259;-0.02178442420132606;-0.008242591795762375;-0.016712233339288684;-0.003211484236292184;-0.07929197391125922;-0.018730529288922267;-0.06871540447838582;-0.11621164069012924;-0.024391190949434326;-0.018882283808594972;-0.08547590048859421;-0.03189612247608594;-0.08087953930132348;-0.030462216421380025;-0.009917414071429086;-0.10506715415878176;-0.014504348684908764;-0.010361953489650017;-0.023003200611971808;-0.048927227168348054;-0.04038889010465264;-0.058910809473605476;-0.045303416329341116;0.04085442124692711;3
criterion:absolute_error_n_estimators:50;0.13101367712020873;0.02316992303704024;0.008253724575042724;0.0014190239819780708;absolute_error;50;-0.03701627460471874;-0.008522072283651674;-0.00802140183558389;-0.037812472336964234;-0.12513939140815078;-0.057152022339003045;-0.01666585643875078;-0.028344051403749227;-0.02498399799635999;-0.0999326139770459;-0.13044756628336288;-0.008682355403656443;-0.02764436501556901;-0.10350693112358571;-0.005164519638626831;-0.011930256243725401;-0.05051021490530347;-0.0277430605739368;-0.022939800295962154;-0.1003875270923554;-0.004625864281462459;-0.017008255893401346;-0.09925580217534119;-0.017281186162623474;-0.13747873685813075;-0.015152547769850528;-0.0018135933417075963;-0.031701446108407035;-0.09615624124477519;-0.044902522443612404;-0.04463445623881015;-0.0052076283107854665;-0.007932139589866796;-0.006792944679819381;-0.0028473348817177565;-0.022696469256395343;-0.0312598806155284;-0.11241694386080116;-0.19460841904352694;-0.11521889337824029;-0.11549803194695757;-0.0219133285874826;-0.02548187295791959;-0.005666593104138937;-0.04490605659288968;-0.13454470201147306;-0.028431284743037896;-0.09990159548396776;-0.0003360312657310942;-0.012671908475402794;-0.017838572242645515;-0.04104834891612628;-0.07407934375818907;-0.015100868915938537;-0.14334270681199865;-0.055017340617054496;-0.02154496381104703;-0.04635720214148689;-0.024657828002857447;-0.020801235900170367;-0.05720808920873984;-0.07082225194668705;-0.006989320086923822;-0.09354893310863249;-0.11661042522399434;-0.0262977337826244;-0.011772701081264228;-0.025521647858609765;-0.01786607657406275;-0.01608202295018319;-0.029313684461858173;-0.10622105067392278;-0.04371240634975684;-0.021052741681483664;-0.0419059002633137;-0.08887493049436462;-0.007870209481999981;-0.005338582261766071;-0.01504398238365234;-0.010777327899168528;-0.014643918660757003;-0.003960933097218977;-0.0676537830625225;-0.01766978294912282;-0.07070913118807251;-0.10271980645286587;-0.029855782790620976;-0.020651733413707234;-0.08832798622028053;-0.02819453754049874;-0.0671541477548288;-0.03677188553773773;-0.012392785018207028;-0.09914766347389463;-0.01290808752431258;-0.0032524185383828908;-0.018681637961909324;-0.04160319381213221;-0.04493886021987576;-0.05838362394305641;-0.04543129590554394;0.04135902683169093;4
criterion:mse_n_estimators:500;1.151563355922699;0.09024689433714582;0.07432234525680542;0.010027188717696364;mse;500;-0.03637314979556298;-0.0050832684498400066;-0.004889057366345533;-0.04148589744645439;-0.12741751358205264;-0.08410596191638957;-0.01304555308748646;-0.027652705466297788;-0.020094451339934295;-0.10608948781109798;-0.13456599968548139;-0.014438466045030149;-0.02049491887540654;-0.10534796185039241;-0.001396561372751152;-0.01786102798809348;-0.050824765552303044;-0.022580456750397434;-0.022474662437880016;-0.10171384154233906;-0.004390185863108315;-0.01596239382507378;-0.1171643719065334;-0.007571085411046903;-0.13668271786451078;-0.018535001702099933;-0.004274006911950698;-0.029869056113380296;-0.09378213411037031;-0.045495770531580486;-0.050720377951049694;-0.00409925065262356;-0.009800164879747084;-0.010248264620207352;-0.004354762136229406;-0.028593743314181474;-0.030175416671246038;-0.09841433306566581;-0.18484767710358085;-0.0907192945211381;-0.11187616945724803;-0.023537467349494832;-0.015377180016396944;-0.004834618316701269;-0.03680060218513496;-0.12773136640508384;-0.02324291110462804;-0.10479168915482927;-0.00039088710996190045;-0.012590800569060263;-0.016995346464042035;-0.0419158189803106;-0.07476574195780308;-0.010797596553993316;-0.14876594077958816;-0.058571781951261205;-0.025660897155913763;-0.0490202639277973;-0.03064104522438653;-0.022143722798087555;-0.060091144664319085;-0.06552366949668871;-0.00455543280032718;-0.09648562795576766;-0.11177063731326685;-0.02509583882930652;-0.009989707351613735;-0.02393082956233333;-0.011798508949002851;-0.023044995185161638;-0.033405303437971164;-0.09875737422542846;-0.04514659524280926;-0.026279397941151538;-0.04140213604667868;-0.07728953112145127;-0.008638218333527029;-0.0022825329809475045;-0.022822310357101395;-0.00633635450317818;-0.015425146763501948;-0.003506148571545907;-0.0694822038584062;-0.017057863450294225;-0.06837201897373846;-0.12132880615822927;-0.024413134862286974;-0.022431027648216383;-0.09009127730035463;-0.032568242867072016;-0.07633300866200615;-0.03045444516089371;-0.009924883883685507;-0.10094935796094869;-0.013694254816564493;-0.00594614050047014;-0.023961318205703755;-0.048682599436020796;-0.044752691616992246;-0.06282114172964162;-0.04560929423703189;0.041457000293486916;5
criterion:mse_n_estimators:200;0.43695995807647703;0.02796006075580006;0.0290236759185791;0.004146505102647879;mse;200;-0.036337701369595986;-0.006483740337669619;-0.004440683816022963;-0.042788646515072054;-0.12601411095216417;-0.09242589090151147;-0.012230815934660987;-0.027391504526449482;-0.023175336569619703;-0.10713249277163271;-0.1268973729343557;-0.012288053137029487;-0.02153255439215782;-0.10235744595887956;-0.0012704298433979953;-0.01693263625543719;-0.04641206255976613;-0.021828730013131806;-0.02145801411567298;-0.09935720987069564;-0.006060042321694835;-0.018828918565720332;-0.10750435913664197;-0.010671900147037533;-0.14067745937021084;-0.017794889711780823;-0.00576457212251511;-0.02501117706619849;-0.09814724512009713;-0.04833546645967083;-0.04721817708245613;-0.0033113613685999232;-0.008389416064760074;-0.004679349802107402;-0.0025965818834833283;-0.028390600046257302;-0.02717113854458986;-0.09796197161277584;-0.1773107269513397;-0.09548663857769174;-0.11293614807397273;-0.024374300798160702;-0.02024743895780622;-0.004600335969600049;-0.04091811021794278;-0.13407956658409753;-0.023354554651587214;-0.0990403613871358;-0.00014165904935067752;-0.014033087585004851;-0.015687195419540764;-0.04184539371795631;-0.07403301353147361;-0.0077873760835676965;-0.17082491399238509;-0.05937149621873714;-0.0214492916603731;-0.04989017648241352;-0.031623158860612025;-0.022395830781955273;-0.06363966133359054;-0.07007312460541358;-0.004493388763415949;-0.09631625088294403;-0.11869021822433827;-0.023140015109910733;-0.008164949530003286;-0.022584934859781;-0.011221270302698524;-0.021609534401009472;-0.033782051869060796;-0.10435364233806037;-0.04558059261257171;-0.022211109241826357;-0.0384385304926665;-0.08717642579345541;-0.008328647914561692;-0.0032984130089283165;-0.02405313085752659;-0.008037648614461896;-0.015564594224582139;-0.002297429686552969;-0.0711998695707944;-0.018527421811740406;-0.06883896965702228;-0.11887824907032017;-0.02700091630857642;-0.022489347711415614;-0.08192178094303221;-0.039359407182743014;-0.07362130417907346;-0.03162515749222206;-0.009262335984074173;-0.10282658570358932;-0.01491716598256382;-0.006033820154093785;-0.025648176514306897;-0.04928572455154902;-0.04642548279637157;-0.06159201509774935;-0.04591210130132823;0.04202003683771543;6
criterion:mse_n_estimators:100;0.25553609371185304;0.04898538163750902;0.017133371829986574;0.005188938871948607;mse;100;-0.03483005966508246;-0.008049440627483225;-0.003352165292109601;-0.04077632305317258;-0.13368558117158272;-0.08060155333186615;-0.015456027923109492;-0.03532029980941123;-0.021951814117792276;-0.12102964766269131;-0.12750999721839398;-0.012554370564053919;-0.016372547577476085;-0.1074712096613038;-0.0025909565632234875;-0.01529797092098685;-0.04929255182513216;-0.02499805661622312;-0.02696437867829898;-0.10683102802320867;-0.004472243397988647;-0.0158589811681954;-0.11090601965975122;-0.00832386423120577;-0.13747481671958817;-0.018653661555948716;-0.003964784580393973;-0.028134150133276872;-0.09171574291249604;-0.05020114168615028;-0.04483048483338945;-0.004887559793715632;-0.007325664184391577;-0.005467372450888581;-0.004048478407621608;-0.02705912266468662;-0.029386985907971248;-0.11019600234673853;-0.1986087325126768;-0.09865171755316769;-0.1085790093487552;-0.02326618556478989;-0.01596750302391511;-0.004012218506203894;-0.03492572383198546;-0.13526979133214004;-0.023760243958221846;-0.08670743321522077;-0.00021712804670778898;-0.012678378115396518;-0.015532403810229653;-0.041304628700228725;-0.06692018104003156;-0.008901631616312864;-0.16890513914611696;-0.056211093170733493;-0.027693891897463123;-0.05060002710616233;-0.02656582394104065;-0.02496138619664339;-0.05708150195591467;-0.0666651218973057;-0.0030202067068370304;-0.09920632689283826;-0.11040145257228157;-0.027536973527891136;-0.013288046172083916;-0.026627003260333248;-0.008269380954346758;-0.019885151718571383;-0.03052774509636076;-0.10385887169192985;-0.04560893823831188;-0.027641643100793114;-0.0389824388081177;-0.07875256095532594;-0.006020192755085111;-0.0014221948867139973;-0.02528214807068196;-0.00828420102852232;-0.01285187804433765;-0.00345879442688375;-0.06598613503289265;-0.02048936721867099;-0.07219757982551366;-0.12898614680547463;-0.025647444092202782;-0.025377119682560102;-0.08888607948591266;-0.03624099815845159;-0.07427018010117052;-0.03518703229645334;-0.011117489359804405;-0.10173015113960698;-0.013435290120042588;-0.01002301978318385;-0.023813991201352875;-0.048984996564872964;-0.038469006524808454;-0.06343943824765451;-0.046170375669732415;0.04295375839433796;7
criterion:mse_n_estimators:50;0.1384446120262146;0.03920917837319193;0.010529005527496338;0.006426338861589337;mse;50;-0.041821135889373424;-0.00960002615924722;-0.006193339710225125;-0.04529271906781768;-0.13581104689730802;-0.08681570995340944;-0.015514205561978776;-0.03240544070001489;-0.01770270380948407;-0.11768710145691896;-0.12304325692937008;-0.014056685413513575;-0.0303534812462958;-0.10181991951199106;-0.005703390218190402;-0.017203931867403016;-0.056179603049531256;-0.020180955106147886;-0.01823834674570035;-0.10458786849262262;-0.004832117268904642;-0.02092690335907009;-0.10493511143498742;-0.01129728983019225;-0.13603069097322795;-0.01637139074873894;-0.005363342555342387;-0.0268152169500877;-0.09926499941045042;-0.05070600273263803;-0.05436434225831251;-0.009797370296110332;-0.006485963428415099;-0.004301692821771845;-0.004553552286784876;-0.022853146072886747;-0.03546940548554449;-0.08274355680344311;-0.16862757105038398;-0.06789063615846769;-0.12230923802494183;-0.022364324208247886;-0.018831140448372436;-0.008807546362939588;-0.04444771797386044;-0.11283097267757747;-0.019255605124966577;-0.0847683084263612;-0.000602933775223945;-0.011337052125291562;-0.01918238626641362;-0.049394473688740115;-0.06852442309977502;-0.010914665387606486;-0.1540886443554614;-0.06169742463959927;-0.02212278404620965;-0.04865803377911748;-0.03085682143331507;-0.023622331584198332;-0.06281165548179359;-0.08164700513897577;-0.008179239563017244;-0.10559945373932252;-0.10196976072941039;-0.027905579412138587;-0.024790747606801677;-0.025879156220686494;-0.008528132558349517;-0.02220679150021439;-0.030764756673438438;-0.10500207540766593;-0.045009173519662236;-0.027871307816009383;-0.043296854198646595;-0.06705845801086442;-0.008894619704650882;-0.002258835235125337;-0.036718010876429605;-0.007990846891361897;-0.015041818032704941;-0.002215205453641567;-0.07529638455639777;-0.01721421620700672;-0.06477189386782876;-0.1331994782049381;-0.023382530335568273;-0.022607252550043384;-0.0922067302119148;-0.03124072362442355;-0.0887916954883214;-0.03275819838815958;-0.0062148759041945585;-0.0951912553097427;-0.014574529085226204;-0.007052340318367794;-0.03184309126641043;-0.048597954345946506;-0.05046107194741054;-0.06548522667558403;-0.04630986929198919;0.040443385428106916;8
criterion:mse_n_estimators:10;0.02434483528137207;0.005563737123716153;0.002483034133911133;0.00210309647253355;mse;10;-0.04521367995164315;-0.014092840889646368;-0.0049515294553399885;-0.04723159802349492;-0.14393093268393597;-0.08545526409748254;-0.02911734355329651;-0.03160144642596292;-0.017754675735328435;-0.09575074301190503;-0.10802870489543341;-0.007473257186176255;-0.027709661257998387;-0.12130971444171774;-0.0010101825468116616;-0.023949098725569707;-0.02791270918308315;-0.025930179385979316;-0.01851181404806803;-0.09354951691454902;-0.00872559524943652;-0.008364436328511917;-0.14034794790278224;-0.07026426109285087;-0.13571942716219024;-0.02413447086479324;-0.004320610085742873;-0.03663979027223936;-0.13232258839032;-0.057326063211860345;-0.060516412718548684;-0.003041764959439822;-0.005498166367473728;-0.009816225305307033;-0.010074129065970354;-0.0267551812475936;-0.04841011468188214;-0.15971926431121145;-0.17488847883517156;-0.10979439011169415;-0.10555998001514516;-0.01541177342851914;-0.009844402873761747;-0.013967863061035085;-0.03446940817786668;-0.12484087915320614;-0.025066476197524213;-0.10120667708342254;-0.00019378645162697675;-0.025866175637714484;-0.019766318625338005;-0.0405251701294533;-0.06548860678260869;-0.015597510296866962;-0.15879376553895647;-0.04723119210414143;-0.03211135810674796;-0.051793954369694244;-0.036363698839319177;-0.03521060587191338;-0.06220511914929614;-0.0857493878763763;-0.006427281480771708;-0.09235453520991416;-0.10619642382288218;-0.02720323268282226;-0.0021214781318542033;-0.02534300392471547;-0.01750857193981681;-0.013972754803448052;-0.036223593956569565;-0.13434040981470655;-0.042549069758943736;-0.024388803271507498;-0.04007607029934112;-0.05613868087439633;-0.01354775068212401;-0.005831382895442081;-0.03528809677393524;-0.016475656298418663;-0.03440396886957536;-0.003987253073780585;-0.04500260119748973;-0.021234166498914284;-0.0644046534557866;-0.10546798359423086;-0.024709056958217082;-0.022591281804954913;-0.11957801956365602;-0.039991249952711784;-0.055622849421316456;-0.01831866132767659;-0.016800472550877306;-0.12131786136280105;-0.01878197892035945;-0.014330961834652394;-0.039243770173432474;-0.03438796094282641;-0.047458711857732726;-0.06700532893412482;-0.04915053909265704;0.04330785431535992;9
criterion:absolute_error_n_estimators:10;0.025529923439025878;0.0030836017994284454;0.002328901290893555;0.00043993428070219516;absolute_error;10;-0.041290995208402785;-0.0029446080241143677;-0.013804041925854459;-0.025429662183973148;-0.1250660734997529;-0.0881414793707827;-0.011401587407000974;-0.01694811190892826;-0.031460971406433266;-0.07554100109929589;-0.11670147241032429;-0.025164085995257657;-0.02647316118302757;-0.11005928792724973;-0.001062865770385689;-0.01606555947330628;-0.04189018728621925;-0.022467665555036723;-0.015131994894804757;-0.09137491408730691;-0.00654631940219953;-0.03132151118528726;-0.10997979653775647;-0.0251942703792916;-0.18937555267392703;-0.027821804993581223;-0.021462713131822443;-0.03263195140344548;-0.12552027988277498;-0.05553745793419082;-0.049709422492736945;-0.003930204606365463;-0.010179281738130114;-0.013589071270325994;-0.0146153145548229;-0.025860056357438026;-0.01868634590845719;-0.1586829107814113;-0.2543706006419048;-0.1243963910179712;-0.14110059509986306;-0.02121476751176132;-0.020377008184751657;-0.014999644705509194;-0.037114984342650405;-0.17161698779857967;-0.030042948752819685;-0.09917429686898115;-0.0004893181769858091;-0.024030257629005715;-0.011908810677464668;-0.04148292326734337;-0.07023621123711793;-0.032711338091518175;-0.15103082138287427;-0.0695786660661638;-0.0258868578500799;-0.043909965016379;-0.015829600094880204;-0.02277224210245238;-0.050226115949160495;-0.04642122122448291;-0.007988995903712244;-0.0957210690185321;-0.09931869474008598;-0.017638012350073316;-0.0033276195121843444;-0.02871811565608854;-0.012270873022075112;-0.022660684349655066;-0.027319734068516784;-0.10557845785991032;-0.05025596989090896;-0.03144876989407531;-0.0384538812563471;-0.06580649939475676;-0.014856633495415748;-0.004338788093253209;-0.01684390039898834;-0.021964297943148636;-0.03118237335247137;-0.007774880348137045;-0.06607890878936905;-0.02049686415793778;-0.0739384046835546;-0.11218401778607902;-0.03052862746240482;-0.022682649902289406;-0.09904614543676239;-0.02856694348801806;-0.09814924384403974;-0.030107061229482795;-0.0113063925302739;-0.09936989764665262;-0.008994375301620625;-0.012220721501861093;-0.024988361229013316;-0.054064138088241356;-0.05415528078988042;-0.05969226929352637;-0.04950025119251467;0.04721486783768922;10
