model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:0.0001_max_iter:100000;0.0006395626068115234;0.00014606718667562892;0.0002913522720336914;5.7563656327444064e-05;0.0001;100000;-0.0068451835306123495;-0.015047273198084679;-0.0180792576273681;-0.01564444174879563;-0.015454061173265482;-0.010212408572758808;-0.0112287000619622;-0.021162497638671778;-0.01998107209033182;-0.02154522111161166;-0.01658467127448411;-0.01723687624761118;-0.014463189131014069;-0.010921748737296412;-0.011513175390455904;-0.016818330347751514;-0.01010101018229653;-0.00918430319588092;-0.02197990868784879;-0.024305063183425575;-0.011220930101279622;-0.010745236600228627;-0.0186829216947355;-0.019180094000445756;-0.014359149053451876;-0.00658159256157695;-0.01399125181725622;-0.022798749880691648;-0.012801635970188702;-0.01589555327052424;-0.020291808042227272;-0.012076786275226592;-0.006033648370641378;-0.015990477152713276;-0.017005680759697456;-0.023865480434310388;-0.013306982691229732;-0.013490993362752127;-0.01369290604745671;-0.01788676657757048;-0.015645608900251694;-0.00989740265872497;-0.01330638006432471;-0.015123617514429888;-0.048644626618408536;-0.006408066728922023;-0.011683267221728745;-0.015358323825730739;-0.009141629137998321;-0.018649417999325787;-0.008843717254548097;-0.019570905426207624;-0.016716622867721524;-0.010668527504217188;-0.014019512978160738;-0.016277722399760833;-0.025864897298991513;-0.006440686344476695;-0.012920456326343028;-0.01760241633835783;-0.01932244699661688;-0.015138437874166619;-0.015640863676639676;-0.01796257596536426;-0.012755988974961394;-0.02949893044937788;-0.01282066484665423;-0.016085495446519556;-0.006056015066439438;-0.0075291501386948265;-0.022257528900229664;-0.01024280768714554;-0.014635557933993598;-0.02892598859590499;-0.014176020933365159;-0.007373674108840439;-0.020125288242124197;-0.014979575698421064;-0.008761703783066415;-0.009902834022967696;-0.009262132205017861;-0.01077688191505517;-0.019022437359089598;-0.008416550882848824;-0.010683500114625577;-0.02445686430061838;-0.028397674936106492;-0.010476819202181142;-0.011898673586606118;-0.02141571645947966;-0.01570254056824298;-0.018900153323697762;-0.008402327917676351;-0.01976070412446528;-0.014483212916496397;-0.009361804822244415;-0.010747127427982414;-0.0060507817893191915;-0.017519174276346812;-0.025753171088461414;-0.015266706417624176;0.006363980533614896;1
alpha:0.0001_max_iter:10000;0.0006882882118225097;0.00013990182773696385;0.0003250885009765625;7.481794949733587e-05;0.0001;10000;-0.0068451835306123495;-0.015047273198084679;-0.0180792576273681;-0.01564444174879563;-0.015454061173265482;-0.010212408572758808;-0.0112287000619622;-0.021162497638671778;-0.01998107209033182;-0.02154522111161166;-0.01658467127448411;-0.01723687624761118;-0.014463189131014069;-0.010921748737296412;-0.011513175390455904;-0.016818330347751514;-0.01010101018229653;-0.00918430319588092;-0.02197990868784879;-0.024305063183425575;-0.011220930101279622;-0.010745236600228627;-0.0186829216947355;-0.019180094000445756;-0.014359149053451876;-0.00658159256157695;-0.01399125181725622;-0.022798749880691648;-0.012801635970188702;-0.01589555327052424;-0.020291808042227272;-0.012076786275226592;-0.006033648370641378;-0.015990477152713276;-0.017005680759697456;-0.023865480434310388;-0.013306982691229732;-0.013490993362752127;-0.01369290604745671;-0.01788676657757048;-0.015645608900251694;-0.00989740265872497;-0.01330638006432471;-0.015123617514429888;-0.048644626618408536;-0.006408066728922023;-0.011683267221728745;-0.015358323825730739;-0.009141629137998321;-0.018649417999325787;-0.008843717254548097;-0.019570905426207624;-0.016716622867721524;-0.010668527504217188;-0.014019512978160738;-0.016277722399760833;-0.025864897298991513;-0.006440686344476695;-0.012920456326343028;-0.01760241633835783;-0.01932244699661688;-0.015138437874166619;-0.015640863676639676;-0.01796257596536426;-0.012755988974961394;-0.02949893044937788;-0.01282066484665423;-0.016085495446519556;-0.006056015066439438;-0.0075291501386948265;-0.022257528900229664;-0.01024280768714554;-0.014635557933993598;-0.02892598859590499;-0.014176020933365159;-0.007373674108840439;-0.020125288242124197;-0.014979575698421064;-0.008761703783066415;-0.009902834022967696;-0.009262132205017861;-0.01077688191505517;-0.019022437359089598;-0.008416550882848824;-0.010683500114625577;-0.02445686430061838;-0.028397674936106492;-0.010476819202181142;-0.011898673586606118;-0.02141571645947966;-0.01570254056824298;-0.018900153323697762;-0.008402327917676351;-0.01976070412446528;-0.014483212916496397;-0.009361804822244415;-0.010747127427982414;-0.0060507817893191915;-0.017519174276346812;-0.025753171088461414;-0.015266706417624176;0.006363980533614896;1
alpha:0.0001_max_iter:1000;0.0005945897102355957;0.00012006246386409563;0.0002793383598327637;4.842577336626264e-05;0.0001;1000;-0.0068451835306123495;-0.015047273198084679;-0.0180792576273681;-0.01564444174879563;-0.015454061173265482;-0.010212408572758808;-0.0112287000619622;-0.021162497638671778;-0.01998107209033182;-0.02154522111161166;-0.01658467127448411;-0.01723687624761118;-0.014463189131014069;-0.010921748737296412;-0.011513175390455904;-0.016818330347751514;-0.01010101018229653;-0.00918430319588092;-0.02197990868784879;-0.024305063183425575;-0.011220930101279622;-0.010745236600228627;-0.0186829216947355;-0.019180094000445756;-0.014359149053451876;-0.00658159256157695;-0.01399125181725622;-0.022798749880691648;-0.012801635970188702;-0.01589555327052424;-0.020291808042227272;-0.012076786275226592;-0.006033648370641378;-0.015990477152713276;-0.017005680759697456;-0.023865480434310388;-0.013306982691229732;-0.013490993362752127;-0.01369290604745671;-0.01788676657757048;-0.015645608900251694;-0.00989740265872497;-0.01330638006432471;-0.015123617514429888;-0.048644626618408536;-0.006408066728922023;-0.011683267221728745;-0.015358323825730739;-0.009141629137998321;-0.018649417999325787;-0.008843717254548097;-0.019570905426207624;-0.016716622867721524;-0.010668527504217188;-0.014019512978160738;-0.016277722399760833;-0.025864897298991513;-0.006440686344476695;-0.012920456326343028;-0.01760241633835783;-0.01932244699661688;-0.015138437874166619;-0.015640863676639676;-0.01796257596536426;-0.012755988974961394;-0.02949893044937788;-0.01282066484665423;-0.016085495446519556;-0.006056015066439438;-0.0075291501386948265;-0.022257528900229664;-0.01024280768714554;-0.014635557933993598;-0.02892598859590499;-0.014176020933365159;-0.007373674108840439;-0.020125288242124197;-0.014979575698421064;-0.008761703783066415;-0.009902834022967696;-0.009262132205017861;-0.01077688191505517;-0.019022437359089598;-0.008416550882848824;-0.010683500114625577;-0.02445686430061838;-0.028397674936106492;-0.010476819202181142;-0.011898673586606118;-0.02141571645947966;-0.01570254056824298;-0.018900153323697762;-0.008402327917676351;-0.01976070412446528;-0.014483212916496397;-0.009361804822244415;-0.010747127427982414;-0.0060507817893191915;-0.017519174276346812;-0.025753171088461414;-0.015266706417624176;0.006363980533614896;1
alpha:0.0001_max_iter:100;0.0005536079406738281;5.0045110419785877e-05;0.0002619791030883789;2.6951812701476953e-05;0.0001;100;-0.0068451835306123495;-0.015047273198084679;-0.0180792576273681;-0.01564444174879563;-0.015454061173265482;-0.010212408572758808;-0.0112287000619622;-0.021162497638671778;-0.01998107209033182;-0.02154522111161166;-0.01658467127448411;-0.01723687624761118;-0.014463189131014069;-0.010921748737296412;-0.011513175390455904;-0.016818330347751514;-0.01010101018229653;-0.00918430319588092;-0.02197990868784879;-0.024305063183425575;-0.011220930101279622;-0.010745236600228627;-0.0186829216947355;-0.019180094000445756;-0.014359149053451876;-0.00658159256157695;-0.01399125181725622;-0.022798749880691648;-0.012801635970188702;-0.01589555327052424;-0.020291808042227272;-0.012076786275226592;-0.006033648370641378;-0.015990477152713276;-0.017005680759697456;-0.023865480434310388;-0.013306982691229732;-0.013490993362752127;-0.01369290604745671;-0.01788676657757048;-0.015645608900251694;-0.00989740265872497;-0.01330638006432471;-0.015123617514429888;-0.048644626618408536;-0.006408066728922023;-0.011683267221728745;-0.015358323825730739;-0.009141629137998321;-0.018649417999325787;-0.008843717254548097;-0.019570905426207624;-0.016716622867721524;-0.010668527504217188;-0.014019512978160738;-0.016277722399760833;-0.025864897298991513;-0.006440686344476695;-0.012920456326343028;-0.01760241633835783;-0.01932244699661688;-0.015138437874166619;-0.015640863676639676;-0.01796257596536426;-0.012755988974961394;-0.02949893044937788;-0.01282066484665423;-0.016085495446519556;-0.006056015066439438;-0.0075291501386948265;-0.022257528900229664;-0.01024280768714554;-0.014635557933993598;-0.02892598859590499;-0.014176020933365159;-0.007373674108840439;-0.020125288242124197;-0.014979575698421064;-0.008761703783066415;-0.009902834022967696;-0.009262132205017861;-0.01077688191505517;-0.019022437359089598;-0.008416550882848824;-0.010683500114625577;-0.02445686430061838;-0.028397674936106492;-0.010476819202181142;-0.011898673586606118;-0.02141571645947966;-0.01570254056824298;-0.018900153323697762;-0.008402327917676351;-0.01976070412446528;-0.014483212916496397;-0.009361804822244415;-0.010747127427982414;-0.0060507817893191915;-0.017519174276346812;-0.025753171088461414;-0.015266706417624176;0.006363980533614896;1
alpha:5e-05_max_iter:100000;0.0006043100357055664;9.049690422610755e-05;0.00027716875076293945;4.222441439563867e-05;5e-05;100000;-0.007034373269516084;-0.015443343418143338;-0.017594088138768546;-0.015844021545234763;-0.01572104452799861;-0.010127756446112851;-0.010867911101370937;-0.020801491080183854;-0.019827804604309423;-0.022090222918656654;-0.017446448619122496;-0.017208122639762197;-0.014495376422802;-0.010996030385859418;-0.011365013197889828;-0.016782410119798398;-0.010356540318105806;-0.009103789621151775;-0.021474016855638014;-0.023842634757762233;-0.011314063846943957;-0.010734011269636698;-0.01875353307455376;-0.01883743583745449;-0.01486054561995323;-0.006627238047496321;-0.013816357166331266;-0.02263810233639468;-0.012791051797678605;-0.0157780827907022;-0.02032326988851861;-0.012003526818271002;-0.0067720504972509565;-0.01563356873757524;-0.01766328618062823;-0.023472552091414797;-0.013547739588326798;-0.013478159533743983;-0.013757578578493898;-0.017562477013893685;-0.01629205311059746;-0.00976037926134919;-0.013800092783658124;-0.014745981505227726;-0.0478213362748647;-0.0067064500431388676;-0.012429537616144045;-0.01531616567786607;-0.008950576423897193;-0.018773815382012008;-0.008957449582884894;-0.019675276888452286;-0.017202115364312015;-0.010465396027947502;-0.014295908472093726;-0.016208713163132733;-0.02537131541251201;-0.0064620253650945194;-0.013064203186192187;-0.017224023896802842;-0.018957908000124687;-0.015354122202181;-0.015509785305589947;-0.01827908162087938;-0.012520141640933157;-0.02988327248194626;-0.012621396925718368;-0.01605198080350351;-0.005970111068294664;-0.007496380735439049;-0.022102442107640296;-0.00983633582743818;-0.014293474055127708;-0.029110080177342654;-0.014328673910322762;-0.007657052497603491;-0.019853570059096996;-0.0150044199834113;-0.008931189807661355;-0.010298120211784601;-0.009317073040490854;-0.011140941390009804;-0.019377878477713533;-0.008354350935431716;-0.011090550828728271;-0.024326280882102817;-0.02782609863423472;-0.010416836523891011;-0.01184307408005608;-0.020942564201337777;-0.015462896997717926;-0.018495323905340377;-0.008787529170739066;-0.019670566733728672;-0.01424413901198157;-0.009876468000743144;-0.010804143147475801;-0.006426363216938895;-0.017803022819708508;-0.02541180497831699;-0.015279873325403568;0.006242526532355247;5
alpha:5e-05_max_iter:1000;0.0005874657630920411;7.266451108380346e-05;0.0002600359916687012;1.9992760649915594e-05;5e-05;1000;-0.007034373269516084;-0.015443343418143338;-0.017594088138768546;-0.015844021545234763;-0.01572104452799861;-0.010127756446112851;-0.010867911101370937;-0.020801491080183854;-0.019827804604309423;-0.022090222918656654;-0.017446448619122496;-0.017208122639762197;-0.014495376422802;-0.010996030385859418;-0.011365013197889828;-0.016782410119798398;-0.010356540318105806;-0.009103789621151775;-0.021474016855638014;-0.023842634757762233;-0.011314063846943957;-0.010734011269636698;-0.01875353307455376;-0.01883743583745449;-0.01486054561995323;-0.006627238047496321;-0.013816357166331266;-0.02263810233639468;-0.012791051797678605;-0.0157780827907022;-0.02032326988851861;-0.012003526818271002;-0.0067720504972509565;-0.01563356873757524;-0.01766328618062823;-0.023472552091414797;-0.013547739588326798;-0.013478159533743983;-0.013757578578493898;-0.017562477013893685;-0.01629205311059746;-0.00976037926134919;-0.013800092783658124;-0.014745981505227726;-0.0478213362748647;-0.0067064500431388676;-0.012429537616144045;-0.01531616567786607;-0.008950576423897193;-0.018773815382012008;-0.008957449582884894;-0.019675276888452286;-0.017202115364312015;-0.010465396027947502;-0.014295908472093726;-0.016208713163132733;-0.02537131541251201;-0.0064620253650945194;-0.013064203186192187;-0.017224023896802842;-0.018957908000124687;-0.015354122202181;-0.015509785305589947;-0.01827908162087938;-0.012520141640933157;-0.02988327248194626;-0.012621396925718368;-0.01605198080350351;-0.005970111068294664;-0.007496380735439049;-0.022102442107640296;-0.00983633582743818;-0.014293474055127708;-0.029110080177342654;-0.014328673910322762;-0.007657052497603491;-0.019853570059096996;-0.0150044199834113;-0.008931189807661355;-0.010298120211784601;-0.009317073040490854;-0.011140941390009804;-0.019377878477713533;-0.008354350935431716;-0.011090550828728271;-0.024326280882102817;-0.02782609863423472;-0.010416836523891011;-0.01184307408005608;-0.020942564201337777;-0.015462896997717926;-0.018495323905340377;-0.008787529170739066;-0.019670566733728672;-0.01424413901198157;-0.009876468000743144;-0.010804143147475801;-0.006426363216938895;-0.017803022819708508;-0.02541180497831699;-0.015279873325403568;0.006242526532355247;5
alpha:5e-05_max_iter:100;0.0006143593788146973;9.48301300882608e-05;0.0002749276161193848;4.512841953848669e-05;5e-05;100;-0.007034373269516084;-0.015443343418143338;-0.017594088138768546;-0.015844021545234763;-0.01572104452799861;-0.010127756446112851;-0.010867911101370937;-0.020801491080183854;-0.019827804604309423;-0.022090222918656654;-0.017446448619122496;-0.017208122639762197;-0.014495376422802;-0.010996030385859418;-0.011365013197889828;-0.016782410119798398;-0.010356540318105806;-0.009103789621151775;-0.021474016855638014;-0.023842634757762233;-0.011314063846943957;-0.010734011269636698;-0.01875353307455376;-0.01883743583745449;-0.01486054561995323;-0.006627238047496321;-0.013816357166331266;-0.02263810233639468;-0.012791051797678605;-0.0157780827907022;-0.02032326988851861;-0.012003526818271002;-0.0067720504972509565;-0.01563356873757524;-0.01766328618062823;-0.023472552091414797;-0.013547739588326798;-0.013478159533743983;-0.013757578578493898;-0.017562477013893685;-0.01629205311059746;-0.00976037926134919;-0.013800092783658124;-0.014745981505227726;-0.0478213362748647;-0.0067064500431388676;-0.012429537616144045;-0.01531616567786607;-0.008950576423897193;-0.018773815382012008;-0.008957449582884894;-0.019675276888452286;-0.017202115364312015;-0.010465396027947502;-0.014295908472093726;-0.016208713163132733;-0.02537131541251201;-0.0064620253650945194;-0.013064203186192187;-0.017224023896802842;-0.018957908000124687;-0.015354122202181;-0.015509785305589947;-0.01827908162087938;-0.012520141640933157;-0.02988327248194626;-0.012621396925718368;-0.01605198080350351;-0.005970111068294664;-0.007496380735439049;-0.022102442107640296;-0.00983633582743818;-0.014293474055127708;-0.029110080177342654;-0.014328673910322762;-0.007657052497603491;-0.019853570059096996;-0.0150044199834113;-0.008931189807661355;-0.010298120211784601;-0.009317073040490854;-0.011140941390009804;-0.019377878477713533;-0.008354350935431716;-0.011090550828728271;-0.024326280882102817;-0.02782609863423472;-0.010416836523891011;-0.01184307408005608;-0.020942564201337777;-0.015462896997717926;-0.018495323905340377;-0.008787529170739066;-0.019670566733728672;-0.01424413901198157;-0.009876468000743144;-0.010804143147475801;-0.006426363216938895;-0.017803022819708508;-0.02541180497831699;-0.015279873325403568;0.006242526532355247;5
alpha:5e-05_max_iter:10000;0.000617830753326416;9.632229600657497e-05;0.0002773618698120117;4.688991257460281e-05;5e-05;10000;-0.007034373269516084;-0.015443343418143338;-0.017594088138768546;-0.015844021545234763;-0.01572104452799861;-0.010127756446112851;-0.010867911101370937;-0.020801491080183854;-0.019827804604309423;-0.022090222918656654;-0.017446448619122496;-0.017208122639762197;-0.014495376422802;-0.010996030385859418;-0.011365013197889828;-0.016782410119798398;-0.010356540318105806;-0.009103789621151775;-0.021474016855638014;-0.023842634757762233;-0.011314063846943957;-0.010734011269636698;-0.01875353307455376;-0.01883743583745449;-0.01486054561995323;-0.006627238047496321;-0.013816357166331266;-0.02263810233639468;-0.012791051797678605;-0.0157780827907022;-0.02032326988851861;-0.012003526818271002;-0.0067720504972509565;-0.01563356873757524;-0.01766328618062823;-0.023472552091414797;-0.013547739588326798;-0.013478159533743983;-0.013757578578493898;-0.017562477013893685;-0.01629205311059746;-0.00976037926134919;-0.013800092783658124;-0.014745981505227726;-0.0478213362748647;-0.0067064500431388676;-0.012429537616144045;-0.01531616567786607;-0.008950576423897193;-0.018773815382012008;-0.008957449582884894;-0.019675276888452286;-0.017202115364312015;-0.010465396027947502;-0.014295908472093726;-0.016208713163132733;-0.02537131541251201;-0.0064620253650945194;-0.013064203186192187;-0.017224023896802842;-0.018957908000124687;-0.015354122202181;-0.015509785305589947;-0.01827908162087938;-0.012520141640933157;-0.02988327248194626;-0.012621396925718368;-0.01605198080350351;-0.005970111068294664;-0.007496380735439049;-0.022102442107640296;-0.00983633582743818;-0.014293474055127708;-0.029110080177342654;-0.014328673910322762;-0.007657052497603491;-0.019853570059096996;-0.0150044199834113;-0.008931189807661355;-0.010298120211784601;-0.009317073040490854;-0.011140941390009804;-0.019377878477713533;-0.008354350935431716;-0.011090550828728271;-0.024326280882102817;-0.02782609863423472;-0.010416836523891011;-0.01184307408005608;-0.020942564201337777;-0.015462896997717926;-0.018495323905340377;-0.008787529170739066;-0.019670566733728672;-0.01424413901198157;-0.009876468000743144;-0.010804143147475801;-0.006426363216938895;-0.017803022819708508;-0.02541180497831699;-0.015279873325403568;0.006242526532355247;5
alpha:0.00025_max_iter:100000;0.0005479979515075683;5.02428048762601e-05;0.0002538394927978516;1.8741182943229487e-05;0.00025;100000;-0.006655947443988408;-0.014564165474610634;-0.01883836394139697;-0.015471579589188595;-0.01521673796364314;-0.010461993642375331;-0.011793203043198752;-0.021690610111075807;-0.020208591665901082;-0.020883843225054405;-0.01547649866399068;-0.0174412185022059;-0.014387740881918241;-0.0108231074693217;-0.011815546650356215;-0.017009051441878472;-0.00985515187046753;-0.009287001290598106;-0.022835150542080362;-0.02504123047271096;-0.011168189413691748;-0.010774459125938015;-0.018659585574438045;-0.019772536735265186;-0.013761317465201796;-0.006595732370036867;-0.014389771200768942;-0.02312881234142863;-0.01288151132153582;-0.016164397139402962;-0.02035310012779169;-0.012222829926298398;-0.005169508539715544;-0.01661860849607887;-0.01620639237658336;-0.024536363340977047;-0.013126923973395137;-0.013465553795263598;-0.013682266942360194;-0.01847428054544784;-0.01494068129775454;-0.010181900269228153;-0.012734900437567379;-0.015644364727479276;-0.049950835056467836;-0.005973770844410788;-0.010800450743221524;-0.015480939052286842;-0.009453695485256007;-0.01843453162319336;-0.008781623983284303;-0.01951907449092975;-0.01615907509465601;-0.01104926106687821;-0.013674179616697944;-0.016360100331522326;-0.02670891547435978;-0.006512539288184985;-0.012739260524168598;-0.018282112397575944;-0.019915160351272693;-0.014974619978210953;-0.015719744087572183;-0.017545869038583864;-0.013237873562386615;-0.02912506684622461;-0.013037842846616193;-0.016383012053239922;-0.006146643168921732;-0.007719021942731447;-0.022551757541667314;-0.010927748211834192;-0.01515776739365189;-0.028784404867618785;-0.013906043886138772;-0.007179752831155314;-0.02068025895367396;-0.014961002503536925;-0.00857797398332025;-0.009521842301286887;-0.00928605240321217;-0.01041638911312528;-0.018483878541626916;-0.008516152525802524;-0.010200108958639502;-0.02474580813715972;-0.02928659825632268;-0.010685044888222464;-0.012079186208676589;-0.022227118223089194;-0.016120611027730353;-0.019571435692032554;-0.007998927708544058;-0.019962101888862317;-0.014933087403136666;-0.008696591943590438;-0.0108049155114291;-0.0057011106840257906;-0.017178606981986932;-0.02622039300946283;-0.015334586118990275;0.0065637758370052654;9
alpha:0.00025_max_iter:10000;0.0005517578125;5.040484673840981e-05;0.00026014089584350584;2.7467473774221304e-05;0.00025;10000;-0.006655947443988408;-0.014564165474610634;-0.01883836394139697;-0.015471579589188595;-0.01521673796364314;-0.010461993642375331;-0.011793203043198752;-0.021690610111075807;-0.020208591665901082;-0.020883843225054405;-0.01547649866399068;-0.0174412185022059;-0.014387740881918241;-0.0108231074693217;-0.011815546650356215;-0.017009051441878472;-0.00985515187046753;-0.009287001290598106;-0.022835150542080362;-0.02504123047271096;-0.011168189413691748;-0.010774459125938015;-0.018659585574438045;-0.019772536735265186;-0.013761317465201796;-0.006595732370036867;-0.014389771200768942;-0.02312881234142863;-0.01288151132153582;-0.016164397139402962;-0.02035310012779169;-0.012222829926298398;-0.005169508539715544;-0.01661860849607887;-0.01620639237658336;-0.024536363340977047;-0.013126923973395137;-0.013465553795263598;-0.013682266942360194;-0.01847428054544784;-0.01494068129775454;-0.010181900269228153;-0.012734900437567379;-0.015644364727479276;-0.049950835056467836;-0.005973770844410788;-0.010800450743221524;-0.015480939052286842;-0.009453695485256007;-0.01843453162319336;-0.008781623983284303;-0.01951907449092975;-0.01615907509465601;-0.01104926106687821;-0.013674179616697944;-0.016360100331522326;-0.02670891547435978;-0.006512539288184985;-0.012739260524168598;-0.018282112397575944;-0.019915160351272693;-0.014974619978210953;-0.015719744087572183;-0.017545869038583864;-0.013237873562386615;-0.02912506684622461;-0.013037842846616193;-0.016383012053239922;-0.006146643168921732;-0.007719021942731447;-0.022551757541667314;-0.010927748211834192;-0.01515776739365189;-0.028784404867618785;-0.013906043886138772;-0.007179752831155314;-0.02068025895367396;-0.014961002503536925;-0.00857797398332025;-0.009521842301286887;-0.00928605240321217;-0.01041638911312528;-0.018483878541626916;-0.008516152525802524;-0.010200108958639502;-0.02474580813715972;-0.02928659825632268;-0.010685044888222464;-0.012079186208676589;-0.022227118223089194;-0.016120611027730353;-0.019571435692032554;-0.007998927708544058;-0.019962101888862317;-0.014933087403136666;-0.008696591943590438;-0.0108049155114291;-0.0057011106840257906;-0.017178606981986932;-0.02622039300946283;-0.015334586118990275;0.0065637758370052654;9
