model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_epsilon;param_gamma;param_kernel;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
C:50_epsilon:0.05_gamma:5_kernel:rbf;0.01447688341140747;0.002766693002927876;0.0008687734603881836;0.00025514731035589;50;0.05;5;rbf;-0.005514947573323752;-0.012100735034419843;-0.012131902911818098;-0.014391959859299945;-0.009382860708078564;-0.011463098511736868;-0.008490521282550931;-0.016257727636651464;-0.016164584989580035;-0.017415655183912873;-0.013650184859681266;-0.008490028813237497;-0.00936802412165759;-0.0033633288324715223;-0.010173587966094558;-0.018445813843651366;-0.00937620585885078;-0.011691367470068229;-0.014814241951749747;-0.02171444233108537;-0.009814773913817595;-0.008705667449770325;-0.019351942737004187;-0.014293110741603528;-0.009464460957550215;-0.007131085288474197;-0.0060460653550921326;-0.018513344446541753;-0.009912599866668823;-0.01386568189886172;-0.012995724851976115;-0.008147300287107313;-0.004619527922767152;-0.00903488619348467;-0.015932106139793633;-0.020958105543182247;-0.007914848165119216;-0.01151234343685448;-0.012542965235074003;-0.014637458222728817;-0.015785176627903925;-0.008337989272294158;-0.007662331721158736;-0.013577698259244785;-0.041292408885674585;-0.004661989094671973;-0.008424736499315964;-0.009470916481482548;-0.006870198877108223;-0.008707358050298495;-0.009360471479639662;-0.01245436471742875;-0.009909133422393576;-0.006405259319480457;-0.008901921597230153;-0.01582609571113549;-0.019253920848707567;-0.004435874972173907;-0.01586729954723602;-0.015309841862887674;-0.013215452085183437;-0.011786033822447561;-0.014477094670439214;-0.01772013129981963;-0.008330071410355458;-0.020704270141571012;-0.012147115424173262;-0.015124532603554645;-0.006305675926336307;-0.0064287766954780985;-0.01878728721106283;-0.00992667069196032;-0.012383989623244747;-0.02661736616874853;-0.01030479822431931;-0.003297844229235358;-0.022679930930406524;-0.011416865512723855;-0.010179545286976285;-0.006737865919186126;-0.004127593852932499;-0.0071312360053351785;-0.01591097870716428;-0.006137107094386594;-0.009168340411221826;-0.021159343369905558;-0.02677246773929765;-0.012614421315567004;-0.007992896491753809;-0.01613487173892096;-0.011518297620932476;-0.01452126679825685;-0.005309434720468224;-0.02013563286798974;-0.010457271693162894;-0.006946481759239883;-0.009921245893402908;-0.005997726815123655;-0.014414949458971805;-0.021589608589116748;-0.01228842696461232;0.005863437776082365;1
C:10_epsilon:0.01_gamma:5_kernel:rbf;0.011964199542999267;0.001963654538897524;0.0009466147422790527;0.0002175925066259402;10;0.01;5;rbf;-0.005931771211564511;-0.010465919361559066;-0.013506909174073897;-0.013910447731069303;-0.010282407654628917;-0.012028054052387807;-0.00816591119377138;-0.017691622588022215;-0.0176289591367479;-0.015610290781598394;-0.011375429377048165;-0.010102218456372236;-0.009963447701668416;-0.0042775076919175795;-0.011059774833237517;-0.017791616045090185;-0.006591094603797104;-0.010219931849624308;-0.017799319975698887;-0.021025169969711523;-0.008505170838248659;-0.007896737765715967;-0.017848641251887523;-0.01703846434407857;-0.008398777679028203;-0.006588468814579249;-0.009020113692282483;-0.015614155662962505;-0.013175961905120406;-0.012969416686646577;-0.015388073366154853;-0.007302784706044757;-0.004175944084623506;-0.011515181487641727;-0.015592239711757471;-0.01890833302704242;-0.00885063564179146;-0.011606692162357135;-0.01404346615112492;-0.01460308524201049;-0.01338134515405752;-0.008028062976334354;-0.010459379457363456;-0.011621323628493642;-0.04303532424038623;-0.0042131215718196925;-0.006641628717580034;-0.010869848938104481;-0.004848280853848422;-0.009433829623544441;-0.01066001560080441;-0.013151308578210653;-0.008628988612846805;-0.007631444400962546;-0.009029738847911003;-0.019247054078293812;-0.022608328553662904;-0.004110455994207273;-0.017206623759721946;-0.016403171174289646;-0.015639927183857604;-0.013077674677357763;-0.011207514880417936;-0.019518938007902553;-0.008653646621191969;-0.02248920929878172;-0.014058983907680529;-0.013448462612461725;-0.004450508906653511;-0.004339175712415662;-0.01895821194564766;-0.010390643865420341;-0.012164952388525245;-0.024729234729851002;-0.012449714083484456;-0.00411253650014059;-0.02018395927153006;-0.00869967582805194;-0.010285286241538127;-0.011180552903461259;-0.004915884637621975;-0.0082023445469638;-0.015572011214481422;-0.006895105646899582;-0.00688336160418478;-0.02142693403911481;-0.022798314912567084;-0.012528993643913312;-0.01012176791519353;-0.017725670856477544;-0.011307058003160222;-0.016463885692204805;-0.003837659763540568;-0.01942179183077521;-0.012238316633054072;-0.006361227279612259;-0.011260868040347718;-0.006040771011344129;-0.009790735549692382;-0.022475229907801993;-0.012419861646684545;0.005932771543394528;2
C:10_epsilon:0.05_gamma:5_kernel:rbf;0.006308462619781494;0.0011944136211984656;0.0007487964630126953;0.00019560566370496393;10;0.05;5;rbf;-0.005507841460678263;-0.009519965640745549;-0.013072290326071094;-0.013849590189277186;-0.010806608318342034;-0.011839849521544734;-0.009592103123559324;-0.01594069077094709;-0.016592951756014107;-0.016157462708648047;-0.012060542167355616;-0.009773139472048909;-0.009439628431490913;-0.004614581379178845;-0.009495350833522181;-0.018052077382724106;-0.0077952026412734365;-0.009063821506740649;-0.018996525275467878;-0.022624462178225505;-0.00929330029799953;-0.00791697514266067;-0.017869695662562707;-0.0169304421061457;-0.009017759612715729;-0.005916558974073692;-0.006707467913445111;-0.017440883545981292;-0.012300015086986643;-0.013205307608783171;-0.014918646044962116;-0.0070377312455280295;-0.003853902867490336;-0.012664063430190628;-0.014989830052715222;-0.019413935963698892;-0.009153300742700002;-0.011991490974587448;-0.014586224054448649;-0.01517568268694527;-0.011665157392568229;-0.007479091628930522;-0.00861279585435852;-0.013758444443241072;-0.04355706117210149;-0.0036787914900651224;-0.008064901755852678;-0.010928753746207855;-0.006222344908083449;-0.01040870725341461;-0.009460499294337437;-0.01335151678166061;-0.00917588538302059;-0.007779399709899631;-0.009271197306906126;-0.019090855750860874;-0.022361528826872194;-0.004919801806857962;-0.016811514677548153;-0.015584759443433498;-0.016585570238892393;-0.013097441169694678;-0.010555441195074703;-0.017896713701160437;-0.00970824210383038;-0.023527984898878525;-0.013609773471378239;-0.014279852764525975;-0.006092386380813383;-0.0050814142687872895;-0.020060207366538015;-0.009453948659893041;-0.013341993038755474;-0.027662673043323788;-0.010858864792532695;-0.004273338576746112;-0.017909468874939705;-0.010146612644903052;-0.010212840740951239;-0.008472952795107394;-0.004252185057946329;-0.006743717297380102;-0.016139772396806067;-0.006413164816011763;-0.009735062465210125;-0.02146771787273772;-0.02542533224062471;-0.013193337330040841;-0.01010163179432581;-0.01873844751399074;-0.01037415269334495;-0.017029392805148327;-0.004093816241094377;-0.019985190169103873;-0.011627037812704709;-0.006572158368806569;-0.011925052962902676;-0.004644533750838358;-0.010283143060971233;-0.020674339347035366;-0.01249607814448448;0.006082768597185836;3
C:50_epsilon:0.01_gamma:5_kernel:rbf;0.030452065467834473;0.002742166225649404;0.0009928607940673827;0.0001783198285794413;50;0.01;5;rbf;-0.00652480431202409;-0.014905881682334648;-0.014340175102948514;-0.01610642389713193;-0.009184423545217334;-0.011168912244313656;-0.00730879230910505;-0.015162362693888326;-0.01545847852622613;-0.016773727603210945;-0.013993506195673508;-0.011602157514862396;-0.009817034026012467;-0.003490256323413424;-0.012416741443097895;-0.019718078624853773;-0.007204595773178113;-0.009355777021174967;-0.014921822858248193;-0.020092417251159934;-0.006928648710066499;-0.009155645373748618;-0.01986377950815216;-0.015089559784499868;-0.007538703246934088;-0.00921144997333537;-0.010228375802615751;-0.017935753537590103;-0.01389508163945388;-0.013065751561134636;-0.013303862470503308;-0.006835315956513561;-0.004184594930805194;-0.008933140524648938;-0.014657473715697082;-0.021505109144235316;-0.009310296616726886;-0.012007325628171268;-0.018745241523247413;-0.012504760974377638;-0.018647125371273693;-0.007957803879995189;-0.010925405780658695;-0.012282990449547004;-0.0393909745911312;-0.0052043069953952815;-0.006807434225595836;-0.011933908391664713;-0.006007494806826448;-0.008181730166798563;-0.010029075472732981;-0.012144798938731757;-0.009453068334650528;-0.008254106702619965;-0.009628749112431894;-0.020776475579760787;-0.02218527518271202;-0.0048590134616950794;-0.019696403694189155;-0.016805218993588892;-0.013138760948814396;-0.013031294781499286;-0.014236645878527817;-0.02156629663424492;-0.00938277490711766;-0.02199492346649343;-0.014151911280388299;-0.013882502063332426;-0.004900828833473056;-0.005650805636749068;-0.019862046934749317;-0.009515243803556004;-0.011302300852424825;-0.02662430549708689;-0.01641756008339558;-0.003240044573986085;-0.019430825878822743;-0.009729919469263498;-0.012295443470898695;-0.009980570801122501;-0.00799472267447679;-0.01076434520068168;-0.017301522293698638;-0.006419401945064651;-0.007520607541997545;-0.022084828657926197;-0.023683563449126945;-0.012872676436899341;-0.010055562684664102;-0.015864837679886095;-0.011078560467935651;-0.015065033114438305;-0.003923230713199091;-0.022724755447400647;-0.013706796045724353;-0.007714614621470184;-0.011071879608902544;-0.006342644690282852;-0.011810096157720605;-0.023652532039405955;-0.012876048169693805;0.005909444928480591;4
C:50_epsilon:0.01_gamma:1_kernel:rbf;0.018466606140136718;0.002062410759288379;0.0010272932052612304;0.0003043897881553318;50;0.01;1;rbf;-0.004899313573162287;-0.009618663625250918;-0.017626647205485044;-0.01311560177294596;-0.011467166517702304;-0.011397310653196423;-0.009054143580524993;-0.01896817939044112;-0.018422839078276052;-0.013225343366278156;-0.008316825439722892;-0.009860685468373714;-0.00879030438642607;-0.00465977577181836;-0.012114650402841029;-0.01970108969097462;-0.008106882046847159;-0.012849752293631242;-0.02091200541548488;-0.02330562735890175;-0.011343929514915661;-0.007730172759612761;-0.017920043794387237;-0.019224047247621365;-0.00846575754279207;-0.007048035464257168;-0.009892236917185786;-0.01831392960846929;-0.012515953711057482;-0.012685560642042902;-0.01753475916520045;-0.010035504188499534;-0.0037383175880968873;-0.01372945493736213;-0.01180950024094859;-0.023080551101642807;-0.010057611837777359;-0.011692809494479645;-0.012393035527857454;-0.015061211344398015;-0.011625715591156702;-0.00883831944461782;-0.011952581094033169;-0.012275697188957884;-0.046295476186125055;-0.0054135566361308;-0.005893702411183807;-0.007946938605838979;-0.006389576843897064;-0.013908990652131902;-0.009698663068451963;-0.015178415481190541;-0.010433541580912975;-0.011086152704345256;-0.008367365428671922;-0.016978132847226393;-0.02588317562040537;-0.004907909325109205;-0.015071880775424547;-0.017361872815081964;-0.017587346841916922;-0.013341059008144349;-0.010681743452506916;-0.016521370821854557;-0.010697071749678974;-0.021455733206790718;-0.015727795624890187;-0.015984544306006446;-0.0034398169645970793;-0.005897717986568534;-0.018049602352925603;-0.01117332534691521;-0.012817757462585124;-0.020936046960995224;-0.01055016740733417;-0.004613956167698023;-0.022121918003197884;-0.010618871759821773;-0.008492170405153895;-0.011446386532556424;-0.004435364116868966;-0.006623360066528437;-0.017169028717795517;-0.007683312810042638;-0.009195244233947025;-0.019059458312130514;-0.024896251039142295;-0.013802891091952705;-0.010386172186579678;-0.018827907190698205;-0.013305716096726558;-0.019830933302488304;-0.004477127261429078;-0.017141587338968145;-0.010569693600856732;-0.00813100669537127;-0.012029671240376518;-0.006453841521115007;-0.01107339802346708;-0.02325744094490818;-0.01296696702121314;0.006208634276575645;5
C:0.1_epsilon:0.01_gamma:5_kernel:poly;2.5672990918159484;0.643511236790066;0.0009069943428039551;0.00102766352725552;0.1;0.01;5;poly;-0.0070299063646049945;-0.012526073325727203;-0.02406818885539197;-0.014958136548633967;-0.01156408427045185;-0.010038711822228385;-0.008265035043388073;-0.017808080432360814;-0.01162242357652519;-0.014299451608744455;-0.010663819871739205;-0.011943917040315916;-0.009626477734841815;-0.006528383448470179;-0.014969987085370366;-0.014670584615617198;-0.00989788856025375;-0.021210833674677017;-0.016939768684757647;-0.022045722412836557;-0.012849829088664081;-0.009086859399179534;-0.01863522890871031;-0.017587818686193198;-0.007917045019305654;-0.008708814764526956;-0.006497511233223153;-0.016019048052544414;-0.01338380927536256;-0.013102342689263809;-0.013112714205064963;-0.009465425410795853;-0.005034914514693293;-0.010862248494655717;-0.014689644478183295;-0.027843999966392176;-0.011710058410254132;-0.01292958422773985;-0.01369711461160428;-0.01315453526337094;-0.014308366225155453;-0.010344204405162505;-0.01106976445350378;-0.013231352140466146;-0.04151030296172017;-0.009186072622440263;-0.005179876398334004;-0.01069037536909952;-0.005172526759554212;-0.013897098875927395;-0.006398887785315476;-0.013615023729219647;-0.007883408849550274;-0.016540623232857956;-0.009478587971677827;-0.02104244308247024;-0.025309711754815115;-0.001955217196188568;-0.019963476954565712;-0.013390939703522165;-0.012426620174647893;-0.01219974772328831;-0.013748220064626815;-0.017491549972528348;-0.010844451875500658;-0.02028300719728614;-0.016942757358328397;-0.01299480091389399;-0.00362109264737634;-0.00673132309237733;-0.01805342500592232;-0.013283465941408647;-0.01147357446788039;-0.017250992165006872;-0.013501461340857975;-0.002495355470939789;-0.024136988542052075;-0.010393128512290697;-0.008499403442498823;-0.009274015086035224;-0.009356328684048449;-0.008159937356347244;-0.018362284800632903;-0.008882566128084692;-0.011181619831516354;-0.01778778564549631;-0.019852672321864332;-0.013969883773257103;-0.008900871007430979;-0.01771527189605857;-0.010075497328615589;-0.01647895955529922;-0.0060008102530257415;-0.018533322442093093;-0.011440630555244281;-0.014186370413712868;-0.013074484839801458;-0.00869812846698404;-0.009497307467028976;-0.021273147813403802;-0.013162075437229042;0.005764852965656151;6
C:50_epsilon:0.05_gamma:1_kernel:rbf;0.010407812595367431;0.0013780771271902719;0.0009178543090820313;0.0006111565168721572;50;0.05;1;rbf;-0.004918145435136824;-0.00931658663681659;-0.01804544751986999;-0.013788416182658372;-0.012385395652198587;-0.011004975121093108;-0.009377658460883042;-0.01930417367638315;-0.022125815825887636;-0.015333163221012141;-0.010380361444518187;-0.009468258909864349;-0.009951534116894714;-0.0059847088377501;-0.01185039136038217;-0.018582988259458352;-0.008845962103113503;-0.009906004032703378;-0.021289063409858627;-0.025822345259940895;-0.00935297174591141;-0.008194862682078134;-0.018375770147192255;-0.02048674369554951;-0.009098729083310152;-0.006566887183484524;-0.00927096778819432;-0.01840920849400485;-0.011388087359747962;-0.013629578310386591;-0.017399151443974206;-0.009770476598380836;-0.0037278907372908184;-0.01540128858730555;-0.01304451312866428;-0.021499243244145694;-0.009639036468226033;-0.011138411464173832;-0.013184495276929196;-0.016140174196737345;-0.012634647514766359;-0.00842083567791741;-0.010700672754751119;-0.014635813229703335;-0.049139330934711345;-0.005511861303007494;-0.007156975307074324;-0.008221927303224128;-0.008091711471325447;-0.011870827788987848;-0.008458006873190425;-0.015579565167314199;-0.008993774068080797;-0.009919361012711824;-0.008697522976409787;-0.017925653385201534;-0.025752078426839107;-0.005544376316940982;-0.014755473933440533;-0.01831571450578361;-0.018101229296587907;-0.01333569645935447;-0.01025312608228811;-0.01651906714363508;-0.01041667078970978;-0.024351290706996886;-0.013845403721361215;-0.01788835564540945;-0.005339306376462172;-0.007087428080934987;-0.02057845934526188;-0.009623831969244172;-0.013628707452309088;-0.027367045231709238;-0.012099912078853331;-0.004921804500959456;-0.022094734921342257;-0.010841492944765161;-0.008682608881386382;-0.009540833555170054;-0.004256933409867334;-0.006949516381585166;-0.015332308930362165;-0.0070176610260830425;-0.010620295468373822;-0.020333447458335954;-0.02648595286425479;-0.012196294701167875;-0.01135608179842673;-0.019888659953499917;-0.012443587093628064;-0.019582866881238416;-0.0053581653846530896;-0.018198852049019675;-0.011857898046575744;-0.007028757123751112;-0.011047476839754353;-0.005101132939242886;-0.010807704060310971;-0.022839713198586707;-0.013289463238459517;0.006643629909175593;7
C:10_epsilon:0.01_gamma:1_kernel:poly;1.9526568055152893;0.35432154288955653;0.0007956266403198242;0.000115700301519869;10;0.01;1;poly;-0.007985594338019633;-0.01249362644418981;-0.018571028659359255;-0.015013236980707488;-0.011936157587883479;-0.01092876384253207;-0.008332767300747234;-0.019758184091434657;-0.0134807890533219;-0.015058602766432642;-0.011630330456899074;-0.009904466610396016;-0.010202631676507519;-0.007137402704636611;-0.01563958867403165;-0.01399460118313881;-0.00851899716206881;-0.015884875787425107;-0.017769796035766953;-0.02298895614079379;-0.011343494172874257;-0.009115392243598601;-0.018807771935542134;-0.017984145152925634;-0.007300991027041247;-0.00823834555780372;-0.0072530860037092505;-0.015026346568684066;-0.015523805281638613;-0.01339354073280022;-0.014049144556029352;-0.010242959498899702;-0.005626003864312133;-0.011510971408389017;-0.01554838970399671;-0.02444138492654497;-0.011570405059162526;-0.014731422332627165;-0.014251762310233456;-0.013793580416284935;-0.014929719213331173;-0.010346801598820543;-0.012243623136308718;-0.012865437606694488;-0.042988404579712834;-0.00934625972062556;-0.006077152283200121;-0.011115124405898697;-0.0054462703807656885;-0.014750055723926224;-0.006728496245227539;-0.013287404369938876;-0.007057801879800689;-0.010786347667346397;-0.010275686623949237;-0.021019769629152706;-0.02494011466645671;-0.0024630434831408904;-0.020527958561947536;-0.013189403606564244;-0.013917540298052769;-0.011962075967730879;-0.01421872700086838;-0.019940671837881445;-0.009393887194637579;-0.02120186422107522;-0.016210479103189537;-0.015029052365344756;-0.00405477357953503;-0.006099111744202471;-0.019033082639149098;-0.01376612803137834;-0.011951085976681113;-0.017519441077402265;-0.014662353134382208;-0.0028388298422162193;-0.021882180841858157;-0.010828212986566053;-0.008777908085185039;-0.010801182947775708;-0.008803987592066543;-0.008803187400186622;-0.02029895858809533;-0.009246320919353465;-0.01083402833081847;-0.017693849192384144;-0.021029045334729643;-0.016405547106832064;-0.009218952677339874;-0.018292328246433044;-0.009901434025983345;-0.0177691485699475;-0.005832614049479913;-0.01885228180033367;-0.012570103093897526;-0.012034129151711412;-0.012883853700280336;-0.008831357091088845;-0.00939431407438186;-0.021593655791734282;-0.013317459012443895;0.005690724094442998;8
C:1_epsilon:0.01_gamma:5_kernel:rbf;0.00583392858505249;0.0018308750591157664;0.0008538699150085449;0.00012701976143992126;1;0.01;5;rbf;-0.005123428586606625;-0.010339577985635737;-0.017355908450202;-0.012671262647280376;-0.010563035168764959;-0.010470697271801374;-0.011250894842050564;-0.01832354815685293;-0.018112561521361016;-0.017370563674851375;-0.01040768032872098;-0.01305256904511541;-0.009987802710340544;-0.004053815415284495;-0.010852620485479934;-0.019207366007603907;-0.008328743717635513;-0.008875664772333744;-0.022786346807869434;-0.024372409714362463;-0.009047119397374076;-0.008931269366355158;-0.01676764312445495;-0.020656602828149403;-0.011570867699646251;-0.007075051151620752;-0.011569929018681866;-0.018939041774795908;-0.012334082106503646;-0.014371964777515565;-0.019919002291000344;-0.008435205298959275;-0.0024976009628352434;-0.016174347681071646;-0.01468406366652889;-0.02155485974496491;-0.010714753361328879;-0.010177272479150415;-0.013499576614516125;-0.017184947510442868;-0.012131673618344675;-0.008728719020276506;-0.010635982581369994;-0.012929071731687386;-0.04734536922806095;-0.0035529403703891153;-0.00851608248036653;-0.010501328903677535;-0.007617658746353792;-0.012731946889674108;-0.00935801097319354;-0.017222685586094074;-0.01274820682092524;-0.008469572718982231;-0.009502760549145782;-0.015568831900707422;-0.02660497232524499;-0.006100330900995099;-0.011584789467707893;-0.01694617416028309;-0.020043840395309175;-0.014469685237594822;-0.009217796181313291;-0.015015383743697158;-0.012421961050919111;-0.026424277345382507;-0.01197959892241803;-0.014534503703605336;-0.004266840694014173;-0.007141157395289316;-0.01966117848936092;-0.010381078249787604;-0.014992796221091937;-0.026514418908180664;-0.009828296175048911;-0.005842016290474134;-0.02056160700439618;-0.010206991580160392;-0.00829482928249086;-0.011178360225431765;-0.006918986152018453;-0.006532734523341493;-0.016286149080635148;-0.00728199764568999;-0.009464688746207683;-0.02246295517406399;-0.025140303960556717;-0.012319492364004698;-0.012023199639964621;-0.0198081078310821;-0.014603163594498788;-0.020110426214582398;-0.006288429186673931;-0.018282922644028175;-0.012136468987017784;-0.005876528430466476;-0.01216897190315204;-0.004909333316168693;-0.012869676762235537;-0.022586226487561714;-0.013394561868794466;0.006497209870509518;9
C:10_epsilon:0.05_gamma:1_kernel:poly;0.7721805381774902;0.23545713119527004;0.000757904052734375;0.0003116681957176529;10;0.05;1;poly;-0.008927026408958203;-0.01155052946676123;-0.02089957052760392;-0.0161982675964595;-0.012066859470085184;-0.009269487478390955;-0.0088098656798852;-0.019372666301325284;-0.01785461524243761;-0.014970638757215948;-0.01423696164680141;-0.010469369171602396;-0.009474258759565275;-0.007480008087072267;-0.013021201860799391;-0.016618213697246094;-0.009191180389423992;-0.013574942141195602;-0.019314591961460154;-0.021513600646921056;-0.009997804439063411;-0.010875819771734829;-0.018921618842398603;-0.018872881645148172;-0.007009114097100461;-0.006666707073440887;-0.008970574795442582;-0.017679719103283843;-0.013641660070456103;-0.013562538793493277;-0.015791352763365154;-0.011360893358443659;-0.004423718751126979;-0.011599361469420444;-0.014580558453799505;-0.02553980723342369;-0.01106885910782045;-0.01229752474164649;-0.014434517794759941;-0.015472266101006604;-0.011880265425699409;-0.012499692228833181;-0.010865391585089063;-0.013283940760751947;-0.04815076761174519;-0.015758986012767248;-0.005701257741251014;-0.010711531517922078;-0.007323595889426148;-0.010873586702399627;-0.008047592581867581;-0.014079475352982021;-0.005929685720175532;-0.01724424447710347;-0.010109433622983402;-0.019082269922995714;-0.026018334817205006;-0.0032927045760999586;-0.01727701125047015;-0.01474522343401417;-0.01367954638128055;-0.012862639414852701;-0.01402365637239606;-0.020533319067660285;-0.01188366074038052;-0.02118805156186645;-0.01378995006097783;-0.017707312434492393;-0.004751104675332519;-0.007058898920952557;-0.02105923726351833;-0.011087682905550391;-0.01212911606885346;-0.020646421931843625;-0.012979868233337875;-0.0035538072723919666;-0.024723135377266867;-0.012223104520776365;-0.010259689871475169;-0.009283395741500075;-0.010506589364287616;-0.009689678260429645;-0.018161688362527382;-0.00896769784731428;-0.009163667092505769;-0.01889605908976182;-0.025354897798809416;-0.013091849530186007;-0.009999213130654168;-0.019351468849185722;-0.011986194621153494;-0.01844820725196168;-0.005824918990626816;-0.018263735180526607;-0.01214391914148697;-0.010723382265345922;-0.013018410788429406;-0.006162068660457018;-0.008939702506640798;-0.02313599081634912;-0.013677090832947136;0.006151605389169078;10
